game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,I,66.0,1,,
1,2,forced,2.0,I,80.0,1,,
1,3,forced,1.0,Y,29.0,1,,
1,4,forced,2.0,I,75.0,1,,
1,5,free,,I,81.0,1,2.0,cf17a1fd345a11828f86fe77f6ab4368f4b6244756882ddb8a7ad0faec6edc76
2,1,forced,2.0,I,69.0,6,,
2,2,forced,2.0,I,50.0,6,,
2,3,forced,1.0,Y,51.0,6,,
2,4,forced,2.0,I,64.0,6,,
2,5,free,,I,51.0,6,2.0,e736a9867167a795142c15040c01756d75680861e194a849f04ff0a4a7669072
2,6,free,,I,54.0,6,2.0,aade989f97272eb9067a92d5534351a845c681d56b15137299f64940ea54615f
2,7,free,,I,64.0,6,2.0,08cbd839c3cde3adb714d5646484ccc7dbe9d8956bb0d51182d94456dbdf96bf
2,8,free,,I,64.0,6,2.0,cbc8e5f97ec6f11e5a13a0d228dd60af1b722c44aa824699860aa64ad27a9a4c
2,9,free,,I,57.0,6,2.0,29a7c1ac1f1ebfce1cbeb874b88b865155cfd2fec80ec9b8383a0c55ff6fd441
2,10,free,,I,68.0,6,2.0,1c72bdaec7e946dec901273f33d762c804a5ecd951b16a21836015d94e436cbc
3,1,forced,2.0,I,31.0,6,,
3,2,forced,1.0,Y,43.0,6,,
3,3,forced,2.0,I,26.0,6,,
3,4,forced,1.0,Y,36.0,6,,
3,5,free,,Y,26.0,6,1.0,638574abdac5c6759d2977c89c09c210c7c8190a9b5ce784bcced6f4cdc2aff1
3,6,free,,Y,41.0,6,1.0,5ffaa6837142b95ff0e5a605cfb23e25aa5ecf0cfda1cc35c7820be515710367
3,7,free,,Y,44.0,6,1.0,20c6f5df6d6f79a79f5bd3e14aa2235eb8164464ef98dfa580168e53c0b0f4b1
3,8,free,,Y,44.0,6,1.0,c018256b6b3331b6c25e73d44890dede3de3d1e7809d9e0c63206bb5546a7f51
3,9,free,,Y,43.0,6,1.0,3c7c2bb33cbd51bae677798ed6c6b9debbfda2d9a5f31c6b0321659c94ffc8bc
3,10,free,,Y,53.0,6,1.0,812a50c10f1a35336849782a98fd774f8af99a5ec06d50e7c9a65f817e8b0e40
