game,trial,type,choice,mapped_choice,reward,horizon,choice_numeric,prompt_hash
1,1,forced,2.0,S,66.0,1,,
1,2,forced,2.0,S,80.0,1,,
1,3,forced,1.0,O,29.0,1,,
1,4,forced,2.0,S,75.0,1,,
1,5,free,,O,38.0,1,1.0,3a54dd22ffe1b84b138e8e2517a0daec7f8cbd5e47cd8639f01123fa04720286
2,1,forced,2.0,S,69.0,6,,
2,2,forced,2.0,S,50.0,6,,
2,3,forced,1.0,O,51.0,6,,
2,4,forced,2.0,S,64.0,6,,
2,5,free,,S,71.0,6,2.0,47e7c43c92ef6df6c88bc8e0077f2788b3733e8529731e32fbf6220c2a7490e8
2,6,free,,O,67.0,6,1.0,47e7c43c92ef6df6c88bc8e0077f2788b3733e8529731e32fbf6220c2a7490e8
2,7,free,,O,53.0,6,1.0,47e7c43c92ef6df6c88bc8e0077f2788b3733e8529731e32fbf6220c2a7490e8
2,8,free,,O,44.0,6,1.0,47e7c43c92ef6df6c88bc8e0077f2788b3733e8529731e32fbf6220c2a7490e8
2,9,free,,O,48.0,6,1.0,47e7c43c92ef6df6c88bc8e0077f2788b3733e8529731e32fbf6220c2a7490e8
2,10,free,,O,55.0,6,1.0,47e7c43c92ef6df6c88bc8e0077f2788b3733e8529731e32fbf6220c2a7490e8
3,1,forced,2.0,S,31.0,6,,
3,2,forced,1.0,O,43.0,6,,
3,3,forced,2.0,S,26.0,6,,
3,4,forced,1.0,O,36.0,6,,
3,5,free,,O,26.0,6,1.0,b445fd1511d67db556bc4d8c1b2414c70eec11a139c9b8cbf410c501e67f2efd
3,6,free,,O,41.0,6,1.0,b445fd1511d67db556bc4d8c1b2414c70eec11a139c9b8cbf410c501e67f2efd
3,7,free,,O,44.0,6,1.0,b445fd1511d67db556bc4d8c1b2414c70eec11a139c9b8cbf410c501e67f2efd
3,8,free,,O,44.0,6,1.0,b445fd1511d67db556bc4d8c1b2414c70eec11a139c9b8cbf410c501e67f2efd
3,9,free,,O,43.0,6,1.0,b445fd1511d67db556bc4d8c1b2414c70eec11a139c9b8cbf410c501e67f2efd
3,10,free,,O,53.0,6,1.0,b445fd1511d67db556bc4d8c1b2414c70eec11a139c9b8cbf410c501e67f2efd
4,1,forced,1.0,O,65.0,6,,
