game,trial_index,horizon,ground_truth,model_predicted_char,nll,top2
1,5,6,H,H,2.890625,"[('I', 0.412109375), ('It', 0.11767578125)]"
1,6,6,H,H,2.21875,"[('I', 0.3828125), ('H', 0.10888671875)]"
1,7,6,H,H,0.5234375,"[('H', 0.59375), ('I', 0.2470703125)]"
1,8,6,H,H,0.26953125,"[('H', 0.765625), ('I', 0.10400390625)]"
1,9,6,H,H,0.267578125,"[('H', 0.765625), ('I', 0.0712890625)]"
1,10,6,H,H,0.271484375,"[('H', 0.76171875), ('I', 0.091796875)]"
2,5,6,I,I,0.02734375,"[('I', 0.97265625), ('H', 0.015625)]"
2,6,6,I,I,0.01446533203125,"[('I', 0.984375), ('You', 0.00360107421875)]"
2,7,6,I,I,0.00653076171875,"[('I', 0.9921875), ('H', 0.002471923828125)]"
2,8,6,I,I,0.003662109375,"[('I', 0.99609375), ('H', 0.0013275146484375)]"
2,9,6,I,I,0.0096435546875,"[('I', 0.9921875), ('H', 0.0031890869140625)]"
2,10,6,I,I,0.004302978515625,"[('I', 0.99609375), ('You', 0.00102996826171875)]"
3,5,1,I,I,0.28515625,"[('I', 0.75), ('H', 0.2451171875)]"
4,5,1,H,H,0.05029296875,"[('H', 0.94921875), ('I', 0.047607421875)]"
5,5,1,I,I,4.5,"[('H', 0.98828125), ('I', 0.0111083984375)]"
6,5,6,H,H,2.578125,"[('I', 0.921875), ('H', 0.07568359375)]"
6,6,6,H,H,0.388671875,"[('H', 0.6796875), ('I', 0.3203125)]"
6,7,6,H,H,0.055908203125,"[('H', 0.9453125), ('I', 0.052978515625)]"
6,8,6,H,H,0.034423828125,"[('H', 0.96484375), ('I', 0.033203125)]"
6,9,6,H,H,0.08056640625,"[('H', 0.921875), ('I', 0.07568359375)]"
6,10,6,H,H,0.0908203125,"[('H', 0.9140625), ('I', 0.08447265625)]"
7,5,1,H,H,2.703125,"[('I', 0.93359375), ('H', 0.06689453125)]"
8,5,6,H,H,0.0703125,"[('H', 0.93359375), ('I', 0.06787109375)]"
8,6,6,H,H,0.00537109375,"[('H', 0.99609375), ('I', 0.0052490234375)]"
8,7,6,H,H,0.003753662109375,"[('H', 0.99609375), ('I', 0.00360107421875)]"
8,8,6,H,H,0.00341796875,"[('H', 0.99609375), ('I', 0.0031890869140625)]"
8,9,6,H,H,0.00238037109375,"[('H', 0.99609375), ('I', 0.0021820068359375)]"
8,10,6,H,H,0.0034942626953125,"[('H', 0.99609375), ('I', 0.0031890869140625)]"
9,5,1,H,H,3.171875,"[('I', 0.95703125), ('H', 0.0419921875)]"
10,5,1,H,H,0.349609375,"[('H', 0.703125), ('I', 0.29296875)]"
11,5,1,H,H,1.9140625,"[('I', 0.8515625), ('H', 0.1474609375)]"
12,5,6,H,H,0.126953125,"[('H', 0.87890625), ('I', 0.11962890625)]"
12,6,6,H,H,0.00872802734375,"[('H', 0.9921875), ('I', 0.0086669921875)]"
12,7,6,H,H,0.00775146484375,"[('H', 0.9921875), ('I', 0.00762939453125)]"
12,8,6,H,H,0.0078125,"[('H', 0.9921875), ('I', 0.00762939453125)]"
12,9,6,H,H,0.004241943359375,"[('H', 0.99609375), ('I', 0.00408935546875)]"
12,10,6,H,H,0.0038299560546875,"[('H', 0.99609375), ('I', 0.00360107421875)]"
13,5,6,I,I,1.6015625,"[('H', 0.796875), ('I', 0.201171875)]"
13,6,6,I,I,0.474609375,"[('I', 0.62109375), ('H', 0.376953125)]"
13,7,6,H,H,1.6015625,"[('I', 0.796875), ('H', 0.201171875)]"
13,8,6,H,H,0.006072998046875,"[('H', 0.9921875), ('I', 0.005950927734375)]"
13,9,6,H,H,0.0015411376953125,"[('H', 1.0), ('I', 0.00150299072265625)]"
13,10,6,H,H,0.000537872314453125,"[('H', 1.0), ('I', 0.00048828125)]"
14,5,1,I,I,0.578125,"[('I', 0.5625), ('H', 0.4375)]"
15,5,6,H,H,0.2255859375,"[('H', 0.796875), ('I', 0.201171875)]"
15,6,6,H,H,0.0004444122314453125,"[('H', 1.0), ('I', 0.000431060791015625)]"
