game,trial_index,horizon,ground_truth,model_predicted_char,nll,top2
1,5,1,I,I,0.9296875,"[('I', 0.39453125), ('It', 0.1640625)]"
2,5,6,H,H,2.046875,"[('I', 0.83984375), ('H', 0.12890625)]"
2,6,6,I,I,0.373046875,"[('I', 0.6875), ('H', 0.08203125)]"
2,7,6,I,I,0.734375,"[('I', 0.48046875), ('H', 0.291015625)]"
2,8,6,I,I,0.421875,"[('I', 0.65625), ('H', 0.1875)]"
2,9,6,I,I,0.341796875,"[('I', 0.7109375), ('H', 0.1396484375)]"
2,10,6,H,H,1.5546875,"[('I', 0.734375), ('H', 0.2109375)]"
3,5,6,H,H,0.28515625,"[('H', 0.75), ('I', 0.2431640625)]"
3,6,6,H,H,0.48046875,"[('H', 0.6171875), ('I', 0.375)]"
3,7,6,H,H,0.1630859375,"[('H', 0.84765625), ('I', 0.1474609375)]"
3,8,6,H,H,0.050048828125,"[('H', 0.953125), ('I', 0.047607421875)]"
3,9,6,H,H,0.050048828125,"[('H', 0.953125), ('I', 0.047607421875)]"
3,10,6,H,H,0.0400390625,"[('H', 0.9609375), ('I', 0.037109375)]"
4,5,6,H,H,0.9765625,"[('I', 0.62109375), ('H', 0.376953125)]"
4,6,6,H,H,1.0546875,"[('I', 0.65234375), ('H', 0.34765625)]"
4,7,6,H,H,0.474609375,"[('H', 0.62109375), ('I', 0.376953125)]"
4,8,6,H,H,0.314453125,"[('H', 0.73046875), ('I', 0.26953125)]"
4,9,6,I,I,1.6015625,"[('H', 0.796875), ('I', 0.201171875)]"
4,10,6,H,H,0.9765625,"[('I', 0.62109375), ('H', 0.376953125)]"
5,5,6,I,I,0.062255859375,"[('I', 0.94140625), ('H', 0.06005859375)]"
5,6,6,H,H,3.28125,"[('I', 0.9609375), ('H', 0.03759765625)]"
5,7,6,I,I,0.0703125,"[('I', 0.93359375), ('H', 0.06689453125)]"
5,8,6,I,I,0.00689697265625,"[('I', 0.9921875), ('H', 0.006744384765625)]"
5,9,6,I,I,0.0087890625,"[('I', 0.9921875), ('H', 0.0086669921875)]"
5,10,6,H,H,4.5,"[('I', 0.98828125), ('H', 0.0111083984375)]"
6,5,6,I,I,0.97265625,"[('H', 0.62109375), ('I', 0.37890625)]"
6,6,6,I,I,0.474609375,"[('I', 0.62109375), ('H', 0.37890625)]"
6,7,6,H,H,1.5,"[('I', 0.77734375), ('H', 0.22265625)]"
6,8,6,I,I,1.0546875,"[('H', 0.65234375), ('I', 0.34765625)]"
6,9,6,I,I,0.5234375,"[('I', 0.59375), ('H', 0.40625)]"
6,10,6,H,H,0.6328125,"[('H', 0.53125), ('I', 0.46875)]"
7,5,1,I,I,1.40625,"[('H', 0.75390625), ('I', 0.2451171875)]"
8,5,1,H,H,3.171875,"[('I', 0.95703125), ('H', 0.0419921875)]"
9,5,6,I,I,1.2265625,"[('H', 0.703125), ('I', 0.29296875)]"
9,6,6,H,H,0.1796875,"[('H', 0.8359375), ('I', 0.1640625)]"
9,7,6,I,I,2.8125,"[('H', 0.94140625), ('I', 0.06005859375)]"
9,8,6,H,H,0.251953125,"[('H', 0.77734375), ('I', 0.22265625)]"
9,9,6,H,H,0.126953125,"[('H', 0.87890625), ('I', 0.11962890625)]"
9,10,6,H,H,0.1611328125,"[('H', 0.8515625), ('I', 0.1474609375)]"
10,5,6,H,H,2.125,"[('I', 0.87890625), ('H', 0.11962890625)]"
10,6,6,I,I,0.11328125,"[('I', 0.89453125), ('H', 0.10693359375)]"
10,7,6,I,I,0.0233154296875,"[('I', 0.9765625), ('H', 0.023193359375)]"
10,8,6,I,I,0.0263671875,"[('I', 0.97265625), ('H', 0.02587890625)]"
10,9,6,H,H,3.890625,"[('I', 0.98046875), ('H', 0.0203857421875)]"
10,10,6,I,I,0.08935546875,"[('I', 0.9140625), ('H', 0.08447265625)]"
11,5,6,I,I,0.251953125,"[('I', 0.77734375), ('H', 0.22265625)]"
11,6,6,I,I,0.201171875,"[('I', 0.81640625), ('H', 0.181640625)]"
11,7,6,I,I,0.11279296875,"[('I', 0.89453125), ('H', 0.10693359375)]"
11,8,6,I,I,0.10009765625,"[('I', 0.90625), ('H', 0.09619140625)]"
11,9,6,I,I,0.0791015625,"[('I', 0.92578125), ('H', 0.07568359375)]"
11,10,6,I,I,0.201171875,"[('I', 0.81640625), ('H', 0.181640625)]"
12,5,6,I,I,0.5234375,"[('I', 0.59375), ('H', 0.40625)]"
12,6,6,I,I,0.474609375,"[('I', 0.62109375), ('H', 0.37890625)]"
12,7,6,H,H,1.40625,"[('I', 0.75390625), ('H', 0.2451171875)]"
12,8,6,I,I,0.474609375,"[('I', 0.62109375), ('H', 0.37890625)]"
12,9,6,I,I,0.314453125,"[('I', 0.73046875), ('H', 0.26953125)]"
12,10,6,I,I,0.2255859375,"[('I', 0.796875), ('H', 0.201171875)]"
13,5,1,H,H,0.34765625,"[('H', 0.70703125), ('I', 0.29296875)]"
14,5,6,I,I,1.40625,"[('H', 0.75390625), ('I', 0.2451171875)]"
14,6,6,I,I,0.69140625,"[('I', 0.5), ('H', 0.5)]"
14,7,6,H,H,1.6015625,"[('I', 0.796875), ('H', 0.201171875)]"
14,8,6,I,I,0.6328125,"[('I', 0.53125), ('H', 0.46875)]"
14,9,6,H,H,1.0546875,"[('I', 0.65234375), ('H', 0.34765625)]"
14,10,6,H,H,0.5234375,"[('H', 0.59375), ('I', 0.40625)]"
15,5,6,H,H,0.06201171875,"[('H', 0.94140625), ('I', 0.06005859375)]"
15,6,6,H,H,0.02978515625,"[('H', 0.96875), ('I', 0.029296875)]"
15,7,6,H,H,0.0233154296875,"[('H', 0.9765625), ('I', 0.023193359375)]"
15,8,6,H,H,0.009765625,"[('H', 0.9921875), ('I', 0.00982666015625)]"
15,9,6,H,H,0.006011962890625,"[('H', 0.9921875), ('I', 0.005950927734375)]"
15,10,6,H,H,0.00982666015625,"[('H', 0.98828125), ('I', 0.00982666015625)]"
16,5,6,H,H,0.054931640625,"[('H', 0.9453125), ('I', 0.052978515625)]"
16,6,6,H,H,0.0263671875,"[('H', 0.97265625), ('I', 0.02587890625)]"
16,7,6,H,H,0.01416015625,"[('H', 0.984375), ('I', 0.0142822265625)]"
16,8,6,I,I,4.375,"[('H', 0.98828125), ('I', 0.0125732421875)]"
16,9,6,H,H,0.0888671875,"[('H', 0.9140625), ('I', 0.08447265625)]"
16,10,6,H,H,0.006744384765625,"[('H', 0.9921875), ('I', 0.006744384765625)]"
17,5,6,H,H,1.9140625,"[('I', 0.8515625), ('H', 0.1474609375)]"
17,6,6,H,H,1.5,"[('I', 0.77734375), ('H', 0.22265625)]"
17,7,6,H,H,1.0546875,"[('I', 0.65234375), ('H', 0.34765625)]"
17,8,6,I,I,0.4296875,"[('I', 0.65234375), ('H', 0.34765625)]"
17,9,6,H,H,1.5,"[('I', 0.77734375), ('H', 0.22265625)]"
17,10,6,H,H,0.5234375,"[('H', 0.59375), ('I', 0.40625)]"
18,5,6,I,I,0.474609375,"[('I', 0.62109375), ('H', 0.37890625)]"
18,6,6,H,H,1.6015625,"[('I', 0.796875), ('H', 0.201171875)]"
