participant_id,trial_index,ground_truth,nll,top2
31,1,P,0.6931471824645996,"[('P', 0.5), ('I', 0.5)]"
31,2,P,0.8981232643127441,"[('I', 0.5926665663719177), ('P', 0.4073334038257599)]"
31,3,P,1.2234445810317993,"[('I', 0.7057850360870361), ('P', 0.29421499371528625)]"
31,4,I,0.22541262209415436,"[('I', 0.7981867790222168), ('P', 0.2018132209777832)]"
31,5,P,0.38687101006507874,"[('P', 0.6791786551475525), ('I', 0.3208213150501251)]"
31,6,P,1.3132617473602295,"[('I', 0.7310584783554077), ('P', 0.26894140243530273)]"
31,7,I,0.25192904472351074,"[('I', 0.7772998809814453), ('P', 0.22270016372203827)]"
31,8,P,0.825939416885376,"[('I', 0.562176525592804), ('P', 0.43782350420951843)]"
31,9,I,0.7575989961624146,"[('P', 0.531209409236908), ('I', 0.4687906503677368)]"
31,10,P,0.825939416885376,"[('I', 0.562176525592804), ('P', 0.43782350420951843)]"
31,11,P,1.2234445810317993,"[('I', 0.7057850360870361), ('P', 0.29421499371528625)]"
31,12,I,0.25192904472351074,"[('I', 0.7772998809814453), ('P', 0.22270016372203827)]"
31,13,P,0.6325989961624146,"[('P', 0.531209409236908), ('I', 0.4687906503677368)]"
31,14,P,0.9740769863128662,"[('I', 0.622459352016449), ('P', 0.3775406777858734)]"
31,15,P,1.5019290447235107,"[('I', 0.7772998809814453), ('P', 0.22270016372203827)]"
31,16,P,0.7575989961624146,"[('I', 0.531209409236908), ('P', 0.4687906503677368)]"
31,17,I,1.4061501026153564,"[('P', 0.7549149990081787), ('I', 0.24508503079414368)]"
31,18,P,0.22541262209415436,"[('P', 0.7981867790222168), ('I', 0.2018132209777832)]"
31,19,P,0.5231232643127441,"[('P', 0.5926665663719177), ('I', 0.4073334038257599)]"
31,20,I,0.7575989961624146,"[('P', 0.531209409236908), ('I', 0.4687906503677368)]"
31,21,I,1.6004126071929932,"[('P', 0.7981867790222168), ('I', 0.2018132209777832)]"
31,22,I,2.0176751613616943,"[('P', 0.8670357465744019), ('I', 0.13296423852443695)]"
31,23,P,0.4740769863128662,"[('P', 0.622459352016449), ('I', 0.3775406777858734)]"
31,24,P,0.6325989961624146,"[('P', 0.531209409236908), ('I', 0.4687906503677368)]"
31,25,P,0.825939416885376,"[('I', 0.562176525592804), ('P', 0.43782350420951843)]"
31,26,I,0.4740769863128662,"[('I', 0.622459352016449), ('P', 0.3775406777858734)]"
31,27,P,0.575939416885376,"[('P', 0.562176525592804), ('I', 0.43782350420951843)]"
31,28,I,0.7575989961624146,"[('P', 0.531209409236908), ('I', 0.4687906503677368)]"
31,29,I,0.6931471824645996,"[('P', 0.5), ('I', 0.5)]"
31,30,P,0.5231232643127441,"[('P', 0.5926665663719177), ('I', 0.4073334038257599)]"
31,31,P,0.6931471824645996,"[('P', 0.5), ('I', 0.5)]"
31,32,I,0.575939416885376,"[('I', 0.562176525592804), ('P', 0.43782350420951843)]"
31,33,P,0.6325989961624146,"[('P', 0.531209409236908), ('I', 0.4687906503677368)]"
31,34,I,0.6931471824645996,"[('P', 0.5), ('I', 0.5)]"
31,35,P,0.575939416885376,"[('P', 0.562176525592804), ('I', 0.43782350420951843)]"
31,36,P,0.6931471824645996,"[('P', 0.5), ('I', 0.5)]"
31,37,P,0.825939416885376,"[('I', 0.562176525592804), ('P', 0.43782350420951843)]"
31,38,I,0.4740769863128662,"[('I', 0.622459352016449), ('P', 0.3775406777858734)]"
