game,trial_index,horizon,ground_truth,model_predicted_char,nll,top2
1,5,6,I,I,35.75,"[('ĊĊ', 1.0), ('Ċ', 1.2759119272232056e-07)]"
1,6,6,I,I,16.625,"[('ĊĊ', 1.0), ('<|eot_id|>', 2.1457672119140625e-05)]"
1,7,6,H,H,16.75,"[('ĊĊ', 1.0), ('Ċ', 5.841255187988281e-05)]"
1,8,6,H,H,10.875,"[('ĊĊ', 1.0), ('Ċ', 0.00048828125)]"
1,9,6,I,I,9.375,"[('ĊĊ', 0.97265625), ('H', 0.02587890625)]"
1,10,6,H,H,0.64453125,"[('H', 0.5234375), ('ĊĊ', 0.462890625)]"
2,5,6,I,I,12.5625,"[('ĊĊ', 1.0), ('<|eot_id|>', 0.0002956390380859375)]"
2,6,6,I,I,4.9375,"[('ĊĊ', 0.9296875), ('H', 0.05908203125)]"
2,7,6,I,I,1.8125,"[('H', 0.56640625), ('ĊĊ', 0.26953125)]"
2,8,6,I,I,1.1875,"[('ĊĊ', 0.345703125), ('H', 0.345703125)]"
2,9,6,H,H,0.380859375,"[('H', 0.68359375), ('I', 0.2216796875)]"
2,10,6,I,I,1.2265625,"[('H', 0.62109375), ('I', 0.29296875)]"
3,5,1,I,I,4.5,"[('ĊĊ', 0.98828125), ('I', 0.0111083984375)]"
4,5,6,I,I,0.76953125,"[('ĊĊ', 0.5234375), ('I', 0.462890625)]"
4,6,6,I,I,0.2578125,"[('I', 0.7734375), ('H', 0.1328125)]"
4,7,6,I,I,0.298828125,"[('I', 0.7421875), ('ĊĊ', 0.146484375)]"
4,8,6,I,I,0.043701171875,"[('I', 0.95703125), ('ĊĊ', 0.025390625)]"
4,9,6,I,I,0.11572265625,"[('I', 0.890625), ('H', 0.09423828125)]"
4,10,6,I,I,0.046875,"[('I', 0.953125), ('H', 0.025390625)]"
5,5,1,H,H,0.1318359375,"[('H', 0.875), ('ĊĊ', 0.11962890625)]"
6,5,6,I,I,7.0625,"[('H', 0.9296875), ('ĊĊ', 0.06689453125)]"
6,6,6,H,H,0.0262451171875,"[('H', 0.97265625), ('ĊĊ', 0.0201416015625)]"
6,7,6,H,H,0.007232666015625,"[('H', 0.9921875), ('I', 0.0028076171875)]"
6,8,6,H,H,0.008056640625,"[('H', 0.9921875), ('ĊĊ', 0.00360107421875)]"
6,9,6,H,H,0.0069580078125,"[('H', 0.9921875), ('I', 0.0031890869140625)]"
6,10,6,H,H,0.007537841796875,"[('H', 0.9921875), ('I', 0.005950927734375)]"
7,5,1,I,I,2.484375,"[('H', 0.8984375), ('I', 0.08349609375)]"
8,5,1,H,H,0.01226806640625,"[('H', 0.98828125), ('I', 0.00982666015625)]"
9,5,6,I,I,1.0546875,"[('H', 0.65234375), ('I', 0.34765625)]"
9,6,6,I,I,0.302734375,"[('I', 0.73828125), ('H', 0.2392578125)]"
9,7,6,H,H,2.359375,"[('I', 0.90234375), ('H', 0.09423828125)]"
9,8,6,I,I,0.474609375,"[('I', 0.62109375), ('H', 0.376953125)]"
9,9,6,I,I,0.08984375,"[('I', 0.9140625), ('H', 0.08447265625)]"
9,10,6,H,H,1.140625,"[('I', 0.6796875), ('H', 0.3203125)]"
10,5,6,H,H,0.002685546875,"[('H', 0.99609375), ('I', 0.00193023681640625)]"
10,6,6,H,H,0.028076171875,"[('H', 0.97265625), ('I', 0.02587890625)]"
10,7,6,I,I,3.65625,"[('H', 0.97265625), ('I', 0.02587890625)]"
10,8,6,H,H,0.0245361328125,"[('H', 0.9765625), ('I', 0.0228271484375)]"
10,9,6,H,H,0.007781982421875,"[('H', 0.9921875), ('I', 0.006744384765625)]"
10,10,6,H,H,0.01904296875,"[('H', 0.98046875), ('I', 0.015625)]"
11,5,1,H,H,0.00811767578125,"[('H', 0.9921875), ('I', 0.006744384765625)]"
12,5,6,H,H,0.01165771484375,"[('H', 0.98828125), ('I', 0.0111083984375)]"
12,6,6,H,H,0.00921630859375,"[('H', 0.9921875), ('I', 0.00408935546875)]"
12,7,6,H,H,0.0115966796875,"[('H', 0.98828125), ('I', 0.0111083984375)]"
12,8,6,H,H,0.006134033203125,"[('H', 0.9921875), ('I', 0.00408935546875)]"
12,9,6,H,H,0.007720947265625,"[('H', 0.9921875), ('I', 0.005950927734375)]"
12,10,6,H,H,0.004730224609375,"[('H', 0.99609375), ('I', 0.0031890869140625)]"
13,5,1,I,I,0.02587890625,"[('I', 0.97265625), ('ĊĊ', 0.0201416015625)]"
14,5,6,H,H,0.0042724609375,"[('H', 0.99609375), ('I', 0.00408935546875)]"
14,6,6,H,H,0.0059814453125,"[('H', 0.9921875), ('I', 0.004638671875)]"
14,7,6,H,H,0.005706787109375,"[('H', 0.99609375), ('I', 0.0052490234375)]"
14,8,6,H,H,0.00634765625,"[('H', 0.9921875), ('I', 0.005950927734375)]"
14,9,6,H,H,0.00628662109375,"[('H', 0.9921875), ('I', 0.005950927734375)]"
14,10,6,H,H,0.002349853515625,"[('H', 0.99609375), ('I', 0.0021820068359375)]"
15,5,1,H,H,0.2021484375,"[('H', 0.81640625), ('I', 0.181640625)]"
16,5,6,I,I,0.03076171875,"[('I', 0.96875), ('H', 0.029296875)]"
16,6,6,H,H,1.5,"[('I', 0.77734375), ('H', 0.22265625)]"
16,7,6,I,I,1.0546875,"[('H', 0.6484375), ('I', 0.34765625)]"
16,8,6,H,H,2.703125,"[('I', 0.9296875), ('H', 0.06689453125)]"
16,9,6,I,I,0.69140625,"[('I', 0.5), ('H', 0.5)]"
16,10,6,H,H,0.7578125,"[('I', 0.53125), ('H', 0.46875)]"
17,5,6,H,H,0.38671875,"[('H', 0.6796875), ('I', 0.3203125)]"
17,6,6,I,I,1.9140625,"[('H', 0.8515625), ('I', 0.1474609375)]"
17,7,6,H,H,0.201171875,"[('H', 0.81640625), ('I', 0.181640625)]"
17,8,6,H,H,0.0791015625,"[('H', 0.92578125), ('I', 0.07568359375)]"
17,9,6,I,I,2.8125,"[('H', 0.94140625), ('I', 0.06005859375)]"
17,10,6,I,I,0.8984375,"[('H', 0.59375), ('I', 0.40625)]"
18,5,1,I,I,1.6015625,"[('H', 0.796875), ('I', 0.201171875)]"
19,5,6,H,H,5.375,"[('I', 0.99609375), ('H', 0.004638671875)]"
19,6,6,I,I,0.1279296875,"[('I', 0.87890625), ('H', 0.11962890625)]"
19,7,6,I,I,0.01434326171875,"[('I', 0.984375), ('H', 0.0142822265625)]"
19,8,6,I,I,0.16015625,"[('I', 0.8515625), ('H', 0.1474609375)]"
19,9,6,I,I,0.021240234375,"[('I', 0.98046875), ('H', 0.0203857421875)]"
19,10,6,I,I,0.00994873046875,"[('I', 0.98828125), ('H', 0.00982666015625)]"
20,5,1,H,H,0.1796875,"[('H', 0.8359375), ('I', 0.1640625)]"
21,5,6,I,I,0.8984375,"[('H', 0.59375), ('I', 0.40625)]"
21,6,6,H,H,1.8046875,"[('I', 0.8359375), ('H', 0.1640625)]"
21,7,6,I,I,0.8984375,"[('H', 0.59375), ('I', 0.40625)]"
21,8,6,I,I,0.314453125,"[('I', 0.73046875), ('H', 0.26953125)]"
21,9,6,H,H,1.140625,"[('I', 0.6796875), ('H', 0.3203125)]"
21,10,6,I,I,0.8984375,"[('H', 0.59375), ('I', 0.40625)]"
22,5,6,I,I,0.01123046875,"[('I', 0.98828125), ('H', 0.0111083984375)]"
22,6,6,I,I,0.018310546875,"[('I', 0.98046875), ('H', 0.0177001953125)]"
22,7,6,I,I,0.006011962890625,"[('I', 0.9921875), ('H', 0.0052490234375)]"
22,8,6,I,I,0.0087890625,"[('I', 0.9921875), ('H', 0.0086669921875)]"
22,9,6,I,I,0.00616455078125,"[('I', 0.9921875), ('H', 0.005950927734375)]"
