game,trial_index,horizon,ground_truth,model_predicted_char,nll,top2
1,5,6,I,I,0.875,"[('I', 0.416015625), ('H', 0.251953125)]"
1,6,6,I,I,2.84375,"[('H', 0.80078125), ('I', 0.05810546875)]"
1,7,6,H,H,0.37890625,"[('H', 0.68359375), ('I', 0.08203125)]"
1,8,6,H,H,0.130859375,"[('H', 0.87890625), ('You', 0.0301513671875)]"
1,9,6,I,I,4.28125,"[('H', 0.84765625), ('You', 0.0546875)]"
1,10,6,H,H,0.2138671875,"[('H', 0.80859375), ('You', 0.05810546875)]"
2,5,6,I,I,1.234375,"[('H', 0.69921875), ('I', 0.291015625)]"
2,6,6,I,I,0.486328125,"[('I', 0.61328125), ('H', 0.373046875)]"
2,7,6,I,I,0.3046875,"[('I', 0.73828125), ('H', 0.2392578125)]"
2,8,6,I,I,0.1689453125,"[('I', 0.84375), ('H', 0.12890625)]"
2,9,6,H,H,0.703125,"[('I', 0.494140625), ('H', 0.494140625)]"
2,10,6,I,I,0.98046875,"[('H', 0.6171875), ('I', 0.375)]"
3,5,1,I,I,0.06396484375,"[('I', 0.9375), ('H', 0.06005859375)]"
4,5,6,I,I,0.031494140625,"[('I', 0.96875), ('H', 0.029296875)]"
4,6,6,I,I,0.0244140625,"[('I', 0.9765625), ('H', 0.0228271484375)]"
4,7,6,I,I,0.017333984375,"[('I', 0.984375), ('H', 0.015625)]"
4,8,6,I,I,0.0026397705078125,"[('I', 0.99609375), ('H', 0.0021820068359375)]"
4,9,6,I,I,0.03466796875,"[('I', 0.96484375), ('H', 0.033203125)]"
4,10,6,I,I,0.0240478515625,"[('I', 0.9765625), ('H', 0.0228271484375)]"
5,5,1,H,H,0.0264892578125,"[('H', 0.97265625), ('I', 0.02587890625)]"
6,5,6,I,I,6.5,"[('H', 1.0), ('I', 0.00150299072265625)]"
6,6,6,H,H,0.007110595703125,"[('H', 0.9921875), ('I', 0.004638671875)]"
6,7,6,H,H,0.00107574462890625,"[('H', 1.0), ('I', 0.000911712646484375)]"
6,8,6,H,H,0.000732421875,"[('H', 1.0), ('I', 0.0006256103515625)]"
6,9,6,H,H,0.0034637451171875,"[('H', 0.99609375), ('I', 0.0031890869140625)]"
6,10,6,H,H,0.004913330078125,"[('H', 0.99609375), ('I', 0.004638671875)]"
7,5,1,I,I,1.9140625,"[('H', 0.8515625), ('I', 0.1474609375)]"
8,5,1,H,H,0.043212890625,"[('H', 0.95703125), ('I', 0.0419921875)]"
9,5,6,I,I,0.97265625,"[('H', 0.62109375), ('I', 0.37890625)]"
9,6,6,I,I,0.251953125,"[('I', 0.77734375), ('H', 0.22265625)]"
9,7,6,H,H,2.234375,"[('I', 0.89453125), ('H', 0.10693359375)]"
9,8,6,I,I,0.6953125,"[('I', 0.498046875), ('H', 0.498046875)]"
9,9,6,I,I,0.126953125,"[('I', 0.87890625), ('H', 0.11962890625)]"
9,10,6,H,H,0.8984375,"[('I', 0.59375), ('H', 0.40625)]"
10,5,6,H,H,0.002227783203125,"[('H', 0.99609375), ('I', 0.0021820068359375)]"
10,6,6,H,H,0.006805419921875,"[('H', 0.9921875), ('I', 0.006744384765625)]"
10,7,6,I,I,4.625,"[('H', 0.98828125), ('I', 0.00982666015625)]"
10,8,6,H,H,0.02197265625,"[('H', 0.9765625), ('I', 0.0203857421875)]"
10,9,6,H,H,0.00421142578125,"[('H', 0.99609375), ('I', 0.00408935546875)]"
10,10,6,H,H,0.0184326171875,"[('H', 0.98046875), ('I', 0.0177001953125)]"
11,5,1,H,H,0.004119873046875,"[('H', 0.99609375), ('I', 0.00408935546875)]"
12,5,6,H,H,0.0206298828125,"[('H', 0.98046875), ('I', 0.0203857421875)]"
12,6,6,H,H,0.002197265625,"[('H', 0.99609375), ('I', 0.0021820068359375)]"
12,7,6,H,H,0.00762939453125,"[('H', 0.9921875), ('I', 0.00762939453125)]"
12,8,6,H,H,0.0015411376953125,"[('H', 1.0), ('I', 0.00150299072265625)]"
12,9,6,H,H,0.0028533935546875,"[('H', 0.99609375), ('I', 0.0028076171875)]"
12,10,6,H,H,0.0022735595703125,"[('H', 0.99609375), ('I', 0.0021820068359375)]"
13,5,1,I,I,0.005279541015625,"[('I', 0.99609375), ('H', 0.0052490234375)]"
14,5,6,H,H,0.0036163330078125,"[('H', 0.99609375), ('I', 0.00360107421875)]"
14,6,6,H,H,0.0036163330078125,"[('H', 0.99609375), ('I', 0.00360107421875)]"
14,7,6,H,H,0.00250244140625,"[('H', 0.99609375), ('I', 0.002471923828125)]"
14,8,6,H,H,0.00250244140625,"[('H', 0.99609375), ('I', 0.002471923828125)]"
14,9,6,H,H,0.002838134765625,"[('H', 0.99609375), ('I', 0.0028076171875)]"
14,10,6,H,H,0.0015411376953125,"[('H', 1.0), ('I', 0.00150299072265625)]"
15,5,1,H,H,0.314453125,"[('H', 0.73046875), ('I', 0.26953125)]"
16,5,6,I,I,0.0380859375,"[('I', 0.9609375), ('H', 0.03759765625)]"
16,6,6,H,H,2.34375,"[('I', 0.90625), ('H', 0.09619140625)]"
16,7,6,I,I,0.6953125,"[('I', 0.498046875), ('H', 0.498046875)]"
16,8,6,H,H,3.28125,"[('I', 0.9609375), ('H', 0.03759765625)]"
16,9,6,I,I,0.4296875,"[('I', 0.65234375), ('H', 0.34765625)]"
16,10,6,H,H,0.7578125,"[('I', 0.53125), ('H', 0.46875)]"
17,5,6,H,H,0.6328125,"[('H', 0.53125), ('I', 0.46875)]"
17,6,6,I,I,2.234375,"[('H', 0.89453125), ('I', 0.10693359375)]"
17,7,6,H,H,0.38671875,"[('H', 0.6796875), ('I', 0.3203125)]"
17,8,6,H,H,0.10009765625,"[('H', 0.90625), ('I', 0.09619140625)]"
17,9,6,I,I,2.125,"[('H', 0.87890625), ('I', 0.11962890625)]"
17,10,6,I,I,0.3125,"[('I', 0.73046875), ('H', 0.26953125)]"
18,5,1,I,I,1.8046875,"[('H', 0.8359375), ('I', 0.1640625)]"
19,5,6,H,H,3.890625,"[('I', 0.98046875), ('H', 0.0203857421875)]"
19,6,6,I,I,0.11328125,"[('I', 0.89453125), ('H', 0.10693359375)]"
19,7,6,I,I,0.04296875,"[('I', 0.95703125), ('H', 0.0419921875)]"
19,8,6,I,I,0.16015625,"[('I', 0.8515625), ('H', 0.1474609375)]"
19,9,6,I,I,0.0111083984375,"[('I', 0.98828125), ('H', 0.0111083984375)]"
19,10,6,I,I,0.0206298828125,"[('I', 0.98046875), ('H', 0.0203857421875)]"
20,5,1,H,H,0.57421875,"[('H', 0.5625), ('I', 0.439453125)]"
21,5,6,I,I,0.578125,"[('I', 0.5625), ('H', 0.4375)]"
21,6,6,H,H,1.9140625,"[('I', 0.8515625), ('H', 0.1474609375)]"
21,7,6,I,I,0.578125,"[('I', 0.5625), ('H', 0.4375)]"
21,8,6,I,I,0.1796875,"[('I', 0.8359375), ('H', 0.1640625)]"
21,9,6,H,H,1.2265625,"[('I', 0.703125), ('H', 0.29296875)]"
21,10,6,I,I,1.0546875,"[('H', 0.65234375), ('I', 0.34765625)]"
22,5,6,I,I,0.0181884765625,"[('I', 0.98046875), ('H', 0.0177001953125)]"
22,6,6,I,I,0.0380859375,"[('I', 0.9609375), ('H', 0.03759765625)]"
22,7,6,I,I,0.01104736328125,"[('I', 0.98828125), ('H', 0.0111083984375)]"
22,8,6,I,I,0.0206298828125,"[('I', 0.98046875), ('H', 0.0203857421875)]"
22,9,6,I,I,0.007659912109375,"[('I', 0.9921875), ('H', 0.00762939453125)]"
22,10,6,I,I,0.03369140625,"[('I', 0.96875), ('H', 0.033203125)]"
23,5,1,I,I,4.5,"[('H', 0.98828125), ('I', 0.0111083984375)]"
24,5,6,I,I,0.6953125,"[('I', 0.498046875), ('H', 0.498046875)]"
24,6,6,I,I,0.474609375,"[('I', 0.62109375), ('H', 0.37890625)]"
24,7,6,I,I,0.578125,"[('I', 0.5625), ('H', 0.4375)]"
24,8,6,I,I,0.0791015625,"[('I', 0.92578125), ('H', 0.07568359375)]"
24,9,6,I,I,0.126953125,"[('I', 0.87890625), ('H', 0.11962890625)]"
24,10,6,I,I,0.06201171875,"[('I', 0.94140625), ('H', 0.06005859375)]"
25,5,1,H,H,0.5234375,"[('H', 0.59375), ('I', 0.40625)]"
26,5,6,H,H,2.6875,"[('I', 0.93359375), ('H', 0.06787109375)]"
26,6,6,I,I,0.5234375,"[('I', 0.59375), ('H', 0.40625)]"
26,7,6,H,H,0.8984375,"[('I', 0.59375), ('H', 0.40625)]"
26,8,6,I,I,0.6328125,"[('I', 0.53125), ('H', 0.46875)]"
26,9,6,I,I,0.03369140625,"[('I', 0.96875), ('H', 0.033203125)]"
26,10,6,I,I,0.0791015625,"[('I', 0.92578125), ('H', 0.07568359375)]"
27,5,1,H,H,1.140625,"[('I', 0.6796875), ('H', 0.3203125)]"
28,5,1,I,I,0.0181884765625,"[('I', 0.98046875), ('H', 0.0177001953125)]"
29,5,1,I,I,0.16015625,"[('I', 0.8515625), ('H', 0.1474609375)]"
30,5,1,I,I,1.9140625,"[('H', 0.8515625), ('I', 0.1474609375)]"
31,5,1,H,H,0.251953125,"[('H', 0.77734375), ('I', 0.22265625)]"
32,5,1,I,I,0.142578125,"[('I', 0.8671875), ('H', 0.1328125)]"
33,5,6,H,H,0.10009765625,"[('H', 0.90625), ('I', 0.09619140625)]"
33,6,6,H,H,0.04296875,"[('H', 0.95703125), ('I', 0.0419921875)]"
33,7,6,H,H,0.03369140625,"[('H', 0.96875), ('I', 0.033203125)]"
33,8,6,H,H,0.01416015625,"[('H', 0.984375), ('I', 0.0142822265625)]"
33,9,6,H,H,0.01104736328125,"[('H', 0.98828125), ('I', 0.0111083984375)]"
33,10,6,H,H,0.28125,"[('H', 0.75390625), ('I', 0.2451171875)]"
34,5,6,I,I,0.5234375,"[('I', 0.59375), ('H', 0.40625)]"
34,6,6,I,I,0.142578125,"[('I', 0.8671875), ('H', 0.1328125)]"
34,7,6,I,I,0.2255859375,"[('I', 0.796875), ('H', 0.201171875)]"
34,8,6,H,H,2.8125,"[('I', 0.94140625), ('H', 0.06005859375)]"
34,9,6,I,I,0.38671875,"[('I', 0.6796875), ('H', 0.3203125)]"
34,10,6,I,I,0.0791015625,"[('I', 0.92578125), ('H', 0.07568359375)]"
35,5,6,I,I,0.11279296875,"[('I', 0.89453125), ('H', 0.10693359375)]"
35,6,6,I,I,0.16015625,"[('I', 0.8515625), ('H', 0.1474609375)]"
35,7,6,I,I,0.34765625,"[('I', 0.70703125), ('H', 0.29296875)]"
35,8,6,I,I,0.06982421875,"[('I', 0.93359375), ('H', 0.06787109375)]"
35,9,6,I,I,0.201171875,"[('I', 0.81640625), ('H', 0.181640625)]"
35,10,6,I,I,0.142578125,"[('I', 0.8671875), ('H', 0.1328125)]"
36,5,6,H,H,0.06201171875,"[('H', 0.94140625), ('I', 0.06005859375)]"
36,6,6,H,H,0.0159912109375,"[('H', 0.984375), ('I', 0.015625)]"
36,7,6,H,H,0.01251220703125,"[('H', 0.98828125), ('I', 0.0125732421875)]"
36,8,6,H,H,0.0159912109375,"[('H', 0.984375), ('I', 0.015625)]"
36,9,6,H,H,0.0052490234375,"[('H', 0.99609375), ('I', 0.0052490234375)]"
36,10,6,H,H,0.0111083984375,"[('H', 0.98828125), ('I', 0.0111083984375)]"
37,5,1,I,I,0.0263671875,"[('I', 0.97265625), ('H', 0.02587890625)]"
38,5,1,I,I,0.11279296875,"[('I', 0.89453125), ('H', 0.10693359375)]"
39,5,6,I,I,0.16015625,"[('I', 0.8515625), ('H', 0.1474609375)]"
39,6,6,I,I,0.126953125,"[('I', 0.87890625), ('H', 0.11962890625)]"
39,7,6,H,H,2.015625,"[('I', 0.8671875), ('H', 0.1328125)]"
39,8,6,I,I,0.349609375,"[('I', 0.703125), ('H', 0.29296875)]"
39,9,6,I,I,0.06201171875,"[('I', 0.94140625), ('H', 0.06005859375)]"
39,10,6,I,I,0.2255859375,"[('I', 0.796875), ('H', 0.201171875)]"
40,5,6,H,H,0.6953125,"[('I', 0.498046875), ('H', 0.498046875)]"
40,6,6,I,I,0.8984375,"[('H', 0.59375), ('I', 0.40625)]"
40,7,6,H,H,0.828125,"[('I', 0.5625), ('H', 0.4375)]"
40,8,6,I,I,0.69140625,"[('I', 0.5), ('H', 0.5)]"
40,9,6,I,I,0.578125,"[('I', 0.5625), ('H', 0.4375)]"
40,10,6,H,H,1.40625,"[('I', 0.75390625), ('H', 0.2451171875)]"
41,5,6,H,H,0.048583984375,"[('H', 0.953125), ('I', 0.047607421875)]"
41,6,6,H,H,0.03369140625,"[('H', 0.96875), ('I', 0.033203125)]"
41,7,6,H,H,0.02978515625,"[('H', 0.96875), ('I', 0.029296875)]"
41,8,6,H,H,0.0263671875,"[('H', 0.97265625), ('I', 0.02587890625)]"
41,9,6,H,H,0.0086669921875,"[('H', 0.9921875), ('I', 0.0086669921875)]"
41,10,6,H,H,0.0181884765625,"[('H', 0.98046875), ('I', 0.0177001953125)]"
