Fp,Block,Trial,Stimulus,Cue1_English,Cue2_English,Criterium_English,Response_as numeric output,condition,response_raw,Experiment
101,1,1,19,A lot,Very much,Somewhat low,70,1,High,1
101,1,2,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,1,3,17,A lot,Average,Somewhat high,50,1,Normal,1
101,1,4,11,Average,A little,Somewhat high,30,1,Low,1
101,1,5,7,A little,Average,Somewhat low,50,1,Normal,1
101,1,6,16,A lot,A little,High,80,1,Very high,1
101,1,7,1,Very little,Very little,Normal,50,1,Normal,1
101,1,8,20,Very much,A little,Very high,80,1,Very high,1
101,1,9,15,A lot,Very little,Very high,80,1,Very high,1
101,1,10,6,A little,A little,Normal,50,1,Normal,1
101,1,11,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
101,1,12,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,1,13,22,Very much,A lot,Somewhat high,80,1,Very high,1
101,1,14,9,A little,Very much,Very low,20,1,Very low,1
101,1,15,14,Average,Very much,Low,30,1,Low,1
101,1,16,21,Very much,Average,High,60,1,Somewhat high,1
101,1,17,10,Average,Very little,High,70,1,High,1
101,1,18,8,A little,A lot,Low,50,1,Normal,1
101,1,19,23,Very much,Very much,Normal,50,1,Normal,1
101,1,20,18,A lot,A lot,Normal,50,1,Normal,1
101,1,21,3,Very little,Average,Low,30,1,Low,1
101,1,22,12,Average,Average,Normal,50,1,Normal,1
101,1,23,4,Very little,A lot,Very low,20,1,Very low,1
101,2,24,11,Average,A little,Somewhat high,60,1,Somewhat high,1
101,2,25,5,A little,Very little,Somewhat high,80,1,Very high,1
101,2,26,18,A lot,A lot,Normal,50,1,Normal,1
101,2,27,14,Average,Very much,Low,40,1,Somewhat low,1
101,2,28,12,Average,Average,Normal,50,1,Normal,1
101,2,29,1,Very little,Very little,Normal,50,1,Normal,1
101,2,30,20,Very much,A little,Very high,80,1,Very high,1
101,2,31,16,A lot,A little,High,70,1,High,1
101,2,32,23,Very much,Very much,Normal,50,1,Normal,1
101,2,33,13,Average,A lot,Somewhat low,60,1,Somewhat high,1
101,2,34,21,Very much,Average,High,70,1,High,1
101,2,35,3,Very little,Average,Low,40,1,Somewhat low,1
101,2,36,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,2,37,7,A little,Average,Somewhat low,30,1,Low,1
101,2,38,10,Average,Very little,High,60,1,Somewhat high,1
101,2,39,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,2,40,17,A lot,Average,Somewhat high,40,1,Somewhat low,1
101,2,41,4,Very little,A lot,Very low,20,1,Very low,1
101,2,42,6,A little,A little,Normal,50,1,Normal,1
101,2,43,8,A little,A lot,Low,30,1,Low,1
101,2,44,15,A lot,Very little,Very high,70,1,High,1
101,2,45,9,A little,Very much,Very low,20,1,Very low,1
101,2,46,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,3,47,18,A lot,A lot,Normal,50,1,Normal,1
101,3,48,6,A little,A little,Normal,50,1,Normal,1
101,3,49,1,Very little,Very little,Normal,50,1,Normal,1
101,3,50,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
101,3,51,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
101,3,52,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,3,53,7,A little,Average,Somewhat low,40,1,Somewhat low,1
101,3,54,19,A lot,Very much,Somewhat low,60,1,Somewhat high,1
101,3,55,15,A lot,Very little,Very high,80,1,Very high,1
101,3,56,4,Very little,A lot,Very low,20,1,Very low,1
101,3,57,9,A little,Very much,Very low,20,1,Very low,1
101,3,58,14,Average,Very much,Low,30,1,Low,1
101,3,59,8,A little,A lot,Low,30,1,Low,1
101,3,60,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
101,3,61,10,Average,Very little,High,70,1,High,1
101,3,62,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
101,3,63,20,Very much,A little,Very high,40,1,Somewhat low,1
101,3,64,23,Very much,Very much,Normal,50,1,Normal,1
101,3,65,12,Average,Average,Normal,50,1,Normal,1
101,3,66,3,Very little,Average,Low,30,1,Low,1
101,3,67,11,Average,A little,Somewhat high,60,1,Somewhat high,1
101,3,68,21,Very much,Average,High,70,1,High,1
101,3,69,16,A lot,A little,High,50,1,Normal,1
101,4,70,14,Average,Very much,Low,30,1,Low,1
101,4,71,7,A little,Average,Somewhat low,40,1,Somewhat low,1
101,4,72,17,A lot,Average,Somewhat high,70,1,High,1
101,4,73,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
101,4,74,10,Average,Very little,High,70,1,High,1
101,4,75,8,A little,A lot,Low,20,1,Very low,1
101,4,76,6,A little,A little,Normal,50,1,Normal,1
101,4,77,15,A lot,Very little,Very high,80,1,Very high,1
101,4,78,13,Average,A lot,Somewhat low,70,1,High,1
101,4,79,21,Very much,Average,High,60,1,Somewhat high,1
101,4,80,2,Very little,A little,Somewhat low,20,1,Very low,1
101,4,81,3,Very little,Average,Low,30,1,Low,1
101,4,82,18,A lot,A lot,Normal,50,1,Normal,1
101,4,83,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,4,84,9,A little,Very much,Very low,20,1,Very low,1
101,4,85,4,Very little,A lot,Very low,30,1,Low,1
101,4,86,1,Very little,Very little,Normal,50,1,Normal,1
101,4,87,23,Very much,Very much,Normal,50,1,Normal,1
101,4,88,11,Average,A little,Somewhat high,30,1,Low,1
101,4,89,12,Average,Average,Normal,50,1,Normal,1
101,4,90,16,A lot,A little,High,70,1,High,1
101,4,91,5,A little,Very little,Somewhat high,20,1,Very low,1
101,4,92,20,Very much,A little,Very high,70,1,High,1
101,5,93,4,Very little,A lot,Very low,20,1,Very low,1
101,5,94,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
101,5,95,3,Very little,Average,Low,30,1,Low,1
101,5,96,7,A little,Average,Somewhat low,40,1,Somewhat low,1
101,5,97,18,A lot,A lot,Normal,50,1,Normal,1
101,5,98,15,A lot,Very little,Very high,80,1,Very high,1
101,5,99,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
101,5,100,12,Average,Average,Normal,50,1,Normal,1
101,5,101,1,Very little,Very little,Normal,50,1,Normal,1
