,Fp,Block,Trial,Stimulus,Cue1_English,Cue2_English,Criterium_English,Response_as numeric output,condition,response_raw
0,101,1,1,19,a lot,very much,somewhat low,70,1,high
1,101,1,2,13,average,a lot,somewhat low,40,1,somewhat low
2,101,1,3,17,a lot,average,somewhat high,50,1,normal
3,101,1,4,11,average,a little,somewhat high,30,1,low
4,101,1,5,7,a little,average,somewhat low,50,1,normal
5,101,1,6,16,a lot,a little,high,80,1,very high
6,101,1,7,1,very little,very little,normal,50,1,normal
7,101,1,8,20,very much,a little,very high,80,1,very high
8,101,1,9,15,a lot,very little,very high,80,1,very high
9,101,1,10,6,a little,a little,normal,50,1,normal
10,101,1,11,5,a little,very little,somewhat high,60,1,somewhat high
11,101,1,12,2,very little,a little,somewhat low,40,1,somewhat low
12,101,1,13,22,very much,a lot,somewhat high,80,1,very high
13,101,1,14,9,a little,very much,very low,20,1,very low
14,101,1,15,14,average,very much,low,30,1,low
15,101,1,16,21,very much,average,high,60,1,somewhat high
16,101,1,17,10,average,very little,high,70,1,high
17,101,1,18,8,a little,a lot,low,50,1,normal
18,101,1,19,23,very much,very much,normal,50,1,normal
19,101,1,20,18,a lot,a lot,normal,50,1,normal
20,101,1,21,3,very little,average,low,30,1,low
21,101,1,22,12,average,average,normal,50,1,normal
22,101,1,23,4,very little,a lot,very low,20,1,very low
23,101,2,24,11,average,a little,somewhat high,60,1,somewhat high
24,101,2,25,5,a little,very little,somewhat high,80,1,very high
25,101,2,26,18,a lot,a lot,normal,50,1,normal
26,101,2,27,14,average,very much,low,40,1,somewhat low
27,101,2,28,12,average,average,normal,50,1,normal
28,101,2,29,1,very little,very little,normal,50,1,normal
29,101,2,30,20,very much,a little,very high,80,1,very high
30,101,2,31,16,a lot,a little,high,70,1,high
31,101,2,32,23,very much,very much,normal,50,1,normal
32,101,2,33,13,average,a lot,somewhat low,60,1,somewhat high
33,101,2,34,21,very much,average,high,70,1,high
34,101,2,35,3,very little,average,low,40,1,somewhat low
35,101,2,36,19,a lot,very much,somewhat low,40,1,somewhat low
36,101,2,37,7,a little,average,somewhat low,30,1,low
37,101,2,38,10,average,very little,high,60,1,somewhat high
38,101,2,39,2,very little,a little,somewhat low,40,1,somewhat low
39,101,2,40,17,a lot,average,somewhat high,40,1,somewhat low
40,101,2,41,4,very little,a lot,very low,20,1,very low
41,101,2,42,6,a little,a little,normal,50,1,normal
42,101,2,43,8,a little,a lot,low,30,1,low
43,101,2,44,15,a lot,very little,very high,70,1,high
44,101,2,45,9,a little,very much,very low,20,1,very low
45,101,2,46,22,very much,a lot,somewhat high,60,1,somewhat high
46,101,3,47,18,a lot,a lot,normal,50,1,normal
47,101,3,48,6,a little,a little,normal,50,1,normal
48,101,3,49,1,very little,very little,normal,50,1,normal
49,101,3,50,17,a lot,average,somewhat high,60,1,somewhat high
50,101,3,51,2,very little,a little,somewhat low,40,1,somewhat low
51,101,3,52,22,very much,a lot,somewhat high,60,1,somewhat high
52,101,3,53,7,a little,average,somewhat low,40,1,somewhat low
53,101,3,54,19,a lot,very much,somewhat low,60,1,somewhat high
54,101,3,55,15,a lot,very little,very high,80,1,very high
55,101,3,56,4,very little,a lot,very low,20,1,very low
56,101,3,57,9,a little,very much,very low,20,1,very low
57,101,3,58,14,average,very much,low,30,1,low
58,101,3,59,8,a little,a lot,low,30,1,low
59,101,3,60,5,a little,very little,somewhat high,60,1,somewhat high
60,101,3,61,10,average,very little,high,70,1,high
61,101,3,62,13,average,a lot,somewhat low,40,1,somewhat low
62,101,3,63,20,very much,a little,very high,40,1,somewhat low
63,101,3,64,23,very much,very much,normal,50,1,normal
64,101,3,65,12,average,average,normal,50,1,normal
65,101,3,66,3,very little,average,low,30,1,low
66,101,3,67,11,average,a little,somewhat high,60,1,somewhat high
67,101,3,68,21,very much,average,high,70,1,high
68,101,3,69,16,a lot,a little,high,50,1,normal
69,101,4,70,14,average,very much,low,30,1,low
70,101,4,71,7,a little,average,somewhat low,40,1,somewhat low
71,101,4,72,17,a lot,average,somewhat high,70,1,high
72,101,4,73,19,a lot,very much,somewhat low,40,1,somewhat low
73,101,4,74,10,average,very little,high,70,1,high
74,101,4,75,8,a little,a lot,low,20,1,very low
75,101,4,76,6,a little,a little,normal,50,1,normal
76,101,4,77,15,a lot,very little,very high,80,1,very high
77,101,4,78,13,average,a lot,somewhat low,70,1,high
78,101,4,79,21,very much,average,high,60,1,somewhat high
79,101,4,80,2,very little,a little,somewhat low,20,1,very low
80,101,4,81,3,very little,average,low,30,1,low
81,101,4,82,18,a lot,a lot,normal,50,1,normal
82,101,4,83,22,very much,a lot,somewhat high,60,1,somewhat high
83,101,4,84,9,a little,very much,very low,20,1,very low
84,101,4,85,4,very little,a lot,very low,30,1,low
85,101,4,86,1,very little,very little,normal,50,1,normal
86,101,4,87,23,very much,very much,normal,50,1,normal
87,101,4,88,11,average,a little,somewhat high,30,1,low
88,101,4,89,12,average,average,normal,50,1,normal
89,101,4,90,16,a lot,a little,high,70,1,high
90,101,4,91,5,a little,very little,somewhat high,20,1,very low
91,101,4,92,20,very much,a little,very high,70,1,high
92,101,5,93,4,very little,a lot,very low,20,1,very low
93,101,5,94,17,a lot,average,somewhat high,60,1,somewhat high
94,101,5,95,3,very little,average,low,30,1,low
95,101,5,96,7,a little,average,somewhat low,40,1,somewhat low
96,101,5,97,18,a lot,a lot,normal,50,1,normal
97,101,5,98,15,a lot,very little,very high,80,1,very high
98,101,5,99,22,very much,a lot,somewhat high,60,1,somewhat high
99,101,5,100,12,average,average,normal,50,1,normal
100,101,5,101,1,very little,very little,normal,50,1,normal
101,101,5,102,5,a little,very little,somewhat high,60,1,somewhat high
102,101,5,103,10,average,very little,high,70,1,high
103,101,5,104,2,very little,a little,somewhat low,40,1,somewhat low
104,101,5,105,9,a little,very much,very low,20,1,very low
105,101,5,106,14,average,very much,low,30,1,low
106,101,5,107,11,average,a little,somewhat high,40,1,somewhat low
107,101,5,108,23,very much,very much,normal,50,1,normal
108,101,5,109,13,average,a lot,somewhat low,40,1,somewhat low
109,101,5,110,20,very much,a little,very high,60,1,somewhat high
110,101,5,111,19,a lot,very much,somewhat low,40,1,somewhat low
111,101,5,112,6,a little,a little,normal,50,1,normal
112,101,5,113,21,very much,average,high,60,1,somewhat high
113,101,5,114,16,a lot,a little,high,70,1,high
114,101,5,115,8,a little,a lot,low,30,1,low
115,101,6,116,6,a little,a little,normal,50,1,normal
116,101,6,117,21,very much,average,high,70,1,high
