participant_id,trial,block,condition,cue1,cue2,criterium,choice,prompt_hash
113,1,1,1,a lot,a lot,normal,somewhat low,9f5244c59e67bd0e86a6d86a0fe5d8795f39e970e35ece5127981fc9b4b2735e
113,2,1,1,very much,very much,normal,somewhat high,9c629a9612d0fa8e0d1cb6a040219736fd75c9489e947efcfa4b4275098c5d5c
113,3,1,1,a little,very much,very low,very low,b47f8464c0956aaf2a20e447a94c16054e6161c99d3a307d16730d1dfa365c5a
113,4,1,1,average,a lot,somewhat low,low,470680045e957a809ade22dca383d2d6858fd416704361fd5b054725adbe0f5a
113,5,1,1,a lot,a little,high,low,bf5c0f4e1055dd710b88ccdf0e2f439f0a7a9f810f29883466ad0ac3d752ac2e
113,6,1,1,a little,average,somewhat low,somewhat low,ad06965b5fb1e84abaf8fc2f717f9be471ef50f6683c58296f7f2244b576202d
113,7,1,1,a lot,very little,very high,low,9acc42b84addf365a07a8553ce398f0bf4f70372a842fc80074ead7dae9836f0
113,8,1,1,average,average,normal,normal,06693beca01329a50e9c5efcad61886be9c158c5b2fa707fadf5c9982a405500
113,9,1,1,a lot,very much,somewhat low,normal,9877d3c984c4d15d357f3d0a82df486357b1e75c3385a17f1814d2c1c448747c
113,10,1,1,very much,average,high,high,45f04e8256302f4da2638753ebd9521f15b0fb08f52094c9a87761bf21e1c3b2
113,11,1,1,average,a little,somewhat high,high,934c51862d896e35b3070bcb8cd928ca9921cd1487cb106688e602654ab5bbbd
113,12,1,1,very much,a little,very high,high,effb822f965a4b740b599d6791aa763223b2186e1600163a964b61d16576f651
113,13,1,1,average,very much,low,low,e0d71dad59827174b294e67975d145430d9b77a4f840286a910d3fac7a8930cf
113,14,1,1,very little,average,low,somewhat high,e18f797dfa85f080e218b92ff70a305c8d3887a5839bb01291b94e7fa2cc3853
113,15,1,1,very much,a lot,somewhat high,normal,a15e364494a95110ec47f9030fbe93c7b120c47b3ca0d3115fb7ddaefd19e5fe
113,16,1,1,a little,a lot,low,high,208b7d357419528e01176cb93e4de5560fddeb18ceb75f5883ad1fe15b327876
113,17,1,1,a lot,average,somewhat high,high,d30ed3b790daeafef16746e22f525ada2c0b5b7d79edf9118c5fe5baedfbaa78
113,18,1,1,very little,a little,somewhat low,low,1142c05b4f423905872bb77d57b3a7c9f9a9a82043648905e8a55cfc2a23db31
113,19,1,1,a little,very little,somewhat high,somewhat low,4dc00cd73baf48fa7f1ad630e31b9ac6297865230b85c58e84def0c141900cef
