participant_id,trial,block,condition,cue1,cue2,criterium,choice,prompt_hash
144,1,1,4,5,3,50,90,dc09a82401da751d7e139325acf1467695c46b0ab7f3975765a62b8307c9d915
144,2,1,4,4,1,30,40,20e79a4bbcef2a7b480482934361a9b8b127ab45503fc60e16bbfad1c1866950
144,3,1,4,2,3,50,40,80be19113fa172edd0a82b2074732db9b268583cb4a8009449302f3b37bc16fc
144,4,1,4,2,1,70,30,ba81ce125a3e7cb6d0064fafb71cf63d9b537baaabb295b6c450c226d22dd4e2
144,5,1,4,3,1,50,60,333e8e1da646f2d13a2f7a9704a5ad542dd588067b528e56ccc5a3d2cf5f5767
144,6,1,4,5,4,70,80,71000e57ee72f3e7b1daea002afe19bd224252ca2b68e48007352cdc7af31233
144,7,1,4,2,4,40,60,bb4759ecaf91031c3b9d70875011da853be120db40a82b05ea916fe6d2fd4f82
144,8,1,4,4,5,70,60,aa562760f20b01a42f1e4113897c3dc4e7a98010c1b03d925727b832dcf3ba5b
144,9,1,4,5,2,30,60,12bc7a69d0c27031192a4a172bf31b10c1ba4f0483688afea4cc2bc7eefee670
144,10,1,4,1,3,50,40,f0e204c1b9176e79f4be29755ba631c2013c72d6da3149aea3a4b0b0dc0de593
144,11,1,4,4,3,50,60,c0a16d47e9d9e30dadc4e893bb94cb6f4e03c46e0d29224009227bd52a246109
144,12,1,4,1,4,30,50,c4dbb8defae07e56d21ad9f79d6c89d15f7ef8011f9c92b522e0d4ed17bd1b88
144,13,1,4,3,2,50,50,bc71ba3e18910b22cd061bdd0b3f02ea2af08d12c55ec9b0da9d80b1bfe41402
144,14,1,4,3,3,50,50,b5b6c7ee22634db80686145c121f6cbfd64f810c3ff5a7f1a0e965ca9b2a9148
144,15,1,4,5,5,90,70,cfe5aeca9de07e4d21686dba5b0e2aa9736d2333e27210ff9fa6f474678c593a
144,16,1,4,2,2,60,40,0069341468ebc001a0b050b4c89e1411d35b2780fdb9d3ecf8215769303c418e
144,17,1,4,3,4,50,60,69ee25e9e4b34c1b683a0b3b1060886dcf469f93d87560632f2694cd2a0dcb40
144,18,1,4,2,5,30,70,c6dc66c728c13eb2cf93b513cdcfff1933695a793d2c6f6239c03ce0689184b3
144,19,1,4,1,5,10,20,d5c542207e4e02ec9f08f4bcadaca7a9d1c093796effb85e0ebbb4e389aa0d6f
144,20,1,4,1,2,70,20,975159c8d74c37202eca363adb27ff417094975e4dfca7c3ea9a125e0c20b321
144,21,1,4,4,2,40,50,2e72e0630e1e59f5829bc1c7c277ba7a445c10dd656f28738797ca80c0aa759f
144,22,1,4,4,4,60,60,89d1498579f6cae1124b943690d3cd0db018c97acc81882db366492d10260b2f
144,23,1,4,3,5,50,50,8541915405dfecbca7af3f1e3a8053a0ea8d05f710f0148dce52cb8a41204ba6
144,24,2,4,5,2,30,30,36773a790f37aaeb5799d967c40b42743f52e2e6ff96cf447d2d0387240e227e
144,25,2,4,3,5,50,50,3c5994ebdd5de6233a296fb2ce62dea8e7e66e23c2a1f1504cdbbab6b39b1e9b
144,26,2,4,2,5,30,30,e8de77c7e5571ac5b063da166ff546f7d8afd45b28b2b7675b8ca914ea8aec36
144,27,2,4,5,5,90,90,bba36738048da4f4ef1e30cd37073902fe8f17a258dd414c8568e947b96c24de
144,28,2,4,1,5,10,10,0ea4980de23e6af5e078ab5d28cd181186dac7bfc5aaa3c74776bb0d03d03613
144,29,2,4,2,3,50,50,83051e8d321564e5b36b4da5ee06ea5991593b39449c0352523caff2c6f26df2
144,30,2,4,5,3,50,50,869c298780f849567a72a721a82dcf8d18b6ab65e1897a29cd8861b4c194ff4a
144,31,2,4,1,2,70,70,abffc524908aed98c3b75a20a9b7521322a00e49abb581b06bdecd18ebddceeb
144,32,2,4,4,1,30,30,af6d5f78a7e31508b08bdec1b556cb45a42ecf063695777d7506147235bca929
144,33,2,4,4,2,40,40,92da2b86cb0fa265324506698934e7d0e1a721000d75be9116999f5e1f44f9e1
144,34,2,4,1,4,30,30,b08aa05fa56ad4b6562fa98227d58e4ed5c7548dfb4010699f84ac58c20f2c8b
144,35,2,4,4,3,50,50,a89747a230d1356d2503ea55423c4a3a495f988732079def69742231b641413a
144,36,2,4,3,2,50,50,33f5530b4de2a2768e6df493848d99b643dc236dba55d805f4281edc81116ea4
144,37,2,4,2,4,40,40,d51c9705e28e1035cd401ebf0805d7da5d3118e75eb9244048544eeaa776cf96
144,38,2,4,3,4,50,50,26d9cf3e28bba8cfa41b8e7012b25880388080bdb0b7c1f9b963a0cf2e4c7741
144,39,2,4,1,3,50,50,ed3f3b952f7b57ed9d693e9cf2a3a07994ba46f6cd0cb685d2bd112b778d8020
144,40,2,4,4,5,70,70,394f393a8e7b0b818742efe638467d022292d52593c2cbd94e9d2bb820f3e1ee
144,41,2,4,2,2,60,60,9717649064fb01e0b4bfcd2bb6d5fddc26c184c9f7e64e00c4eedc05cf52e874
144,42,2,4,4,4,60,60,6bbf37572166d636f10fdd85bb0f86d18b6bd498e5fd763b378b993849a18970
