participant_id,trial_index,ground_truth,nll,prob_step_1,prob_step_2,prob_step_3
239,1,normal,1.625,0.197265625,,
239,2,extremely low,3.2421875,0.06591796875,1.0,0.59375
239,3,very high,2.5703125,0.1875,0.40625,
239,4,somewhat low,2.140625,0.25,1.0,0.46875
239,5,normal,1.1875,0.3046875,,
239,6,somewhat low,1.98046875,0.275390625,1.0,0.5
239,7,normal,2.359375,0.09423828125,,
239,8,normal,1.1640625,0.3125,,
239,9,low,1.75,0.173828125,,
239,10,normal,0.1982421875,0.8203125,,
239,11,extremely high,3.09228515625,0.046875,1.0,0.96875
239,12,high,2.03125,0.130859375,,
239,13,extremely high,1.9501953125,0.1455078125,1.0,0.98046875
239,14,somewhat high,2.939453125,0.06005859375,1.0,0.87890625
239,15,very high,1.10235595703125,0.333984375,0.9921875,
239,16,somewhat low,1.701171875,0.29296875,1.0,0.62109375
239,17,extremely low,1.859130859375,0.1591796875,1.0,0.9765625
239,18,extremely low,1.990234375,0.1669921875,1.0,0.81640625
239,19,extremely high,5.125,0.0185546875,1.0,0.3203125
239,20,very high,1.54638671875,0.228515625,0.93359375,
239,21,normal,1.296875,0.2734375,,
239,22,very low,1.625,0.2353515625,0.8359375,
239,23,very low,1.10107421875,0.353515625,0.94140625,
239,24,somewhat high,2.02978515625,0.1455078125,1.0,0.90625
239,25,somewhat low,1.88671875,0.177734375,1.0,0.8515625
239,26,somewhat low,0.927734375,0.44921875,1.0,0.87890625
239,27,very high,1.54150390625,0.2216796875,0.96875,
239,28,low,2.328125,0.09765625,,
239,29,normal,0.609375,0.54296875,,
239,30,somewhat high,2.36328125,0.1328125,1.0,0.70703125
239,31,somewhat high,1.8203125,0.55078125,1.0,0.29296875
239,32,extremely high,0.21026611328125,0.8203125,1.0,0.98828125
239,33,very low,2.4072265625,0.09765625,0.92578125,
239,34,high,1.953125,0.1416015625,,
239,35,somewhat high,1.30859375,0.28125,1.0,0.95703125
239,36,very low,3.9453125,0.11767578125,0.1640625,
239,37,high,1.7421875,0.1748046875,,
239,38,somewhat low,1.015625,0.42578125,1.0,0.8515625
239,39,normal,0.6484375,0.5234375,,
239,40,normal,2.609375,0.07373046875,,
239,41,normal,2.46875,0.08447265625,,
239,42,normal,0.435546875,0.6484375,,
239,43,extremely low,2.236083984375,0.1123046875,1.0,0.953125
239,44,somewhat high,2.58984375,0.1708984375,1.0,0.439453125
239,45,high,2.265625,0.10400390625,,
239,46,very low,1.625,0.26953125,0.73046875,
239,47,high,1.9921875,0.13671875,,
239,48,somewhat high,0.36572265625,0.71484375,1.0,0.96875
239,49,somewhat high,3.31640625,0.427734375,1.0,0.08447265625
239,50,somewhat low,1.7578125,0.2353515625,1.0,0.73046875
239,51,very high,1.5537109375,0.2197265625,0.9609375,
239,52,extremely high,0.06707763671875,0.9375,1.0,0.99609375
239,53,normal,0.458984375,0.6328125,,
239,54,very low,2.52734375,0.1416015625,0.5625,
239,55,low,1.8359375,0.1591796875,,
239,56,normal,0.388671875,0.6796875,,
239,57,very low,2.451171875,0.138671875,0.62109375,
239,58,high,3.234375,0.039306640625,,
239,59,normal,0.330078125,0.71875,,
239,60,normal,0.337890625,0.71484375,,
239,61,normal,0.0791015625,0.92578125,,
239,62,low,4.375,0.0125732421875,,
239,63,somewhat low,2.7421875,0.392578125,1.0,0.1640625
239,64,high,2.265625,0.10400390625,,
239,65,very low,2.544921875,0.09619140625,0.81640625,
239,66,low,2.03125,0.130859375,,
239,67,somewhat high,2.08203125,0.18359375,1.0,0.6796875
239,68,very low,1.4150390625,0.263671875,0.92578125,
239,69,very low,1.2216796875,0.322265625,0.9140625,
239,70,normal,0.1728515625,0.83984375,,
239,71,normal,2.71875,0.06591796875,,
239,72,very high,5.240234375,0.00811767578125,0.65234375,
239,73,extremely low,0.78369140625,0.47265625,1.0,0.96875
239,74,normal,0.298828125,0.7421875,,
239,75,very high,3.3359375,0.298828125,0.11962890625,
239,76,low,1.421875,0.2412109375,,
239,77,normal,0.6953125,0.498046875,,
239,78,extremely high,0.12872314453125,0.890625,1.0,0.98828125
239,79,extremely low,2.8662109375,0.0712890625,1.0,0.796875
239,80,very high,3.138671875,0.052978515625,0.81640625,
239,81,normal,0.36328125,0.6953125,,
239,82,extremely low,2.36181640625,0.09765625,1.0,0.96875
239,83,very high,1.181396484375,0.322265625,0.953125,
239,84,normal,2.03125,0.130859375,,
239,85,somewhat high,2.48046875,0.1904296875,1.0,0.439453125
239,86,somewhat low,3.1015625,0.46875,1.0,0.09619140625
239,87,normal,0.2421875,0.78515625,,
239,88,normal,1.5234375,0.2177734375,,
239,89,high,2.109375,0.12109375,,
239,90,somewhat low,3.28125,0.2060546875,1.0,0.181640625
239,91,high,1.6171875,0.1982421875,,
239,92,normal,1.3203125,0.267578125,,
239,93,normal,0.65625,0.51953125,,
239,94,low,1.484375,0.2265625,,
239,95,somewhat high,2.234375,0.4375,1.0,0.2451171875
239,96,normal,0.3359375,0.71484375,,
239,97,normal,0.67578125,0.5078125,,
239,98,somewhat high,1.44140625,0.5390625,1.0,0.439453125
239,99,extremely high,0.13720703125,0.8984375,1.0,0.96875
239,100,normal,0.10009765625,0.90625,,
239,101,somewhat low,1.90625,0.365234375,1.0,0.40625
239,102,normal,0.421875,0.65625,,
239,103,normal,0.1123046875,0.89453125,,
239,104,low,2.90625,0.0546875,,
239,105,normal,2.875,0.056396484375,,
239,106,somewhat low,2.9921875,0.123046875,1.0,0.40625
239,107,low,1.0078125,0.365234375,,
239,108,normal,0.09619140625,0.91015625,,
239,109,low,0.99609375,0.369140625,,
239,110,somewhat low,2.41796875,0.2353515625,1.0,0.37890625
239,111,normal,0.0810546875,0.921875,,
239,112,high,3.734375,0.02392578125,,
239,113,very high,2.3037109375,0.125,0.796875,
239,114,low,1.9140625,0.1474609375,,
239,115,extremely low,2.767578125,0.0810546875,1.0,0.77734375
239,116,somewhat high,1.40234375,0.5234375,1.0,0.46875
239,117,somewhat low,1.54296875,0.5234375,1.0,0.40625
239,118,normal,0.1318359375,0.875,,
239,119,extremely low,2.16357421875,0.123046875,1.0,0.93359375
239,120,normal,0.2001953125,0.8203125,,
239,121,normal,0.09765625,0.90625,,
239,122,normal,0.408203125,0.6640625,,
