participant_id,trial_index,ground_truth,step,prefix,gt_prob,distribution
39,1,somewhat high,1,start,0.765625,"[('som', 0.765625), ('low', 0.1611328125), ('very', 0.06689453125), ('ext', 0.00384521484375), ('high', 0.0016021728515625), ('normal', 7.486343383789062e-05)]"
39,1,somewhat high,2,['som'],1.0,"[('ewhat', 1.0)]"
39,1,somewhat high,3,"['som', 'ewhat']",0.06005859375,"[('Ġlow', 0.94140625), ('Ġhigh', 0.06005859375)]"
39,2,somewhat low,1,start,0.044677734375,"[('high', 0.7890625), ('normal', 0.15625), ('som', 0.044677734375), ('very', 0.005950927734375), ('low', 0.00360107421875), ('ext', 0.00014019012451171875)]"
39,2,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
39,2,somewhat low,3,"['som', 'ewhat']",0.34765625,"[('Ġhigh', 0.65234375), ('Ġlow', 0.34765625)]"
39,3,somewhat low,1,start,0.0274658203125,"[('normal', 0.337890625), ('low', 0.337890625), ('high', 0.232421875), ('very', 0.05126953125), ('som', 0.0274658203125), ('ext', 0.0167236328125)]"
39,3,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
39,3,somewhat low,3,"['som', 'ewhat']",0.10693359375,"[('Ġhigh', 0.89453125), ('Ġlow', 0.10693359375)]"
39,4,normal,1,start,0.12109375,"[('low', 0.79296875), ('normal', 0.12109375), ('very', 0.044677734375), ('ext', 0.0185546875), ('som', 0.0167236328125), ('high', 0.00787353515625)]"
39,5,somewhat low,1,start,0.078125,"[('very', 0.51171875), ('low', 0.310546875), ('ext', 0.0888671875), ('som', 0.078125), ('normal', 0.00653076171875), ('high', 0.0023956298828125)]"
39,5,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
39,5,somewhat low,3,"['som', 'ewhat']",0.53125,"[('Ġlow', 0.53125), ('Ġhigh', 0.46875)]"
39,6,somewhat low,1,start,0.0888671875,"[('low', 0.74609375), ('normal', 0.1474609375), ('som', 0.0888671875), ('very', 0.01220703125), ('ext', 0.003082275390625), ('high', 0.00099945068359375)]"
39,6,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
39,6,somewhat low,3,"['som', 'ewhat']",0.62109375,"[('Ġlow', 0.62109375), ('Ġhigh', 0.37890625)]"
39,7,low,1,start,0.51953125,"[('low', 0.51953125), ('normal', 0.404296875), ('som', 0.0703125), ('very', 0.005767822265625), ('ext', 0.00128936767578125), ('high', 0.00021648406982421875)]"
39,8,somewhat high,1,start,0.1806640625,"[('normal', 0.4921875), ('low', 0.263671875), ('som', 0.1806640625), ('very', 0.046142578125), ('high', 0.0101318359375), ('ext', 0.005401611328125)]"
39,8,somewhat high,2,['som'],1.0,"[('ewhat', 1.0)]"
39,8,somewhat high,3,"['som', 'ewhat']",0.796875,"[('Ġhigh', 0.796875), ('Ġlow', 0.201171875)]"
39,9,normal,1,start,0.072265625,"[('high', 0.88671875), ('normal', 0.072265625), ('som', 0.026611328125), ('very', 0.0125732421875), ('low', 0.00102996826171875), ('ext', 5.841255187988281e-05)]"
39,10,somewhat low,1,start,0.18359375,"[('low', 0.640625), ('som', 0.18359375), ('very', 0.125), ('normal', 0.0279541015625), ('ext', 0.021728515625), ('high', 0.00040435791015625)]"
39,10,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
39,10,somewhat low,3,"['som', 'ewhat']",0.77734375,"[('Ġlow', 0.77734375), ('Ġhigh', 0.22265625)]"
39,11,somewhat low,1,start,0.1005859375,"[('low', 0.65625), ('normal', 0.2412109375), ('som', 0.1005859375), ('very', 0.00164794921875), ('ext', 0.00011587142944335938), ('high', 3.314018249511719e-05)]"
39,11,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
39,11,somewhat low,3,"['som', 'ewhat']",0.95703125,"[('Ġlow', 0.95703125), ('Ġhigh', 0.0419921875)]"
39,12,normal,1,start,0.88671875,"[('normal', 0.88671875), ('low', 0.072265625), ('som', 0.038818359375), ('very', 0.00170135498046875), ('high', 0.00048828125), ('ext', 0.00020313262939453125)]"
39,13,normal,1,start,0.11767578125,"[('som', 0.59765625), ('high', 0.28125), ('normal', 0.11767578125), ('very', 0.00150299072265625), ('low', 0.000335693359375), ('ext', 2.905726432800293e-06)]"
39,14,normal,1,start,0.0189208984375,"[('som', 0.796875), ('high', 0.177734375), ('normal', 0.0189208984375), ('very', 0.004791259765625), ('low', 0.0001087188720703125), ('ext', 1.2993812561035156e-05)]"
