participant_id,trial_index,ground_truth,nll,prob_step_1,prob_step_2,prob_step_3
273,1,somewhat low,2.4453125,0.2490234375,1.0,0.34765625
273,2,somewhat high,1.7109375,0.384765625,1.0,0.46875
273,3,normal,1.78125,0.16796875,,
273,4,somewhat high,1.48046875,0.404296875,1.0,0.5625
273,5,somewhat low,1.71484375,0.41015625,1.0,0.439453125
273,6,somewhat low,1.36328125,0.482421875,1.0,0.53125
273,7,normal,0.3046875,0.73828125,,
273,8,very low,2.9140625,0.298828125,0.181640625,
273,9,low,2.40625,0.09033203125,,
273,10,very low,3.54296875,0.04248046875,0.6796875,
273,11,somewhat high,2.1953125,0.2373046875,1.0,0.46875
273,12,somewhat low,1.59375,0.43359375,1.0,0.46875
273,13,low,2.171875,0.11376953125,,
273,14,high,1.5625,0.2099609375,,
273,15,very low,1.6953125,0.345703125,0.53125,
273,16,high,1.625,0.197265625,,
273,17,somewhat low,1.33984375,0.55859375,1.0,0.46875
273,18,normal,0.054931640625,0.9453125,,
273,19,normal,0.02099609375,0.98046875,,
273,20,extremely low,4.0234375,0.05126953125,1.0,0.34765625
273,21,normal,0.423828125,0.65625,,
273,22,very low,1.0703125,0.486328125,0.70703125,
273,23,normal,0.0291748046875,0.97265625,,
273,24,normal,0.013671875,0.98828125,,
273,25,somewhat low,0.841796875,0.7265625,1.0,0.59375
273,26,somewhat high,0.36279296875,0.89453125,1.0,0.77734375
273,27,low,0.298828125,0.7421875,,
273,28,very high,0.453369140625,0.671875,0.9453125,
273,29,somewhat low,0.14697265625,0.91796875,1.0,0.94140625
273,30,somewhat low,0.4580078125,0.9296875,1.0,0.6796875
273,31,normal,0.0054931640625,0.99609375,,
273,32,low,1.546875,0.212890625,,
273,33,normal,0.00408935546875,0.99609375,,
273,34,very low,0.1077880859375,0.921875,0.97265625,
273,35,very low,0.1744384765625,0.85546875,0.98046875,
273,36,high,0.06640625,0.9375,,
273,37,normal,0.0079345703125,0.9921875,,
273,38,high,0.0849609375,0.91796875,,
273,39,normal,0.003936767578125,0.99609375,,
273,40,somewhat high,0.109619140625,0.9453125,1.0,0.9453125
273,41,somewhat high,0.107666015625,0.94140625,1.0,0.953125
273,42,somewhat high,0.31884765625,0.96484375,1.0,0.75390625
273,43,somewhat low,0.07421875,0.94921875,1.0,0.9765625
273,44,high,0.1953125,0.82421875,,
273,45,very high,0.2479248046875,0.80078125,0.97265625,
273,46,low,0.03759765625,0.96484375,,
273,47,normal,0.002716064453125,0.99609375,,
273,48,high,0.023681640625,0.9765625,,
273,49,normal,0.0022430419921875,0.99609375,,
273,50,very low,0.03045654296875,0.9765625,0.9921875,
273,51,low,0.01904296875,0.98046875,,
273,52,high,0.0152587890625,0.984375,,
273,53,somewhat high,0.02996826171875,0.98046875,1.0,0.98828125
273,54,somewhat low,0.0230712890625,0.98828125,1.0,0.98828125
