participant_id,trial_index,ground_truth,step,prefix,gt_prob,distribution
239,1,normal,1,start,0.00164794921875,"[('very', 0.3203125), ('som', 0.265625), ('high', 0.265625), ('low', 0.0859375), ('ext', 0.05908203125), ('normal', 0.00164794921875)]"
239,2,extremely low,1,start,0.0311279296875,"[('som', 0.62890625), ('low', 0.232421875), ('very', 0.09619140625), ('ext', 0.0311279296875), ('high', 0.006134033203125), ('normal', 0.005401611328125)]"
239,2,extremely low,2,['ext'],1.0,"[('remely', 1.0)]"
239,2,extremely low,3,"['ext', 'remely']",0.9140625,"[('Ġlow', 0.9140625), ('Ġhigh', 0.08447265625)]"
239,3,very high,1,start,0.06591796875,"[('som', 0.625), ('low', 0.1396484375), ('high', 0.1396484375), ('very', 0.06591796875), ('normal', 0.0274658203125), ('ext', 0.00154876708984375)]"
239,3,very high,2,['very'],0.37890625,"[('Ġlow', 0.62109375), ('Ġhigh', 0.37890625)]"
239,4,somewhat low,1,start,0.478515625,"[('som', 0.478515625), ('low', 0.478515625), ('normal', 0.027099609375), ('very', 0.00982666015625), ('high', 0.006744384765625), ('ext', 0.000553131103515625)]"
239,4,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
239,4,somewhat low,3,"['som', 'ewhat']",0.8671875,"[('Ġlow', 0.8671875), ('Ġhigh', 0.1328125)]"
239,5,normal,1,start,0.279296875,"[('som', 0.671875), ('normal', 0.279296875), ('low', 0.04833984375), ('very', 0.00145721435546875), ('ext', 0.0002613067626953125), ('high', 9.632110595703125e-05)]"
239,6,somewhat low,1,start,0.81640625,"[('som', 0.81640625), ('normal', 0.125), ('low', 0.046142578125), ('high', 0.00811767578125), ('very', 0.0020599365234375), ('ext', 0.00019073486328125)]"
239,6,somewhat low,2,['som'],1.0,"[('ewhat', 1.0)]"
239,6,somewhat low,3,"['som', 'ewhat']",0.46875,"[('Ġhigh', 0.53125), ('Ġlow', 0.46875)]"
239,7,normal,1,start,0.01043701171875,"[('high', 0.65234375), ('som', 0.1875), ('very', 0.146484375), ('normal', 0.01043701171875), ('ext', 0.0023345947265625), ('low', 0.00019073486328125)]"
239,8,normal,1,start,0.1484375,"[('som', 0.75390625), ('normal', 0.1484375), ('high', 0.09033203125), ('low', 0.005096435546875), ('very', 0.002716064453125), ('ext', 3.314018249511719e-05)]"
