participant_id,trial_index,ground_truth,nll,prob_step_1,prob_step_2,prob_step_3
4,1,low,1.5859375,0.205078125,,
4,2,low,4.125,0.01611328125,,
4,3,very high,4.85009765625,0.0086669921875,0.90625,
4,4,normal,2.421875,0.0888671875,,
4,5,normal,6.03125,0.0023956298828125,,
4,6,low,6.15625,0.0021209716796875,,
4,7,somewhat high,0.49365234375,0.6484375,1.0,0.94140625
4,8,somewhat high,2.595703125,0.0859375,1.0,0.8671875
4,9,normal,1.59375,0.203125,,
4,10,low,1.78125,0.16796875,,
4,11,normal,0.404296875,0.66796875,,
4,12,normal,0.2265625,0.796875,,
4,13,normal,3.546875,0.02880859375,,
4,14,somewhat high,0.75341796875,0.50390625,1.0,0.93359375
4,15,somewhat low,1.82421875,0.322265625,1.0,0.5
4,16,somewhat low,1.03369140625,0.392578125,1.0,0.90625
4,17,high,5.75,0.0031890869140625,,
4,18,somewhat high,1.65087890625,0.1982421875,1.0,0.96875
4,19,high,0.455078125,0.6328125,,
4,20,normal,2.40625,0.09033203125,,
4,21,normal,2.078125,0.125,,
4,22,high,0.9140625,0.400390625,,
4,23,very high,0.1041269302368164,0.90234375,1.0,
4,24,normal,2.34375,0.09619140625,,
4,25,somewhat low,3.0703125,0.11376953125,1.0,0.40625
4,26,high,2.703125,0.06689453125,,
4,27,normal,0.828125,0.4375,,
4,28,normal,0.8515625,0.42578125,,
4,29,high,2.625,0.072265625,,
4,30,somewhat low,3.546875,0.33984375,1.0,0.08447265625
4,31,high,1.75,0.173828125,,
4,32,high,3.90625,0.0201416015625,,
4,33,normal,0.9140625,0.400390625,,
4,34,normal,0.169921875,0.84375,,
4,35,normal,0.0296630859375,0.97265625,,
4,36,very high,5.814453125,0.003387451171875,0.87890625,
4,37,somewhat high,1.533203125,0.2490234375,1.0,0.8671875
4,38,somewhat high,3.0,0.337890625,1.0,0.1474609375
4,39,somewhat high,1.23828125,0.66015625,1.0,0.439453125
4,40,normal,1.546875,0.212890625,,
4,41,very high,2.0803070068359375,0.125,0.99609375,
4,42,extremely high,3.4380531311035156,0.0322265625,1.0,1.0
4,43,high,1.7734375,0.169921875,,
4,44,very high,3.923828125,0.0228271484375,0.8671875,
4,45,extremely high,1.234670639038086,0.291015625,1.0,1.0
4,46,extremely high,0.24261856079101562,0.78515625,1.0,1.0
4,47,normal,1.6171875,0.1982421875,,
4,48,somewhat high,2.7734375,0.310546875,1.0,0.201171875
4,49,normal,2.921875,0.0537109375,,
4,50,very low,2.52294921875,0.0859375,0.93359375,
4,51,extremely low,7.3984375,0.00102996826171875,1.0,0.59375
4,52,somewhat high,0.62841796875,0.59765625,1.0,0.89453125
4,53,high,2.0625,0.126953125,,
4,54,somewhat low,1.29296875,0.48828125,1.0,0.5625
4,55,very high,4.796875,0.06201171875,0.1328125,
4,56,high,2.34375,0.09619140625,,
