trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,E,1,E,I,1,1,dc0d6022047b517e33cfe1e2512909ad0c245d7d0b2519edbdae34ea9071cd60
2,E,1,E,I,1,2,928f38e95133e82b3d724f5a803283c6af01926a36a957d244b35652d94d4fdd
3,E,1,E,I,1,3,a101a250175ab83a57e65a2aea6c9d03b4decb8ee7dc76823dab5b51a6b0ef08
4,E,1,E,I,0,3,fedca62fe35739ac6adb58e3c3e80944d1c8aa7ecc20f1108899f6c5b599dc98
5,E,1,E,I,1,4,c333c09aa56605a8f571d194f53868f671f6f124e19f6dcef00f04b6cd5568ac
6,E,1,E,I,1,5,472047f8aabe2e4c68a47d46e1b782871a50f3654080dda5e84d9cc1b58bb817
7,E,1,E,I,1,6,90aefae173ff7ee7705ccaa8cad807db83556b841e3059329a685a0758640b94
8,E,1,E,I,1,7,189b7c4a1ce5710560af5b0a12425b06c3f603896071d02053b02e3050cacf9d
9,E,1,E,I,1,8,3cf0be493d6fea411f03f6c109debfcb034a8b32413c5928cfd914fe758ae6cf
10,E,1,E,I,0,8,da67f645bb17d3f1d6ed459d75df09e513813574460a6a6fbe061ddaa933c112
11,E,1,E,I,1,9,0b005bf6475c0aa76b3e12f9ae49639dd164789cf9ccf8cdabbd2d33deace53a
12,E,1,E,I,1,10,0ecc16e700eaa944ec68de19dded16ed2ed5cf30841a0256d9842ccf96082f58
13,E,1,E,I,1,11,16c15f06d4fd648664d405fb435201fccb8448ce3694bbdf3e25df5c5d06af13
14,E,1,E,I,1,12,a442214304f8e0beb18575f47e79871f5e792c8b47f4a70cb9339beadc5f6230
15,E,1,E,I,1,13,36a0236971c8190b29d3dcfdf0454802e1b26e47a78813ebebba203c7ef4e8ae
16,E,1,E,I,1,14,f6c749c303659954b9222196e26a96a4cf95d2304573e569c42fdb21d9ce8a08
17,E,1,E,I,1,15,067f507d537272a862808bb0db33666a25cfdfc05df861d1ea8d3edc9f1da8ec
18,E,1,E,I,1,16,7d01bb50e3642242830def2739cceaa3eeebf9bcaaada2804f4924102d3867af
19,E,1,E,I,1,17,56cf2904a857b2c4eafb33673b92f85b219cdb36b30755e41bcbe11f8eaa7ba6
20,E,1,E,I,1,18,bce087a3a30f9b1fe439a8380d0228739914d705173a0fba08f7e7f2428b394d
21,E,1,E,I,1,19,a65141253c55f853bab4a38c6ed0b53c470cac51e5927652d8fe0a91a18db319
22,E,1,E,I,1,20,759b6689c8fbd08e7d99887d1ffc3620563f07d6862e93fcb24b2dfa718f5880
23,E,1,E,I,1,21,5c4ba66db1f990af19f19e8f1ac05a6a7fa60aafda608fb4853f2d35f7d5b711
24,E,1,E,I,1,22,219453ecf344c4f88685c75e36a04b791479c7a8ee87e5b84e2c3726c73d25c8
25,E,1,E,I,1,23,30721517c9977adcd17a97004bc80f910a69eefc97820b513de4af7c89561d19
26,E,1,E,I,1,24,aeb2ce7cd2d011c38ad27f057d7ac08695158170e98f027f1e6c3945cf1f00f5
27,E,1,E,I,1,25,0dc188ba317f312abae58d7c3997fc5606f5fec4d7861e0fe93f362774bc1c8b
28,E,1,E,I,1,26,a62089f4087d3ca01127bed9d8a920c5fafef50924932cb345befbfa4f479939
29,E,1,E,I,1,27,3cde72ad870b673aeebaba970a44c8c05c4d688c5d0c32cb37b9bc7d2499fa69
30,E,1,E,I,1,28,784bd8e40cad83e571f01d4625a1ec3da8ec446ea8400950dd658525fc26aa10
31,E,1,E,I,1,29,237ab132f5e2a085a5bc8a5e3112e55813c6b76833e5a86615d274a5bdcea410
32,E,1,E,I,1,30,a040b2d28f36b87639750d964c6807ddd2a36e35137e0d927f72cd212c8705d1
33,E,1,E,I,1,31,39470424a5546dc783da36a55fb98da6424c3b1cfe7693f860d8a47cec546cdb
34,E,1,E,I,1,32,e36c4b336671d4b291577c62e8fa0fc1e53dbf4f312d99f9cacaebe756e61570
35,E,1,E,I,1,33,1cdf9b935aaa0b8ed7d0fb988feccf8830dd55b70197a6f4e9fc97c08616c29b
36,E,1,E,I,1,34,d64722f2f642ff0c4f9458a7a9b995ed2964275fe04878ce650a0445932037fb
37,E,1,E,I,1,35,e1b85f8237ba8fb83e917b004547764fa0b9df145cb471bb4c99f96121a5a402
38,E,1,E,I,1,36,f61b67dfa515a7f50525c565cdbace43ee5e42905a8405729b7dc932232e902c
39,E,1,E,I,1,37,4f41ccdac751a2ff3b91faefab4bce86ad934b4a27db5e95554c8e2b85e12c0c
40,E,1,E,I,1,38,9ddc7196a9d5dfc07b868cea11e5cb84e65a0f76d09e9e863e2294ea626b3b6e
