trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,S,1,S,D,1,1,5a00787dcb4e2e1eb0a7a17f66689fffbb9b79a161106c5893823f5f3c5c15dd
2,D,2,S,D,0,1,bc84a1638dde567af14f79566500b4b48d7fbd5c2de0dd7cd29ee1d06bdbad7f
3,S,1,S,D,1,2,a8bf04c2c2525db1d8feb4cec0fa309a2093298cd7b74f75e663e01da6789a32
4,S,1,S,D,0,2,c7b507231ab0eaca866973e522c7282cbfe39fda13c538c18acaba3b1b916e19
5,D,2,S,D,1,3,6542af79309b214a799ad24bc75756378cb502c4d017b1d357b163098c8441de
6,D,2,S,D,0,3,21868c950f674947a66a51699913193de1f2cd689383b4db6f83adaef34a36f9
7,S,1,S,D,1,4,f38447f14cbc2674a1e064c1d009d885f48b84c619196e3cfcd912f3cc6a54c0
8,S,1,S,D,1,5,0c15be61988328184fe75383d9bb9b7875d79665aad720267a197987b6a3b25c
9,S,1,S,D,1,6,3834a67baa31c7c3f6001be4df79c21e75ca491b5995de3a375f559c033dc51a
10,S,1,S,D,0,6,4540832980612020014178925bbf44a68d5983b2df79908c7ff6cb48892c2015
11,D,2,S,D,1,7,8eb7a03a483c63ac5c7844f6933febdc4d5ae446ef76d1ef1d773ef8ea5e7ffe
12,S,1,S,D,1,8,efa20f7c0524351c642878a775c0aa6cf842a5ec82c29f9bab81d6eee2631235
13,S,1,S,D,1,9,7e7b1d3f3333faad31bd5919b17cd28cf8e463356d80ac6926fd5200d7faa270
14,D,2,S,D,0,9,84820eb42c89e154ea03f07786669b16f8b2e0df6550e8dc0e9fd334e2d0920c
15,S,1,S,D,1,10,17132a4533e283f708bf69e930f0eb3169a884be20fa48f71f3cab2b115f0693
16,S,1,S,D,1,11,a053719c83708302c2c035beabfd22879608f23dd7688b65dc17d663f14bb9e1
17,S,1,S,D,1,12,d7cc2945dd2e37846dc9467af70ef58303e8f35e803976f1f7597f247e1f6f07
18,S,1,S,D,1,13,1ac1adae98adc5314fd8e8c9158d72daecfce378b47455bc432cc19ae38529ac
