trial,choice,reward,cumulative_reward,model_id
1,2,1,1,11396
2,2,0,1,11396
3,1,1,2,11396
4,2,1,3,11396
5,1,1,4,11396
6,1,1,5,11396
7,1,1,6,11396
8,2,0,6,11396
9,1,1,7,11396
10,2,1,8,11396
11,1,1,9,11396
12,2,1,10,11396
13,1,1,11,11396
14,1,1,12,11396
15,2,1,13,11396
16,2,0,13,11396
17,1,1,14,11396
18,1,1,15,11396
19,1,1,16,11396
20,1,1,17,11396
21,2,0,17,11396
22,1,1,18,11396
23,1,1,19,11396
24,1,1,20,11396
25,1,1,21,11396
26,1,1,22,11396
27,1,1,23,11396
28,1,1,24,11396
29,1,1,25,11396
30,2,0,25,11396
31,1,1,26,11396
32,1,1,27,11396
33,1,1,28,11396
34,1,1,29,11396
35,2,0,29,11396
36,1,1,30,11396
37,1,1,31,11396
38,1,1,32,11396
39,2,0,32,11396
40,1,1,33,11396
41,1,1,34,11396
42,1,1,35,11396
43,1,1,36,11396
44,1,1,37,11396
45,1,1,38,11396
46,1,1,39,11396
47,1,1,40,11396
48,1,1,41,11396
49,1,1,42,11396
50,1,1,43,11396
51,1,1,44,11396
52,1,1,45,11396
53,1,0,45,11396
54,1,0,45,11396
55,1,0,45,11396
56,2,1,46,11396
57,2,1,47,11396
58,2,1,48,11396
59,2,1,49,11396
60,2,1,50,11396
61,2,1,51,11396
62,1,0,51,11396
63,2,1,52,11396
64,2,1,53,11396
65,2,1,54,11396
66,2,1,55,11396
67,2,1,56,11396
68,2,1,57,11396
69,2,1,58,11396
70,2,1,59,11396
71,2,1,60,11396
72,2,1,61,11396
73,2,1,62,11396
74,2,1,63,11396
75,1,0,63,11396
76,2,1,64,11396
77,2,1,65,11396
78,2,1,66,11396
79,2,1,67,11396
80,2,1,68,11396
81,2,1,69,11396
82,2,1,70,11396
83,2,1,71,11396
84,2,1,72,11396
85,2,1,73,11396
86,2,1,74,11396
87,2,1,75,11396
88,2,1,76,11396
89,2,0,76,11396
90,2,1,77,11396
91,2,1,78,11396
92,2,1,79,11396
93,2,1,80,11396
94,1,0,80,11396
95,2,1,81,11396
96,2,1,82,11396
97,2,1,83,11396
98,2,1,84,11396
99,2,1,85,11396
100,2,1,86,11396
