trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,D,2,S,D,1,1,f1c256dff9067e9198ac122010b09fcf1c8946e73ad7a387d6366db114705dc1
2,S,1,S,D,1,2,04be0947c8701d08c0d7ccebdaff98af4a02de8cc04b830d1004a89a9e055fc2
3,D,2,S,D,0,2,26cc664a08fda62b9cba9b82f6cb84421a18481e68beebc58587b5acc71bf6f2
4,D,2,S,D,1,3,9246fb701fdb6740aad3214ef5f607b9873ae8d30765c362de4f84fc8d5253e0
5,D,2,S,D,1,4,1f38fdf5d9d517f51cd339158496960515b0343fb7ab75760d9d5d3adbc43cb5
6,S,1,S,D,1,5,e2da63cb87570eb0284435f8ee9d5ca8d8a4a5e6f57582cffa0c58f8b390d066
7,D,2,S,D,1,6,a672215b9d4cbfd40f045505f40a5cdd0d746f5a897ebbc9bcb22f4b93e69415
8,D,2,S,D,0,6,80f91271b69312202374a71131f5111e59379af398a3c73a951e1a45738128e4
9,S,1,S,D,1,7,b3b2246f3b11dfa9286ad5612dcf47637c71a82ca7a057c433492e6f8a50c137
10,D,2,S,D,1,8,442ede35d67f1236b7b5c70b209debefc1c51830dfff2ca9afbe2b5608a38850
11,D,2,S,D,1,9,a566a8b4047e5696af9f34cc9a22371519570f0561cbd4fad936d8d09670aec4
12,S,1,S,D,1,10,617355aa7709d95ce0db12dc616a49f86939f39ed41a651ff7f4e25344803b7d
13,D,2,S,D,0,10,7535d307c7237b0f6fddb5fc3acee4691c5a75390fa21ce3d4a9884d2269b061
14,D,2,S,D,0,10,ec376735217a1e86446a23baf67c78d22d9cd19018e85b6e4db38a2d6015c291
15,S,1,S,D,1,11,4169617247416795e3be5ab59c223aa9546fd8948d36f019876c98eba5440181
16,S,1,S,D,1,12,0921d8e77335b76cbc23a442ab1b4a2e820ac746c0137de6b5d2a48e7c2216ee
17,S,1,S,D,1,13,e3e3be36232db578c597307fa55b3079bfa6910765d8872ee71e4f3f3a72a235
18,S,1,S,D,1,14,5af17ff373cdd15d061fa14cb17bc4ced755167a65d2e7ca19b0a156d212b523
19,S,1,S,D,1,15,9de03e0faf7407efa1ec67eff502c0d24a58c84abaeec4038614972e636e5a67
20,D,2,S,D,0,15,343391cd3c589caa782515cfdefa62d40110420ce69d5495fc6cc0b8b6a6057c
21,S,1,S,D,1,16,07bda0de28e248de915786824d362b6a2503f2ea125201b132f83b7db9b0b42e
22,D,2,S,D,0,16,2bd3ca8297ff5b892b2c41cc3fabf0ca510a19a8152d6c78a39644d1d7dd81f1
23,S,1,S,D,1,17,63f13a4b57ef32b14075f64c1a0242ed48d27e57f98fb7c1588498a0157718e7
24,D,2,S,D,0,17,1f2588b15f3b78589d9ba97ea57664bb63beadfdc642bb527fe2d7f0e9469068
25,S,1,S,D,1,18,9bc9577a9c59114c4db319c13ff91a6eea3b622b2ce64af901fb3bea6760741e
26,D,2,S,D,1,19,11b9976e510dfcf05614caf5a55584cb046f676f46737ccc27185c66539ad3bb
27,S,1,S,D,1,20,7ba27e86c71538d05c550f913735afd560ad51cbe45861915c41c939e7c5c35d
28,D,2,S,D,0,20,c7c8037ba8329450482e386058d2cfa12c435ee21a002d6e4b918eec4fce7d3b
29,S,1,S,D,1,21,7053d8ddf01c0c6a1297a444de42dbfd1128e58e3bb0df487a9a7deb445cb298
30,D,2,S,D,0,21,6539459a42fe156f637608cd14b98a4c4d43623f56dbca7407c2e44cdddc59ff
31,D,2,S,D,0,21,b84d5c7bc2aab02acc81e18d7c7183f578e400947f692dd444490ee770f82509
32,S,1,S,D,1,22,32b92177fc11857ba725cd3382441ddd383099d60a5c90197a81bb88f548212c
33,D,2,S,D,0,22,0b439412835a96363878710e11a6835ffb2d6b5e6b7d73f21ecab8771e613e0f
34,D,2,S,D,1,23,1b252cfe5f25ac11672e192babca135a53f3f65517d7ea7ae2d9dc9c1930fc26
35,S,1,S,D,1,24,718dcd1c0cffbb18de3e6cded16c94212bb40ae6f6ccc590d1b578091c972444
36,D,2,S,D,0,24,6f8a2f0bd33c32a0642f0f939fb5c3bec8084e0cbe71f0257518e0750f847dad
37,D,2,S,D,0,24,8446fda34d69999aa8c34e8d3e57276a82051c5f2c32315a0e0f6863f2b64729
38,S,1,S,D,1,25,ef6ebad81383274d287d3f2c1a655d510569590e663494b4f05a911b725ac42a
39,D,2,S,D,0,25,f2e4a2cbebb7deb244ab4ea91607d455d047951f00d7ea66baa65c769be424fa
40,D,2,S,D,0,25,b6f05f58b5af79eb65f13afda325b73351a992f766b243ff24e5971046779c18
41,S,1,S,D,1,26,54e1510709712c228997cc7ab6c986256610c6766a145edc08fa641d42afd82c
42,D,2,S,D,0,26,18c4bd9c7ccafdb8760235f5e86071a6f6e549b6cd9b7da582cb4af02fcbfdd4
43,D,2,S,D,1,27,2a073278335cabea47d4772a487a9977ecbc9c89220ea105ae5a1ecb9b3d5788
44,S,1,S,D,1,28,c929e254dda0f18eb6799c4054854350973484ac7a8359c96a531765dc77f901
45,D,2,S,D,1,29,19de6776b0c88f41aad11a2e0a64c823b5aadd53ba5fb0cfc8aa3e881d84e1ab
46,D,2,S,D,0,29,6fa4627f299e479e7cd9cd04bacd8f4849d21e3d73295ac0de25be5933c3c852
47,S,1,S,D,1,30,ae40613f5c124e1b142a41c33906ad579367f64337409c2839ebc38d58747eae
48,D,2,S,D,0,30,fc7eb6f522ba72ef76d19378587481c341691b9c0bb6de8d9e8bdac4fa7d9782
49,D,2,S,D,0,30,6ddadbd8e5c93f57a203b7dd61c33330bb618b899cecdc71eceb82988fa8501e
50,S,1,S,D,1,31,96c2c20ca0b045aec90a8d5b6670dea1ab373ae32685e3aa33690404d6f0a05d
51,D,2,S,D,1,32,23a91c74f81c0e46a95647b24d8a8aa421a03706ca66afd60fb55af5644d92ca
52,D,2,S,D,1,33,328550072b241afb236c7ec4e04ddedaaf6af21a965a6178df2ee9737b1eafa5
53,S,1,S,D,0,33,44c045982b2f47c8b4f97229638f4dd22efa592fd6c574f01d1d207fb2148477
54,D,2,S,D,1,34,c6e6c22e3c72295400a809f0b51d6f6123ac0f1e44a8f0d3536090a8d00ad561
55,D,2,S,D,1,35,3430c0886aeb38738b3576baa6ff839e05780cad354c7e0ed38591dd0f1b39ab
56,S,1,S,D,0,35,042e2c518671674a3333af4d18d5cca893b96312e93fee44d033646f5bd3837b
57,D,2,S,D,1,36,cf4edb409c0562e3cfff69c80617a11e05790f0b8d8dd8420f5b97865d470236
58,D,2,S,D,1,37,3a1ce2c232d22f29c1f7ff2971212cac7cb8d992019cd9aeca256ecc9ef3e986
59,S,1,S,D,0,37,fb6428de8f25314f562440f982480f1176d31277a51a7eea54bb97d02638debb
60,D,2,S,D,1,38,ff32c9b47ad40c0f2b11a595a89b67f5b98ea30f9419fdddaf95ddd02809c747
61,D,2,S,D,1,39,05c827931a94d740dfdd5581f17359a6efa4460dcfceda33afe07a1f9c8fdc58
62,S,1,S,D,0,39,515312f29ef62f1ca5bd15540f81552a02ce6ff83f5f9f1f8e5ebfdfc71e0a7d
63,D,2,S,D,1,40,337d5f7e3ee3ecfdcd8721481a73b7448672c9dcc8c89835404dbc0128869578
64,D,2,S,D,1,41,f14fe57af0df5e050d1ecf905fe4ecdb8fc73e79f5b55650e15ddf72dd7c2cf1
65,S,1,S,D,0,41,6d1da09121b25909aa2ef0e4a684e6179cc8350639eac687e032fbba35f0f5a7
66,D,2,S,D,1,42,e54b921f1591109221d1f178da13d08f6e8076dd2c23dfeac7e134f13cb63433
67,D,2,S,D,1,43,079087d313b7078a5c9a58803033345da478e2d7d2e3cfd957e6e2e20b7e8b41
68,S,1,S,D,0,43,0455f19c84b53055fb5d60baa7621c59879b4dd5f22638ae0d3f91c868add000
69,D,2,S,D,1,44,867dc58fc6ba090a01f1a36dcd9a86f4d2612dc215e8da907b9807a6e97e5a6d
70,D,2,S,D,1,45,23fef94304fd7044252bc94337ae1282975240244b28e3e5cdfb6b98e65f5f4d
71,S,1,S,D,0,45,3bb7effb3a316a6e4b4df8c62f3bcce72437a0f2d0e1975a8f8c0ea3ec83cd38
72,D,2,S,D,1,46,3b00a34dc5606c47d93386f20e143ac2456db7add186041625f27644645d3778
73,D,2,S,D,1,47,ec78e1daf785c22cb5a361e4d6b20855a99a70e6d533adc911e2bd7924bab0a0
74,S,1,S,D,0,47,d7e91f4f055f3580843384d8e44d161615c6fd238b1c316f83ff2aa510be367d
75,D,2,S,D,1,48,ba7fc4eb99b3e4a2058272d225ca4b7fbd884153b4da946cd17b2d9c00f88076
76,D,2,S,D,1,49,69fb73ce36e045679d9a784e51e357f42952931fef5d151fad7370926a12bb15
77,S,1,S,D,0,49,b2afb04bba0143d5e492fb85117111ef432eca339144b13410031a42ccc215d6
78,D,2,S,D,1,50,38a4a3f98a630e27038a71cbce339ce3024b63bcb6fecec5c310851dd370f30f
79,D,2,S,D,1,51,1ccf999bf7403fd1a955558f560fc067d8b9599e09593c23884262791815cd12
80,S,1,S,D,0,51,0efba853c436cf29be134d896dfb65fbc354cfdb5fb34dcfa6c287155dd389dc
81,D,2,S,D,1,52,2a784ac744b7a76b61380aff40337d9f6519183e3c836482b19aeef7d247e386
82,D,2,S,D,1,53,1cc6700ccd79d3de0ea70726c8a90d1feb0e0bf4168fa9545e17d5e07dbc079a
83,S,1,S,D,0,53,ac64f0894dcd970c6417779ff5a26748bb02f487964b0954d8bb283a2e8428cc
84,D,2,S,D,1,54,0eba9e4a1d3945e2f2ade1512720335a0bc52c4ba09f90e3ee9d00e53a41af8b
85,D,2,S,D,1,55,2d7f19a9277ee94bb3ddf5943f68f8b2859f6f54afafb8653a212d8e01817a7a
86,S,1,S,D,0,55,734685a8b59e7334ee47942dc6d97b1a16ba737c5a4285b99b7850e37c4ac88f
87,D,2,S,D,1,56,326fb77ef41748d5150688f75c33a8242bcd46d9e33e7bb0f47785125ccd1d69
88,D,2,S,D,1,57,e748397b0e63e5b8ab1a19e1714992f1ea1e01375f09d79a23aa23510db4f41a
89,S,1,S,D,1,58,9c62ae841b11ed6027f75cfccfae32385a31057f492adb453b380b57c53700aa
90,D,2,S,D,1,59,900b2a5d6a0bdb4d7fdd078fb404c7c1d17e029b14530c816263346c0890db70
91,D,2,S,D,1,60,acdc319c81d89f5d48a9ace29d7c02f70abee74ee19ad38dc9038a0ae9a065f2
92,S,1,S,D,0,60,ccc6bdc01a8f3c36671373e5bcbc3a6d01111e9ef43703b94a735e56fd032b3e
93,D,2,S,D,1,61,efe6c7e942b7e4536db0524c4af3b5dcfdfaacdc986d7be7e53c900f90e952f3
94,D,2,S,D,1,62,671eea16e4c1ab48364efde9d2d20a7a3aaf030a74d94c08c85f6b3ffc065cae
95,S,1,S,D,0,62,a2a852e831d927bf49cbe684aa0cc5733f8d0e469db947b5fe6f89975cb8080b
96,D,2,S,D,1,63,23f2d640526be1b43fc8b167d0f499b723fd466ee738e125f5d69e4a1fb6f631
97,D,2,S,D,1,64,1b7e5ef907c8f44398e363ea9a78ce1ef6758641d111f4e37301dfd63d9a668c
98,S,1,S,D,0,64,aa07544440c8b38528f31d0587925d250722339911a3edeb9a01788a4bc58451
99,D,2,S,D,1,65,5218326f0d9b44d71d83fe03d2332a6e866c6ed8ad1e249625747452f26c2e00
100,D,2,S,D,1,66,bd0bd27e0b2db73c1bdeb58308e2e335e5b32100dc5244cb403092eda8167335
