trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash
1,J,1,J,F,1,1,4d3748694c8782dfb53b496f4874cc923e01bef6161320e00a18b92201fba55f
2,F,2,J,F,0,1,79abd4142c8d4de7ad741c106c3a816efd0538f06cdc6a68c096e3f3f557ca8e
3,J,1,J,F,1,2,1a89b20019528d53cf932d7ee22f7ce4130a6897d6fa485d79b6f0c677dfe1be
4,F,2,J,F,1,3,5062fe6c36cccbbd91711e9dccb0f9f6315646b4ce708b4ff277aaf223c2ef0d
5,J,1,J,F,1,4,2ac44030708d7b0ffcf4927cf0bf86910eccb81a2206dd98267fa877f4d1a7cd
6,F,2,J,F,0,4,d8f1cef469a3d05c77a708643607a3ba9c565b75905ad0fda3c4096d3417f66f
7,J,1,J,F,1,5,f0c49abe02d7dd72956e08b9832c9a8cfa9ac2a4be450005809aec95c3fe99f4
8,F,2,J,F,0,5,0cef1d8926b764edae61f8ecd50e742c57b2fda0455253c61b23f35119960a09
9,J,1,J,F,1,6,0f623aa4d5661eac6132f8b316aeb27ce7bf414d99dd4b6b11e3e213eb78350b
10,J,1,J,F,0,6,c18b43dfe8a6eceb068313b5428820b7d14ad790a557f3b6438bc576b16bb5a0
11,F,2,J,F,1,7,9fefe42e61200ca32458b05f064ff33f9ba88422f04f6a19d68e5a04c3771e3f
12,J,1,J,F,1,8,613bc8195e73c2d86c8a0f82d8dda56ae5156f164c0ed357bfc5c361e191de25
13,F,2,J,F,0,8,cbab0cad56755ce40ad9ebf61d0c0ec9bdfa4e693a1c4286184adf2390a49f2e
14,J,1,J,F,1,9,b4b0a3d0893008dea05f241929abdffa95e94c76968c37b8f060966bfe4407d3
15,J,1,J,F,1,10,5019a7d1c1dd6e56f5a30d9e12174c7851cffe38bd4f72a990b3e663926c568e
16,F,2,J,F,0,10,1e77e54e92929de9d0307a58a0ec3c636cd3fb3a3986ef3f820a05735210a1f1
17,J,1,J,F,1,11,6c4b00f3e64989c7bc90be9f3a4f927cdf5bc46374ff747a666ad876d8d4f593
18,F,2,J,F,0,11,842670f8aa613d18c90a0007026c6abb429bd38de9cc13ffd0fd447688144dcf
19,J,1,J,F,1,12,bd85d8eb35b7500c173f62262d6bd6e9afc7483bc2dc17ddfcaadb72daa14376
20,J,1,J,F,1,13,946d58ccb0badf355d7055c7fff59e5704224aa101745879973ab6622787e817
21,F,2,J,F,0,13,27c3a958a3e9e1352bdbd798d7f5d8c383ce78bafb07018196800fca3f7c1e90
22,J,1,J,F,1,14,fde3610e4b6668c3766c32969415d7213f54bb6e09bf3c9dd45a22f980f6b794
23,F,2,J,F,0,14,8296315fa0c63a128fd608310160c4543cd424995544471106ef352978ee1e83
24,J,1,J,F,1,15,75af4eac0f6e43727b969efdd164a1e34b6d2615a0719c2d3454a4b94f0346ed
25,J,1,J,F,1,16,0445c5fc00a2ba1ec92da53f8ed3eadc1050fe501c086055c1b3ee43f63a504d
26,F,2,J,F,1,17,62991e8c4fa7300d8ad3c28beac745c9e9408a7fcb31331bd522510df67a781e
27,F,2,J,F,0,17,28fdf06bfcd3a6cbcbddd6604e43f3389c83082ecb2293fb977afb038b5658a5
28,J,1,J,F,1,18,ca265532b71915d487dcf3a280a828450ceb6d6583f443a5285bc21d26e5df74
29,J,1,J,F,1,19,a68a272e3ceb4aaf0b1c70039cf71789dd6f329883d9d49fd91aa00277dec0bf
30,J,1,J,F,1,20,409083600b6ac8de44ac8dbad8ffe17300388468e52891be8ebbd657f5154ee6
31,J,1,J,F,1,21,f1aec485e7fb82f871f835ca3591a0179d86a919eff2f3c047e12cde8f49fb25
32,F,2,J,F,0,21,584bbf3fb73347589caa2b6786f1d90767c4775a74950d1957be69a23ef008c1
33,F,2,J,F,0,21,e190bf628a7476cbe68dd7d357e6e86a199f4b40d1e4c59b0d8e13aae2c1d8f5
34,J,1,J,F,1,22,408043aaa3e7b8956b7408ec830e91783814c8c2e430e61a1c1f6f7593b7f90a
35,F,2,J,F,0,22,7e7beac44350f4ded5a5ffe06bf0c0502977df9347ba256733ab6ef6ffcf6e8b
36,J,1,J,F,1,23,c4c5ef375aaea91560729a1642866a4a4d7606ee45f09d061d2aa0004d029005
37,F,2,J,F,0,23,98326071f192b7451a8abb605531bd3d348236269559cc0bbe91f254a3650d96
38,F,2,J,F,0,23,bd468ee90b231ac303fa7e7b92750bc55d47c09ce76937ff302a41f1baf28045
39,J,1,J,F,1,24,9f44ef30f412e7f6abfce54013cb20da6333bca5d2d2e071bdd7ff79865994d2
40,F,2,J,F,0,24,f3a982e37190e4cce2f08920186c625a8dc1c086b75b46f9abc2c31920604cbd
41,F,2,J,F,0,24,4adec6cb309aabbf10428f888a12609a0d64b75d6bceb620599fe4b060363d56
42,J,1,J,F,1,25,1195d934fe9caf4853973237b2ec6ef6aaeaa84d667fddeca9348ccf964a9e48
43,J,1,J,F,1,26,08cf1c52c1185bac31dbd6ccd110d8741620fa869dc2f40ae73cdca850045d81
44,J,1,J,F,1,27,7009b01d1fbb8f1885c1a9c96493982fce63023e8e1499aafa5bc46141d8c1c0
45,J,1,J,F,1,28,bb8d3cf862c17fd61260ca8f465d5e5af66f44696ec7660d43ee3e4c6faf5001
46,F,2,J,F,0,28,652e3a424e9daee6d34ed155f600b545f17593264de624a2733063dc8fa7dfc8
47,F,2,J,F,0,28,83ef9a5ce898537b0ab81b27c5d6155b6a0d5b3f109bed40eccc8b75cde2b141
48,F,2,J,F,0,28,e5adf5852c5f82d3221c9454f47bc25dca6fd64006c17db5c5d87383c7d92a23
49,J,1,J,F,1,29,38da4825c4ca213f81bdab5e7065dd695a1847c40f8b61f2d8dd7d45d9384953
50,J,1,J,F,1,30,783484be842618ee9c6ff2cf27fc6f8d8af74251585d1a6af98e2fc8e7bc7fd4
51,J,1,J,F,1,31,f2adde6f45d1030ebf4355a6622e6e082c632a03709f9b68013893b40ad02f8f
52,F,2,J,F,1,32,d7fbe6a00bf512ed9fd0a3e459c90f4c502c7d6d58734da658b60bcc26774ad6
53,J,1,J,F,0,32,9d8f549bc8e6ccc5b5b01cbaedbd142c92d41e2afbe1e522a8f18a4f346e952e
54,F,2,J,F,1,33,ff9a54902a42c589f5ac8e186c012981e04f2aabcf5b913750238a01a901507e
55,J,1,J,F,0,33,f7ef3dd82d3c48664bc465521478116911c7694cd424d514e386d44751022af3
56,J,1,J,F,0,33,1021244761f8e8c312613210ccadcb3752f5ee56df4a86d82217a5126434402e
57,J,1,J,F,0,33,3517fc9f4a24f726fd021c715158b9858820ffd5297afccfc05ab5b0533d24f6
58,J,1,J,F,0,33,7114b07fd3866cd4f3c6a0f96e5f6e7398fee0e9f906089849d6932013187b98
59,F,2,J,F,1,34,f93650c00c9be814ba6d33003684d4094cdd9243c422256ea9b36903383050f7
60,F,2,J,F,1,35,7f7f3fba215af67947cd1ffb2ab386efe132ca5f0e7680070d4a95361caa554a
61,J,1,J,F,0,35,a0babe48526a734ceac2bbe4ee99e5489e19629339d798f4c5c189dd67d72380
62,J,1,J,F,0,35,6b869700e4c87e50720f226850c89e25a14c691000502bc91306863bace6aa72
63,F,2,J,F,1,36,3d709c97536e389a7dde4e9b62d594430191f7ec5794f528f84791c499caba94
