trial_index,ground_truth,nll,top2
0,U,0.578125,"[('U', 0.5625), ('P', 0.4375)]"
1,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
2,P,1.703125,"[('U', 0.81640625), ('P', 0.181640625)]"
3,P,1.703125,"[('U', 0.81640625), ('P', 0.181640625)]"
4,P,0.82421875,"[('U', 0.5625), ('P', 0.439453125)]"
5,U,0.8984375,"[('P', 0.59375), ('U', 0.40625)]"
6,P,1.0546875,"[('U', 0.65234375), ('P', 0.34765625)]"
7,P,0.97265625,"[('U', 0.62109375), ('P', 0.37890625)]"
8,U,0.6328125,"[('U', 0.53125), ('P', 0.46875)]"
9,U,0.5234375,"[('U', 0.59375), ('P', 0.40625)]"
10,U,0.7578125,"[('P', 0.53125), ('U', 0.46875)]"
11,U,0.57421875,"[('U', 0.5625), ('P', 0.439453125)]"
12,U,0.474609375,"[('U', 0.62109375), ('P', 0.37890625)]"
13,P,1.140625,"[('U', 0.6796875), ('P', 0.3203125)]"
14,P,0.6328125,"[('P', 0.53125), ('U', 0.46875)]"
15,P,0.34765625,"[('P', 0.70703125), ('U', 0.29296875)]"
16,U,0.8984375,"[('P', 0.59375), ('U', 0.40625)]"
17,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
18,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
19,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
20,U,0.28125,"[('U', 0.75390625), ('P', 0.2451171875)]"
21,U,0.3125,"[('U', 0.73046875), ('P', 0.26953125)]"
22,U,0.251953125,"[('U', 0.77734375), ('P', 0.22265625)]"
23,U,0.201171875,"[('U', 0.81640625), ('P', 0.181640625)]"
24,U,0.16015625,"[('U', 0.8515625), ('P', 0.1474609375)]"
25,U,0.126953125,"[('U', 0.87890625), ('P', 0.11962890625)]"
26,U,0.126953125,"[('U', 0.87890625), ('P', 0.11962890625)]"
27,U,0.10009765625,"[('U', 0.90625), ('P', 0.09619140625)]"
28,U,0.10009765625,"[('U', 0.90625), ('P', 0.09619140625)]"
29,U,0.0791015625,"[('U', 0.92578125), ('P', 0.07568359375)]"
30,U,0.0791015625,"[('U', 0.92578125), ('P', 0.07568359375)]"
31,U,0.0791015625,"[('U', 0.92578125), ('P', 0.07568359375)]"
32,U,0.06201171875,"[('U', 0.94140625), ('P', 0.06005859375)]"
33,U,0.06201171875,"[('U', 0.94140625), ('P', 0.06005859375)]"
34,U,0.048583984375,"[('U', 0.953125), ('P', 0.047607421875)]"
35,U,0.048583984375,"[('U', 0.953125), ('P', 0.047607421875)]"
36,U,0.0380859375,"[('U', 0.9609375), ('P', 0.03759765625)]"
37,U,0.048583984375,"[('U', 0.953125), ('P', 0.047607421875)]"
38,U,0.0380859375,"[('U', 0.9609375), ('P', 0.03759765625)]"
39,U,0.0380859375,"[('U', 0.9609375), ('P', 0.03759765625)]"
40,U,0.02978515625,"[('U', 0.96875), ('P', 0.029296875)]"
41,P,3.28125,"[('U', 0.9609375), ('P', 0.03759765625)]"
42,U,0.8984375,"[('P', 0.59375), ('U', 0.40625)]"
43,U,0.126953125,"[('U', 0.87890625), ('P', 0.11962890625)]"
44,P,2.578125,"[('U', 0.92578125), ('P', 0.07568359375)]"
45,U,0.8984375,"[('P', 0.59375), ('U', 0.40625)]"
46,U,0.34765625,"[('U', 0.70703125), ('P', 0.29296875)]"
