trial_index,ground_truth,nll,top2
1,P,4.3125,"[('U', 0.953125), ('I', 0.02880859375)]"
2,P,0.2255859375,"[('P', 0.796875), ('U', 0.201171875)]"
3,P,3.53125,"[('U', 0.96875), ('P', 0.029296875)]"
4,U,0.001983642578125,"[('U', 0.99609375), ('P', 0.00193023681640625)]"
5,U,0.4296875,"[('U', 0.65234375), ('P', 0.34765625)]"
6,U,0.0031890869140625,"[('U', 0.99609375), ('P', 0.0031890869140625)]"
7,P,5.125,"[('U', 0.9921875), ('P', 0.005950927734375)]"
8,U,1.3125,"[('P', 0.73046875), ('U', 0.26953125)]"
9,U,0.142578125,"[('U', 0.8671875), ('P', 0.1328125)]"
10,U,0.28125,"[('U', 0.75390625), ('P', 0.2451171875)]"
11,P,0.11279296875,"[('P', 0.89453125), ('U', 0.10693359375)]"
12,P,0.02978515625,"[('P', 0.96875), ('U', 0.029296875)]"
13,P,0.06982421875,"[('P', 0.93359375), ('U', 0.06787109375)]"
14,P,2.8125,"[('U', 0.94140625), ('P', 0.06005859375)]"
15,U,0.02978515625,"[('U', 0.96875), ('P', 0.029296875)]"
16,U,0.0205078125,"[('U', 0.98046875), ('P', 0.0203857421875)]"
17,U,0.04296875,"[('U', 0.95703125), ('P', 0.0419921875)]"
18,U,0.06201171875,"[('U', 0.94140625), ('P', 0.06005859375)]"
19,U,0.10009765625,"[('U', 0.90625), ('P', 0.09619140625)]"
20,U,0.0888671875,"[('U', 0.9140625), ('P', 0.08447265625)]"
21,P,2.46875,"[('U', 0.9140625), ('P', 0.08447265625)]"
22,U,0.142578125,"[('U', 0.8671875), ('P', 0.1328125)]"
23,U,0.02978515625,"[('U', 0.96875), ('P', 0.029296875)]"
24,U,0.054931640625,"[('U', 0.9453125), ('P', 0.052978515625)]"
25,U,0.054931640625,"[('U', 0.9453125), ('P', 0.052978515625)]"
26,U,0.062255859375,"[('U', 0.94140625), ('P', 0.06005859375)]"
27,U,0.0791015625,"[('U', 0.92578125), ('P', 0.07568359375)]"
28,P,2.46875,"[('U', 0.9140625), ('P', 0.08447265625)]"
29,U,0.126953125,"[('U', 0.87890625), ('P', 0.11962890625)]"
30,U,0.0264892578125,"[('U', 0.97265625), ('P', 0.02587890625)]"
31,U,0.038818359375,"[('U', 0.9609375), ('P', 0.03759765625)]"
32,U,0.044189453125,"[('U', 0.95703125), ('P', 0.0419921875)]"
33,U,0.0634765625,"[('U', 0.9375), ('P', 0.06005859375)]"
34,U,0.10302734375,"[('U', 0.90234375), ('P', 0.09423828125)]"
35,U,0.1044921875,"[('U', 0.90234375), ('P', 0.09423828125)]"
36,U,0.10986328125,"[('U', 0.89453125), ('P', 0.09423828125)]"
37,U,0.08251953125,"[('U', 0.921875), ('P', 0.06689453125)]"
38,U,0.08740234375,"[('U', 0.91796875), ('P', 0.06591796875)]"
39,U,0.0830078125,"[('U', 0.921875), ('P', 0.05908203125)]"
40,U,0.06884765625,"[('U', 0.93359375), ('P', 0.041259765625)]"
41,U,0.06787109375,"[('U', 0.93359375), ('P', 0.041259765625)]"
42,U,0.058349609375,"[('U', 0.94140625), ('P', 0.0322265625)]"
43,U,0.0556640625,"[('U', 0.9453125), ('P', 0.0283203125)]"
44,U,0.0498046875,"[('U', 0.953125), ('P', 0.0224609375)]"
45,U,0.04443359375,"[('U', 0.95703125), ('P', 0.0224609375)]"
46,U,0.04296875,"[('U', 0.95703125), ('P', 0.0177001953125)]"
47,U,0.040283203125,"[('U', 0.9609375), ('P', 0.01385498046875)]"
48,U,0.037109375,"[('U', 0.96484375), ('P', 0.01385498046875)]"
49,U,0.031982421875,"[('U', 0.96875), ('P', 0.009521484375)]"
50,P,4.65625,"[('U', 0.96875), ('P', 0.009521484375)]"
51,U,0.98046875,"[('P', 0.6171875), ('U', 0.375)]"
52,U,0.18359375,"[('U', 0.83203125), ('P', 0.14453125)]"
53,U,0.1123046875,"[('U', 0.89453125), ('P', 0.09423828125)]"
54,U,0.390625,"[('U', 0.67578125), ('P', 0.3203125)]"
55,U,0.578125,"[('U', 0.5625), ('P', 0.4375)]"
56,P,0.828125,"[('U', 0.5625), ('P', 0.4375)]"
57,P,0.2021484375,"[('P', 0.81640625), ('U', 0.181640625)]"
58,P,0.1435546875,"[('P', 0.8671875), ('U', 0.1328125)]"
59,P,0.08935546875,"[('P', 0.9140625), ('U', 0.08447265625)]"
60,U,2.703125,"[('P', 0.93359375), ('U', 0.06689453125)]"
61,U,0.5234375,"[('U', 0.59375), ('P', 0.40625)]"
62,U,0.578125,"[('U', 0.5625), ('P', 0.4375)]"
63,P,0.7578125,"[('U', 0.53125), ('P', 0.46875)]"
64,P,0.1611328125,"[('P', 0.8515625), ('U', 0.1474609375)]"
65,P,0.1611328125,"[('P', 0.8515625), ('U', 0.1474609375)]"
66,U,2.125,"[('P', 0.87890625), ('U', 0.11962890625)]"
67,P,0.5234375,"[('P', 0.59375), ('U', 0.40625)]"
68,P,0.16015625,"[('P', 0.8515625), ('U', 0.1474609375)]"
69,U,1.703125,"[('P', 0.81640625), ('U', 0.181640625)]"
70,P,0.578125,"[('P', 0.5625), ('U', 0.4375)]"
71,P,0.2021484375,"[('P', 0.81640625), ('U', 0.181640625)]"
72,P,0.28125,"[('P', 0.75390625), ('U', 0.2451171875)]"
73,P,0.314453125,"[('P', 0.73046875), ('U', 0.26953125)]"
74,U,1.5,"[('P', 0.77734375), ('U', 0.22265625)]"
75,P,0.349609375,"[('P', 0.703125), ('U', 0.29296875)]"
76,P,0.16015625,"[('P', 0.8515625), ('U', 0.1474609375)]"
77,P,0.2255859375,"[('P', 0.796875), ('U', 0.201171875)]"
78,P,0.2255859375,"[('P', 0.796875), ('U', 0.201171875)]"
79,P,0.251953125,"[('P', 0.77734375), ('U', 0.22265625)]"
80,P,0.2021484375,"[('P', 0.81640625), ('U', 0.181640625)]"
81,P,0.1435546875,"[('P', 0.8671875), ('U', 0.1328125)]"
