trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,X,1,X,J,0,0,4cc576846c3f5867fa0cf54628d3b838d36171cc6ef048ee9cc904743d3e2c17,1580016183,2
2,J,2,X,J,0,0,e41fd7633424ccd489c28e190d94e2e0e73edf150f68ca42a0e2e3ca6f171d50,1580016183,2
3,J,2,X,J,1,1,baa804699832bc02018cd0c09dd0149f36a11a37020a9fe41d71cd00bfb9afa7,1580016183,2
4,X,1,X,J,0,1,63b1af4e37bd80482b41edc68795f906228bd29770074d2ea8259cae8a4ccba4,1580016183,2
5,X,1,X,J,0,1,41a4e375516bce5d4646af466361b8715446d7c02045f207ced7f598cdc06295,1580016183,2
6,J,2,X,J,0,1,ba04f0923c64cd124d4ab494b759038800e336e143f330a3f466e916202cf0a3,1580016183,2
7,X,1,X,J,0,1,9d8438d5af03dc0177a4b4fabce4eb24479522a63dcc35ec2f9af265110ce2ee,1580016183,2
8,J,2,X,J,1,2,09799e823a5dc4b769f8195e9409495d94ef972655bbe298481221ffbe8cdd14,1580016183,2
9,X,1,X,J,0,2,ecf563168e86cd83a1296c8893e6b5ae3c291f1ec372b7d79cc0b10e6c816520,1580016183,2
10,J,2,X,J,1,3,b8f99a8a2fe0f82537b375a9e324b2e66778724a6cdf9ff0946bfe0f5f6e03d5,1580016183,2
11,X,1,X,J,0,3,560c9ca7837580af4725039462781d5fd4f9dc491047514da193894770424f42,1580016183,2
12,J,2,X,J,1,4,3f2c82dfe12b8da29f26fb80b000ef839f6dc4e7569f7c0db4d1235b39b7f965,1580016183,2
13,X,1,X,J,0,4,832d213146d8c88662d8938cf2cf83300f35265e10bb97e2de8e052f156162e6,1580016183,2
14,J,2,X,J,1,5,a069d0216dbe63dcb7223291022394c3b371131b790d0d3b906ec7f1c7e03004,1580016183,2
15,X,1,X,J,1,6,29fd739a7f43f0aa68a6a00ec47f0f21da5d8edf254b183ca8e1deda9e879b35,1580016183,2
16,J,2,X,J,1,7,e4cb7e0d28df275d805ef8f5647ca57399d4aa68c47a8002d65ea219c413de9a,1580016183,2
17,X,1,X,J,0,7,097a72e1bec3143f7fc53fc46443cde64640f94a5264fb089063b93a416a211d,1580016183,2
18,J,2,X,J,1,8,0a94e74ded0ed49cff4b8b77afb152c31ddbbe4d28ed74d988e54f42724f1e1c,1580016183,2
19,X,1,X,J,0,8,e80314031e22def4ce0b9ca629ce061eda5f9ce45e674f25902af1e514d4182d,1580016183,2
20,J,2,X,J,0,8,0932bc73bf4fa9e6b1be459377bd1d2ddaf112938933c547951012041e961013,1580016183,2
21,X,1,X,J,0,8,70066333519b51f5f0820934b74cd0ba2790461b7f467562b63836a48551ab1b,1580016183,2
22,J,2,X,J,0,8,709ffed0898ad2b4e9e73126472325e45241acbe9a9e99fcdc1b9e28e93bd63c,1580016183,2
23,X,1,X,J,0,8,709cdfe9a0809c1faa11989fa13d9b01f64df26a0be50d4aca16ec1446d5ee87,1580016183,2
24,J,2,X,J,1,9,fb4046d567e65d0595e15c15fc98ed6ccd4f61094918465df18fa71da3a11bd3,1580016183,2
25,X,1,X,J,0,9,32609b4a05d381b9c39d42b9476eae24ee3249fe9871dc3f36cc0ef419fbaf88,1580016183,2
26,J,2,X,J,1,10,ecbbf73ff53b5f9bbd53b1d1e032a51056d5c76c0f6ed0a610e411d1fb4e1999,1580016183,2
27,X,1,X,J,0,10,3142b5f0940ba9bc23c1da24dd10f4076c47be889ea2ffd3882df2290e6d005a,1580016183,2
