trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,S,1,S,O,0,0,a290f85ab69b437368956d623aa28bacfd71ccdd34c232da6e65fc832bec12b6,191664963,2
2,O,2,S,O,1,1,cf930faa0c191603f7d8150831a02d3c7f1102891b129bb61b4c9b02aca50e73,191664963,2
3,O,2,S,O,1,2,d351c2a74819af2bb279a11a913b7760bc53baaa76d304a66d2cd7f5838c9105,191664963,2
4,O,2,S,O,1,3,d016ca1bc29a2c10367030f44eba428f3197d8c4d47c66b5a760dc8b9c0b0b06,191664963,2
5,O,2,S,O,1,4,11681b036ec917868cdd93fca7cc72be1d86b6b2ed1b060dcfa736b121bd93eb,191664963,2
6,O,2,S,O,1,5,7f9ed9e82ce308b5b7a16318a3e24256acd32d22040423524868c55341b9b236,191664963,2
7,O,2,S,O,1,6,df73f296fb7fd6885dc45eca424b3b3df885a9480e2c3f978efe6a46c1d6dc11,191664963,2
8,O,2,S,O,1,7,529e55d78f5f8e2cf6b1feebddfae450141700200e76351de1bc4248168e0c62,191664963,2
9,O,2,S,O,0,7,555642f33ac8a1da2272171c0a594f14fd7999b08060b867e39e835283ce27bf,191664963,2
10,S,1,S,O,0,7,a59a23c3cbf40fe7aa4c5e3e6c585c259b893fd06848b92a2ac3f6cc862ad240,191664963,2
11,O,2,S,O,0,7,b0a5014e4666e795e2ac6881f5ed5bbedac1849e83ecc722a1c7745095d19aab,191664963,2
12,O,2,S,O,0,7,af1b7487fee6b7da51d9e701e51ad6f5fe5b748eb1d7246627fe51ef4916ab94,191664963,2
13,S,1,S,O,0,7,9ee3069a3c5285a5757e54ab105bea7e7811d70dd342e3a7182cb9829a72c49d,191664963,2
14,O,2,S,O,1,8,a294adb46609fe583645a40cd2c6ca61b7fd54be25d44354269c11bcfad41359,191664963,2
15,O,2,S,O,1,9,45b5c5d768c4d37c3a3673e330c7ea10b7f849c98a8b36fa5c501f25e13325a1,191664963,2
16,O,2,S,O,0,9,79724c213c515ca9b61c904ac37f9e659fb6bdff6d2daf0c6224255a67e48926,191664963,2
17,S,1,S,O,0,9,5e8a39dd254b8a4dc500206c57b1089901de9cb9d97773034e8cc7f143442a20,191664963,2
18,O,2,S,O,1,10,5288327a1a755d511db18b2d91256b05fc2e9fdb5f30d29eac51a0b06b2b86d5,191664963,2
19,O,2,S,O,1,11,038d1182dc737f0a574c122f40b95d8aaa3839f2716f0b2c9064603954b1fbbb,191664963,2
20,O,2,S,O,1,12,83503544c08f0e8731828e7b05129a3597abb7aa1e1b59aa37266d1da7b8da50,191664963,2
21,O,2,S,O,1,13,73d459216fd2da6bf6f484216d6617148ff0edb6b0be055e537f792b2958fbd8,191664963,2
22,O,2,S,O,1,14,c6efc1ed27155e28247608b45ca836ec73a68ff7f4070270ae36abc20b4dedc8,191664963,2
23,O,2,S,O,1,15,f6af900d6ce2800f429eb7529bb495c6390006a9f7cef9e461bbb8d302a3fad3,191664963,2
24,O,2,S,O,1,16,155aea3b7e907bc3b6b65d064e6efbbe76c41b926fc22140e445e48ec7a4fe81,191664963,2
25,O,2,S,O,1,17,df3b7a70abbedeb78382660492191d697a53ded24b952c9df9315ef950ce25ac,191664963,2
26,O,2,S,O,0,17,535cc3ffe4a404f160cd7dc21ece2d90347b02fdff2b712794847332e260bf91,191664963,2
27,S,1,S,O,0,17,8860e88bdfacbfc9f38a37e3d173e6ca9f2fe7ea0a9d0e2e4698115505c8bd7c,191664963,2
28,O,2,S,O,1,18,f3808c28a466cc89c2c4468d835fafe8a570c8061433c371c9653672c8907251,191664963,2
29,O,2,S,O,0,18,0917d5641622187ae1cd9034786eee5df7a9a63c0f4f3c2efea456ea76599c3c,191664963,2
30,O,2,S,O,1,19,b17c217ea8e7debe4f967e5ce2afec1c7927bcefcfd7c0d2da0d6ecddff9198c,191664963,2
31,O,2,S,O,1,20,baf3a8725e6a8815ea915b873d552c598391655588c9bd27c0548fb056214886,191664963,2
32,O,2,S,O,0,20,c222516228c759150cc061cf5f6b490b7c41aeee7e3538fd2fcdd85296678f20,191664963,2
33,O,2,S,O,1,21,499fc7b62f02fc0832555fdbc19870965ff154991fc1e6f1a99c471bc0b717fd,191664963,2
34,O,2,S,O,1,22,bfd8dc67f106596be2b0ce2c0c9f82b19fc4a20bf7f9000bd1b493eee787a277,191664963,2
35,O,2,S,O,1,23,22d776e302ea912a79984194c54eba040591a88c30d2bb0c5e9075ae6866f150,191664963,2
36,O,2,S,O,0,23,2d97028dadae13f75213ed7aa64ee4314d68858fa7d1cea8694bfb127b0b72f2,191664963,2
37,O,2,S,O,1,24,45a552bd9d83112cc8512e50a4615c4b472bc7ae540ca00d8283934992c7b191,191664963,2
38,O,2,S,O,0,24,87896df3fd92e3a9ed03cf66005edbf736e541ecd4e7f3ff7e9b83a1cad97a8a,191664963,2
39,S,1,S,O,1,25,483eba6d34563506cb2aff7b8320ba1fb6a84bf4dafb851dee165695104a2e4b,191664963,2
40,S,1,S,O,1,26,016a50de2106f3a1385f578d2dc97b8d9543fe6f0f8b7780f36d564d969cbfd1,191664963,2
41,S,1,S,O,1,27,a142a44d829c5d7619b7dae9942e560f9dcb6aeeb5977597be2a47ffbd963944,191664963,2
42,S,1,S,O,1,28,4c332e81221656f2f8c64fd8ff757a561d89f7caac7096d1d43b751aade46c2a,191664963,2
43,S,1,S,O,1,29,46333c96cf09698ec4ac7859ddbe7ebed1cdc2a7bcf4f4efed0b9c0cd2dba639,191664963,2
44,S,1,S,O,1,30,7688cf88cf759433823bedde34271a721322ac6817157db6be78d40331a03938,191664963,2
