trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,S,1,S,Q,0,0,f97089890b2b534abcb9742dccb6f143ed213463d6c3c0fc4db09d69ce93a853,1002275723,2
2,S,1,S,Q,0,0,7737d1dd7e5e187818b09b06c90031084bca59281701210af6bf72622d79e9ec,1002275723,2
3,S,1,S,Q,0,0,34ceeadb07f00b523ae2734f32b67b310920508971d93fa300ec38bc7f10a86e,1002275723,2
4,S,1,S,Q,0,0,737ceee257e50d5c7610a39f3313d41f99445a1fb9b6db87548644beaafcb9d0,1002275723,2
5,S,1,S,Q,0,0,a74fc13bdc19fa560442043b3e49ef09a057a747b8540c069aa7eab54f619a0d,1002275723,2
6,S,1,S,Q,0,0,06715717bad87c2a69c873fa460fff0b91ecd2833173f6f1c4449e3c5e296550,1002275723,2
7,S,1,S,Q,1,1,0d83c186395abb2ad241d43d1e18fb62e26d4c54f4c5c39a7067858a089f5873,1002275723,2
8,S,1,S,Q,1,2,895d541e7fb44022c30db972bd57c3c0db5132aa04ad506149fc31f585ca13ce,1002275723,2
9,S,1,S,Q,0,2,979a9b6140750af0478ecb6dd4c546a9c41307c9220f1952446ab6760319f80a,1002275723,2
10,S,1,S,Q,1,3,173389ffa4ecf01f81108b2f639650e3ce1a576e301e7fc369b8f1fbd0fcb191,1002275723,2
11,S,1,S,Q,0,3,7602d03f4061960b4cc4e88b89e82fcbddca01e6841754d2b812d49dd4cb2f25,1002275723,2
12,S,1,S,Q,0,3,d7277838ece95aa8a059188c4d88023f22e5e7485eebbec96f52034220f9a5d4,1002275723,2
13,S,1,S,Q,1,4,55be813e3fd08503ef4dfd49a4bda00cc64e216841459312d18136a8bd312b76,1002275723,2
14,S,1,S,Q,0,4,3a239080fdaf2419d836bdcc6bfa4fd07f7f7d321549b0fdd8bd267dfc3e9c2f,1002275723,2
15,S,1,S,Q,0,4,dbd6bf831cc9c70eae69d139ee89cf10dec678a4280fd5f1dd8e332830d059d8,1002275723,2
16,S,1,S,Q,0,4,85a36898abeb6598545ee658719fa8ef090a79db60722b13ce3b38a5fdf219a5,1002275723,2
17,S,1,S,Q,0,4,e87c1056cc92acf3039ef8c374bac67d358c9766dbae914c28652401ac9403c2,1002275723,2
18,S,1,S,Q,0,4,27875503b0046350417746ba169106ced0b258db61896567eca24b295c6fba79,1002275723,2
19,S,1,S,Q,0,4,892cbfe2c14c9b4dc9ae140b022deff117d1d8432e606ba5b7196a5688f4ee4e,1002275723,2
20,S,1,S,Q,0,4,2afc190b3ed4cb53b575f80d43e985df1e1e103685089c37c93b2127e235fade,1002275723,2
21,S,1,S,Q,1,5,2e11327ddbfd36671b91abb830cfcdc87a95eced96af15314754bb632b9e3f29,1002275723,2
