trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,U,1,U,J,0,0,321edd958d2cf88669518f699651baa5ee53ac7c01498c88f7917d07fd0b0d00,1671565830,1
2,J,2,U,J,0,0,158e30245c9349f269217ed1d3179e5e5eb5c3d79dd55e526284bc526abc7ee4,1671565830,1
3,U,1,U,J,1,1,74ee4cf4627584293aea22ceba85993d74771f34fcad3cc36edf374920ccbba1,1671565830,1
4,U,1,U,J,1,2,bec086a98c615acbe9c945a684118fbf8226bb63b6f61f8fdd3f4341f854ddab,1671565830,1
5,U,1,U,J,1,3,8cae0b7d45109e5c7445c4ad3f32db5c60cef04d34f761ffb34a3a0886d9a163,1671565830,1
6,U,1,U,J,1,4,b68db779d45133d91b4c3c53ff9a5a943485d33536cb9ee35312f0fd7c1fb276,1671565830,1
7,U,1,U,J,1,5,fef41bedb46306accab872a14d464813e6a58e6cb08bbed345fff889e48496b5,1671565830,1
8,U,1,U,J,1,6,fb60a78f6b3a97d7c39666b00505506614a862f698b890538cec4f2cb80f01c0,1671565830,1
9,U,1,U,J,0,6,8c8026ef00e8d398cf826759ddc448ca5ea7c0ef06914929c486d60e83fb0213,1671565830,1
10,J,2,U,J,0,6,92550d4c045bfff1af91abf9c87fa2e02ef22f93f847a55f06dd06ba0afddd09,1671565830,1
11,U,1,U,J,1,7,e6d0229f1678b73741b918ed9fe60309bd36ffea4a37db343b9dfe6860517832,1671565830,1
12,U,1,U,J,1,8,be1efe273debc3a3be0c3e369dce8485e04ce9423dabf586e55d64503b8ea193,1671565830,1
13,U,1,U,J,1,9,30d37f8561dfe4126a47536a8d1e5241ad26e525c33742cc9ecf6abfb56e218a,1671565830,1
14,U,1,U,J,1,10,32ac924873f93cdbace9550263caf528dd92ed8ceeb113cd0550543caad4d13b,1671565830,1
15,U,1,U,J,1,11,9510254a0168ae7f644b11b321565f5fdea6d3edc7a7d70657a854637f29fd7f,1671565830,1
16,U,1,U,J,1,12,65b416b8af24d6a339557c9dc14e6678f8cfb6f82e693b1f3e9de33589a7f33f,1671565830,1
17,U,1,U,J,1,13,b8842fa786e3dde40f5352d3d75f2f96fc7cc2dbdfa8cc50d554fd9a1aae681a,1671565830,1
18,U,1,U,J,1,14,0d3be3268aa67df2fd7c5bfb15b1974c6a9e31a52a8773ea4cdedb0f685831a3,1671565830,1
19,U,1,U,J,1,15,264010edf1edb649fbd5e9526f926651f1bc537d6f9140795fe6318c51fae506,1671565830,1
20,U,1,U,J,1,16,193cd722fb196eb0a680ad9116c858db6191716754b74a8599ad352895329d63,1671565830,1
21,U,1,U,J,1,17,a14af42a3d513827ae5e8a1972b117e9cc27ae9754f0e5736d14ebfe431b6c72,1671565830,1
22,U,1,U,J,0,17,5fd7bd110ceec07fd72edeb1f6ac67894907988b582febf27b62e2d3ab97fd5e,1671565830,1
23,U,1,U,J,1,18,0fb0480cf73a73b378cd23e9cb22ccbc4f6f2010b4ba83d50b9918edd0488da8,1671565830,1
24,U,1,U,J,1,19,2e32d946366ffaaae2cddd23fc4a6e61539348de617b343c298fbbbaae429761,1671565830,1
25,U,1,U,J,0,19,52f313101ae9d58166f77540bf010a342f1109bbb69d21289919c71f5cb342b3,1671565830,1
26,U,1,U,J,1,20,8b1b809cee1350be1cc580428a6fd8589f361b9b6d06fca41958d46a304e22d5,1671565830,1
