trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,N,2,L,N,1,1,af0f7f4a539734e9c28e00b39b2801763d4fa92142f4fb6ac730b59fa5a291b3,1190961760,1
2,N,2,L,N,0,1,2d0567c587732486fe733a421cd2569dafe1b1119286affecbc37c3ac6e34377,1190961760,1
3,L,1,L,N,1,2,71507c80633e543fc1422aa655e8ffc00a4f8689f8fe4f494c3aa1f9435c622c,1190961760,1
4,N,2,L,N,1,3,9ce813ba1f080ef8fcedab3a36c670e7d9cdbdb1c77ee5c4c73e874a419d62ee,1190961760,1
5,L,1,L,N,1,4,6e3b7e63f15c9f00ab3ee81ef31d0dd54da646cc828d8677033566f29b6415a4,1190961760,1
6,N,2,L,N,0,4,3a17d9dbc97725f9508cd7ef09c8a36ca6213e7f580f912bc28465aa2e4afefc,1190961760,1
7,N,2,L,N,0,4,07aba6f5cb6269c0a5dc974303b4a9767d7c7aff1a99690a4198f45d09bf2d96,1190961760,1
8,L,1,L,N,1,5,a26afb4af546a6f3cc164fc38daeddfe92eabd7534ff3703e3abc1e21fd89a75,1190961760,1
9,L,1,L,N,1,6,4e6b48a3b24261ddce7ca9ecf828630cf0a66de940d36c4b9899db1ea5a39730,1190961760,1
10,N,2,L,N,0,6,dde949d9a16fd9f74faacc2ab3bd7a16d19899110ee5bcd40146ebf68df03251,1190961760,1
11,L,1,L,N,1,7,2af15c93f6a927058233dac66daa24772226576e7ae5efc8b98f9d8bc4fd4045,1190961760,1
12,L,1,L,N,1,8,42daf8d32630719e91ef2a001e98df252e80d153ba4d8df1615d3fa62038d1a2,1190961760,1
13,N,2,L,N,0,8,a7cba9cd7cb2f9b023d842d6529460d386b22a7641c16fad7cf9046bbe577d70,1190961760,1
14,N,2,L,N,0,8,e9139ae039e3cef5300daab4185c6c943bcfe93e101dc44743c3e0a51f62bede,1190961760,1
15,N,2,L,N,0,8,39a89d1e31f5ad71432e13968af7065f70fe1400dc0fd29919f23378cc5dc136,1190961760,1
16,L,1,L,N,1,9,702c374b2f0a42382d0fd32bff05cc775c88471001b8db593e1efa37b0cf995d,1190961760,1
17,N,2,L,N,0,9,05d5624a4bb5988f83a5ed6ed79d51f57d950ad4861d58bedde54578252c43a7,1190961760,1
18,N,2,L,N,0,9,73d7681a949efabd034e23d54597bb6fcdbac68b1b8f9d7cf7a37885e568393b,1190961760,1
19,L,1,L,N,1,10,4561444a829a06744b2db269f883592f76e3fce5b79e252b63f5f9480d5d6797,1190961760,1
20,L,1,L,N,0,10,9cef3c1abcb217064ed0bc8700797e6f890b0a135b128910c12a5c78f98b4ac6,1190961760,1
21,L,1,L,N,1,11,064a4ed4b89b3279821999ab2fa03fac6da8c2879690d61ae91c1317b7caf493,1190961760,1
22,L,1,L,N,1,12,c5155aaa532c2e27576bf8f2ba6788ccee83f2baa490c6d45bd60f17794f2fe2,1190961760,1
23,L,1,L,N,1,13,7dad651f4b19a987991124531f391eaf1e517fe010e7412e9ffb3575e1aa7e66,1190961760,1
24,L,1,L,N,1,14,08d54e67b94a955ddf54bf6dd629458c6e81fcab3ca929c65a97271ae4c04fbc,1190961760,1
25,N,2,L,N,1,15,8c973067e9a54bea8792fccec29e89ccd27966e26aa09a27e45b8efe755a7945,1190961760,1
26,N,2,L,N,0,15,7857f299e4454966d21fdc9f3bbe57091de1ef07575a260861fbd4a4aa915dad,1190961760,1
27,L,1,L,N,1,16,33450d1887fd6e373a279103f05db2e46c75ed1bc3a967a0372b61c3dc13df0f,1190961760,1
28,L,1,L,N,1,17,db82a67d3fdffb431d2c7de8911b40570d7e19611bf22c0fd59fa982a636c2b3,1190961760,1
29,N,2,L,N,0,17,46920e06725eb1926f8041278e1a3d0781941e08cfb6797c6d88392057978090,1190961760,1
30,N,2,L,N,0,17,004f4b0858b07be33eccf7982bdc3c01d22b36e94831db335a53c7d48500753f,1190961760,1
31,L,1,L,N,0,17,abe89b6de47df53346c4944cb5f43cef765678cd14b1f97d51383c88f460e68c,1190961760,1
32,L,1,L,N,0,17,06ac2f7280ce375a7d795fa5956fc01891c04a396866dd2e535d3e71bed9a420,1190961760,1
33,L,1,L,N,1,18,fdeca092babab7eb3d6c6ca27c3ea4713d759682961b22f9f41368a122e990b3,1190961760,1
34,L,1,L,N,0,18,3009ede5198159bb9f7840466e0da2fc0447826cc54a7756600c3e2cc6b831d0,1190961760,1
35,L,1,L,N,1,19,cde9422b2977b4744824c60491cda7e973584118dc54321b1987b8c25e83ebf4,1190961760,1
36,L,1,L,N,0,19,dd6c6f7788706966766fc7da8cdf0ca0f8fad4d49fb56f1988cc710e1272b075,1190961760,1
37,L,1,L,N,0,19,eb0adeb9d9df75db296fcad982d3d84ce6fb691f89f0a9c9621d00d0849c3eb6,1190961760,1
38,L,1,L,N,0,19,23eb0129558058d487ab432751ba71aba09e7850af99a3d9f433df93f634bc57,1190961760,1
39,N,2,L,N,1,20,7b5d3c52e53bb3d910c5c95f4570c1b708fb2e46891e3746d922edabae516c99,1190961760,1
40,L,1,L,N,0,20,ca2ef2417cbd1dc14f107d23cf81a56850c3fc5b18f2fa44339646bbfe942baf,1190961760,1
41,L,1,L,N,0,20,3fb9a78d1e58848cd99e731c44ed3cbd70512a922c2658ff504a64933284b188,1190961760,1
42,N,2,L,N,1,21,60409b62cf720de95d44a4f9da020198cccd463f67b24a0535acdccf55669b27,1190961760,1
43,N,2,L,N,0,21,ca6d1663fbfa291a4bb6d7cbb8b361f446679f5f46c281adc752c848dbbcbca9,1190961760,1
44,L,1,L,N,0,21,cf912b686c2839615602dc2747e37156fdf0b3873730aa53e5a16b4b75b2e5ae,1190961760,1
45,N,2,L,N,1,22,21a28daeb676342ec6a862e09222a7dbb05e43c45a25f491a81c65f391d53e79,1190961760,1
46,N,2,L,N,1,23,cf35581ca213aeb6206ce49dd43a9e371c95459db734648d007679bc653dbb39,1190961760,1
47,L,1,L,N,0,23,78f463c049cd16a55dc16eeadc2fb75fbeaa773d45262b819397ed39f3be2ce6,1190961760,1
48,L,1,L,N,1,24,d862cf3b125b790f6e48c52da505ff273b6d0e33e1ab44113fd465b602ef16cb,1190961760,1
49,N,2,L,N,1,25,dfd8949bfdce03e335c52fb7b7becf54d6dcc02178434810ae1a60602c933df6,1190961760,1
50,L,1,L,N,0,25,ff4d19ae31dbd0b226e7a27d9e251656ac15a608d609e5f418361059736e1003,1190961760,1
51,N,2,L,N,1,26,734752ade859961c9a090613d1a3a7d05d9ab34419685b8c6d759fe27c3254ff,1190961760,1
52,N,2,L,N,1,27,77ab807874b8e0212a06d7ee7380f8774310669b81539c04eb1e4731ab0546e6,1190961760,1
53,L,1,L,N,0,27,5625dbdcebe0ba5779a4a95cb03b3623de796362944a5741ee85e4c76e07eb0a,1190961760,1
54,L,1,L,N,1,28,08348cd17b0ff955817037abd989641e1cf818ce33d97a77096467782f3d457f,1190961760,1
55,L,1,L,N,1,29,98700a7a0fd6f6f0f60bd39639feedbb00d884890854665f0bd6c2cfe1e3c848,1190961760,1
56,N,2,L,N,0,29,a2d7c0d5a96b74509a2923a89060c953e338deda24a95629e711263fd88e3c07,1190961760,1
57,N,2,L,N,0,29,0f81561d0812247b7bd376643a6d6b2f31b03e9d21983596003e33538d6d1877,1190961760,1
58,L,1,L,N,0,29,ae13df81b8ae5482df43847b39fe591f6e953994c1bc006f3744e4c9fd071d21,1190961760,1
59,N,2,L,N,0,29,2e21fc4ee5f2bee8fe0fff9265714ce8d4575c97342280521aefd2a114bb71b6,1190961760,1
60,N,2,L,N,0,29,d4cc1f0fd7180e9be8da4b0994a9cf892fa2a8cf1a63c4ba5af79ccb10459396,1190961760,1
61,L,1,L,N,1,30,6f7313ebe965318e0314a86e3e8d9b2e38bb2f4c48956b82fe1f39097e407899,1190961760,1
