trial_index,choice_mapped,choice,choice_option_1,choice_option_2,reward,cumulative_reward,prompt_hash,seed,initial_correct_bandit
1,P,1,P,Y,1,1,ec25d83efc4a4f24a68be145ef6e65da9fd2de15b191cdc01ef9928bc7d7c0f3,952224740,1
2,P,1,P,Y,0,1,877a84f1aeed737fc643fac8a6c7bf37281de6956f4377810a6e090c0a33826a,952224740,1
3,Y,2,P,Y,0,1,d829f2821eaa4a7ad835cdde54b442bc1e6fb1e3727452d943a20006ee74793f,952224740,1
4,Y,2,P,Y,0,1,8aad3428cf78a0630c23d9a0f621664495e7fe4efd443ad2f23c86149045f64a,952224740,1
5,P,1,P,Y,1,2,55ca5a9e2851442072e3a6cc2f83a23d56e8cc6d926a489a512e7a0fd2a03454,952224740,1
6,P,1,P,Y,1,3,eceff11d1cbe2c45bb1a4e986ceaca9d5b7db129dbfa58f55530fe3f785eb285,952224740,1
7,Y,2,P,Y,0,3,1c43ea70e5007c0539cb4ea8196f22aae44895bfe28a9ed29b9a928172140f9f,952224740,1
8,Y,2,P,Y,0,3,ec0067f2cdd9e1b9a7f497395c074a2f511444089dcc6cad1ca59eeb4d99c3a6,952224740,1
9,P,1,P,Y,1,4,dcf50e1139fba2b2d66a64c801e956372d1a36019e1d816caf1b10baf4388707,952224740,1
10,Y,2,P,Y,0,4,2ffe915a8b8200c8579699b985918bb887bc509e01f6045f00320f665acf9713,952224740,1
11,P,1,P,Y,1,5,b3fed210cebf3af68b99de5b370d42f3f934815901c4c49ebf81a14d454499a3,952224740,1
12,P,1,P,Y,0,5,428d9c3842a5106f0a7c19e146b27e6f34cb747c764b34f4c6db2df3030d835a,952224740,1
13,Y,2,P,Y,0,5,60f77ae0bb0e4482578054a1cb0a07028ace59ebc21aec495f08f521474bc9fe,952224740,1
14,Y,2,P,Y,1,6,92644527f73d83422292f30c9d2d25857f5896abcc59a390b564412009101a96,952224740,1
15,P,1,P,Y,1,7,908b89e47183eb4da26fc17121f4274dab2846999f6cb870afb9c9d1a6091c53,952224740,1
16,Y,2,P,Y,0,7,f4f24ac3f3bc2419d80f30a1c94b1f34099f81a70a43834ee65092eda0495644,952224740,1
17,Y,2,P,Y,0,7,0900c6e0d5dc73ae157f7d8bb59aa91e2cbfc8b2122e8f2953c6410a445f7bd4,952224740,1
18,P,1,P,Y,1,8,53e77c38e5e46d3afec4d696ba8a6e80055b1bf1116b31261092caec1468015a,952224740,1
19,P,1,P,Y,1,9,a397869f9ea94a9205197ebbfec24d65c40d761cdc57a280623e7523e6f0e209,952224740,1
20,Y,2,P,Y,0,9,fae76d159e25d010b674a95fd74e9c57753ffa9fc0bdd3297b2de3d9ffd3ff66,952224740,1
21,Y,2,P,Y,0,9,6bc2945cc6a92efe3f23cabdaebadb87cb601f58738debb6d96e67b02ae94157,952224740,1
22,P,1,P,Y,0,9,9a89b1957fb33e4b829bc2d4bcb020b510a61a74a086d114fff9d5e7ea172b20,952224740,1
23,Y,2,P,Y,0,9,3a26e69b83864996ce9cc34dd0a3f36a354b8bd31985dd42e7461a50eef73631,952224740,1
24,Y,2,P,Y,0,9,4af9a88ac5d19997b7ac7445b5d8a6d1f9a57e55f38909e3c4d8856e502a0297,952224740,1
25,P,1,P,Y,0,9,705db21caf2cb4a4a0eaa521b23eef932f36f633cc884060221fc04e9a898b6c,952224740,1
26,P,1,P,Y,1,10,e1a694b0cdfef6d88edf2ce6fc931243e579c6ab5473546264549d690ebf0b75,952224740,1
27,Y,2,P,Y,1,11,5f336a55dcdda64d9531588e2da0fc2a50834df70fa10766446ad014a42a9ada,952224740,1
28,Y,2,P,Y,0,11,dc2259621fff1db7d1c4bb10c5c8ea5e088c388bd3da1151d68187ce2d3645ab,952224740,1
29,P,1,P,Y,1,12,303d78063bef95de01a9efd5d2859ca74fe9d22836ead782f458505ff2a79e97,952224740,1
30,P,1,P,Y,1,13,7ef38a1f10ae1d794f6247f3da24430cecd8e73e9c8ddf07817cefc0d6464a42,952224740,1
31,Y,2,P,Y,0,13,0b9224ce706818096396249bdeaf91338f84fbc5eff9e96e57b1abfb7b4b33b5,952224740,1
32,P,1,P,Y,1,14,bb2c5b6a0b5ee62ceb66ca10629093bf5517a30675b70b7a5994f48a6fbfed42,952224740,1
33,Y,2,P,Y,0,14,8c4546d4dc224a4cbc8d6d60d619c937df3f8044bb4737976acd912e9b9dbae1,952224740,1
34,Y,2,P,Y,0,14,9a47f73a2c1e7afc064e7707c2ca2ebbeb2836eade00e161c933a629a02374cb,952224740,1
35,P,1,P,Y,0,14,5567bd4742b8c3c868c4f9f40bd061e6c800b9f7a37b52e06eb1ee26bba33ad6,952224740,1
36,P,1,P,Y,1,15,a4d9868dccdf9ce0020c2f585a00395801ebd6946e39d7e98ce14335a2f55694,952224740,1
37,Y,2,P,Y,1,16,c85aa9a0b85ef7262aa80d4bbda40e50fb8aad766b953b0ea01d83d7d2a36e19,952224740,1
38,Y,2,P,Y,1,17,1b623150cf523c5725b1d277f88dda7e0f6d14cf0f71e9872637ab9f81b74952,952224740,1
39,P,1,P,Y,0,17,e23c88ba4c945f3992cb0f18480fcdce20581a061b603907ada75f77b934b05b,952224740,1
40,P,1,P,Y,1,18,1a1e1092e1780661cfa6541d87b75d2e9523beb59d7b6bd73b632f42ec994013,952224740,1
41,Y,2,P,Y,1,19,eb5ed1b54634b8c81bf19fdc1ddc3b5d3fd73905ac66a79dd70a8c2c0cd067fe,952224740,1
42,P,1,P,Y,0,19,2f5925d5e3ac748b37fed9be54b91e60d347388c8e94c5da660cf64bc50b97ba,952224740,1
43,Y,2,P,Y,1,20,ca1d8152425d809971365fab02116c94dfb622554bb369fd8a2ea611c23b840c,952224740,1
44,Y,2,P,Y,0,20,1f62f7970a304d9f30c796f292e71fe35f3725c40610330cdff0f20df538b63c,952224740,1
45,P,1,P,Y,0,20,682b7aa0c61da220f2e83b6a95be30c201ae58b9a94b6192c58fa70917af108c,952224740,1
46,P,1,P,Y,0,20,252981d09310bf11793cb3f780178a27ec14f2a3113c1a6e66e629c17b3f55d9,952224740,1
47,Y,2,P,Y,1,21,9fd92aa6cf19b8025ff7cf9952615215f686d096ae1811350a9d25787beab32d,952224740,1
48,Y,2,P,Y,1,22,49132b2b0f674347a92e0465a1d09b18d6c936121efccba63dacd00a08d1c8b9,952224740,1
49,P,1,P,Y,0,22,050836a76d31db7e3f885c3354106ee7730335363abef650ef8e49d17f9e7086,952224740,1
50,P,1,P,Y,0,22,d06cf48783d53d5ee8d475c6dd47e0cf8b2bf3eb93e49e3c12d9597089342912,952224740,1
51,Y,2,P,Y,1,23,d595c7d12f7cebd0fcf2f76fa204bbfe50cf5f233d3ee7bc4ac711093b0598f8,952224740,1
52,P,1,P,Y,1,24,9ce9dce976ded4e56c5e28b7bd82a93305c909a8699aeba3785b065335a6af73,952224740,1
53,P,1,P,Y,0,24,a5f0b7b352a16daa5789bdee98428a7ed98b403b0ff90f0a5b83cd6a17ef436e,952224740,1
54,Y,2,P,Y,1,25,e437485a542d0366de3b5746875320707785dcac9045d29725188589739f5cd2,952224740,1
55,Y,2,P,Y,1,26,b52dfab23c8a70e700a79ef958d831ac04b54591c0f016931702ced968bef420,952224740,1
56,Y,2,P,Y,1,27,94ffed5272433d2e231f968bbf3345f165bc39dfa397218fd70b6f7d27580be6,952224740,1
57,P,1,P,Y,1,28,1cb788363070dbe48366801485bbe58af50949c9c586447b4d3aed81cb55c6e0,952224740,1
58,P,1,P,Y,1,29,1e4b4ba2c4276ae24650c4a3a5833562a9d043f6a107b939864aa05003bd8992,952224740,1
59,P,1,P,Y,1,30,9d69ff2029f098e2925e4b09e9d4667481dee861325491a27836734407b1cbfe,952224740,1
60,Y,2,P,Y,0,30,0bcf89974886266335638d7abb76492303d92bb04b7442961db57aa3e9b6a108,952224740,1
61,Y,2,P,Y,0,30,d5e706591017341292750a92075851152de94b50f6c670c518489bed17a289aa,952224740,1
62,Y,2,P,Y,0,30,52734014cbd41c4bf4fd9b3b27e95dcaf3d9229ee5fa756d5e80015762a43f9d,952224740,1
63,P,1,P,Y,1,31,6b0a906192cbcd163035a7f781dbbb0932bc0db56980ed7d0723d709f786dbf3,952224740,1
64,P,1,P,Y,0,31,d7dfe52bc94ddf21843a5efe42507e3c617579e7edcdb71387842eb4cf33e232,952224740,1
65,Y,2,P,Y,0,31,157791db47c25a7dfd3f55ee9174b88fb86f9ab1c12b71dec31deea997294b48,952224740,1
66,Y,2,P,Y,0,31,609747d347520d891529a4ffcb2d58dd14a60ce81a7c4f4c92002f3beb7dc58e,952224740,1
67,P,1,P,Y,0,31,fbfbdeba3cb9e0905708c4e156a0816cd2210d1e89c74f65cc82187ab55dcb9b,952224740,1
68,P,1,P,Y,1,32,5bcd2f94d3e9b65fb21a526859871690ba44995ba8c5e0344976d39fb541ac2b,952224740,1
69,Y,2,P,Y,0,32,a59b660e99324babf316e5d6e70964a9ba8c707ae7760c2bb4593f15a877f7fb,952224740,1
70,Y,2,P,Y,0,32,3acc9ba903895539f555db08fa337e148195e7bbc9d91e0d324a87f4e5014b1b,952224740,1
71,P,1,P,Y,0,32,cd85db020becba83ef3ad6dea1699199410f47d1e58174f826ed04d2fee1845a,952224740,1
72,P,1,P,Y,1,33,e3d3e3507d7a1564bd756f2650b4d475862d2e54a527d64a72d8f90f6e9e31a4,952224740,1
73,Y,2,P,Y,0,33,bbbc1b35f6958d04ced6c498fbad0f69ab789bf6e3dccf9a3b0383352bb8f791,952224740,1
74,Y,2,P,Y,1,34,7b4ecef2b4a07997632ebe2fa9dc4ebe1f00a82a02a8b979dbb2a7a33bf99db0,952224740,1
75,P,1,P,Y,0,34,8604a6f27bcd38d62ac098bee0f5ff1ef537a9c11fdbe35e6f2552e48829cb22,952224740,1
76,P,1,P,Y,0,34,27c6dc911d5c56cc53c3664f45113f2c8b7bb1f784f796bee9fe3dc1f222b8c7,952224740,1
77,P,1,P,Y,0,34,1a35859b13730f28d6a8cccd5bcf391677c6ea72547e570fb1d94018b2fcca8e,952224740,1
78,Y,2,P,Y,0,34,dcdbd0c7ad54d8458645ce0066e9bee26fc70deb666496df5b627e2b6b408232,952224740,1
79,Y,2,P,Y,1,35,3c1a32d8d2291f14ab2631356f1290c6d9af22ba693cae6e89ddf6d1eda14751,952224740,1
80,Y,2,P,Y,1,36,cfac4bf46cdd6d12e1a12ac722a8df8971200b2614b9cfd2f0bdd37a70371d9f,952224740,1
81,P,1,P,Y,0,36,32b71922f07f12e670b0b03a6206ed8a40df610727898a51603d53430c121c98,952224740,1
82,P,1,P,Y,0,36,7eb52a1342072d72042c47b43f1944a346bd4a89197074fdbe02c3a474c02161,952224740,1
83,Y,2,P,Y,1,37,5ee87bd1318abd4657203fcedae60266c1877a8675dcb9bdd653f1ee6712aff7,952224740,1
84,Y,2,P,Y,1,38,170b0dc74d588e03dcfb1e849f764ef962e7c744b4fc57d9cbb29acb3b8efe81,952224740,1
85,P,1,P,Y,0,38,c5eb53f93b1d4e1157a1ff82ad958cc96fd45c4cfdf4fff5eba12f9e8ab7dca8,952224740,1
86,P,1,P,Y,0,38,7d0935d9738d59742865ac9990380c4d82253722b5c9d9dffc26327b5a4d874c,952224740,1
87,Y,2,P,Y,0,38,64c92af55c5ff6a23b297884a5ea2851e233b08b7a3f568d1d6ee67c80081d07,952224740,1
88,Y,2,P,Y,0,38,7bf01a684728bd846776ddf56553798234e968fdf2b36a160ec45b94c24a381f,952224740,1
89,P,1,P,Y,1,39,b415114f52c40bb302f867d00d0c7ba0313dc3904077f10594981391411d5e84,952224740,1
90,P,1,P,Y,0,39,a0075e8e366885da9a75c6c5ed0e81a233c083bd4c859198ad4b88f9fab83742,952224740,1
91,Y,2,P,Y,0,39,e916466dcddb38a6c87e67bdb22ceb903df6ae869fa015ec1840b890aab23df1,952224740,1
92,Y,2,P,Y,0,39,d0c7c58464b8c92006b3392d2176fb736a0f556474c9bf1d5f504aebcfa36d60,952224740,1
93,Y,2,P,Y,0,39,06109e22d91dca7a4a4e6dc6791e53e048afee33cadd17a9b2df511f7f43a922,952224740,1
94,P,1,P,Y,1,40,0a9a4428d9b02a88aae6f0ed6ccaf27a885fb61cf99630f37c543e39d3a16695,952224740,1
95,P,1,P,Y,0,40,170043a28b3dec647aa736f40e6669f2f37581960d665c08e49fc7ed54e80ffe,952224740,1
96,Y,2,P,Y,0,40,acadbe8ea1ecf81042c3120a5497fd8866644a53fec56f88ede42b4e6f05ed45,952224740,1
97,Y,2,P,Y,0,40,ddadb0a822fd7257beb89ad7cb89b7090041910f64549e4ebcf050887bdea262,952224740,1
98,P,1,P,Y,1,41,b7974cab459c661191c9809335d41e9574cfc3f89a1f7db5ac4a42c9d51831ee,952224740,1
99,P,1,P,Y,1,42,e4820a7196f27a75e1b3c465f3e602e8bbcd06e0669e321d2c4bc266298265ed,952224740,1
100,Y,2,P,Y,0,42,276d42073f2455e3013f2d6d187fe7ffb6e458ecec9c1f15d4835ba6de3b8472,952224740,1
101,Y,2,P,Y,0,42,f3fbfa6eb088d063701fc9f55ec22836ceda021ab6dd45e65c27dba9c6d7d968,952224740,1
102,Y,2,P,Y,0,42,02c130da3e2ece4eb36995c4748ebbd3d1b4a77466e4e8b7a2dffa196aa93bd3,952224740,1
103,P,1,P,Y,1,43,0c9c64008bf08a8afa35e27a8d9194b5b4c02294c8b0bc99a77248ad2aa62052,952224740,1
104,P,1,P,Y,0,43,f67171b03a97b4998cdac9ca2ba68c0c9b8fbee6ded85eff7feb1287cf2d6f80,952224740,1
105,Y,2,P,Y,0,43,89f96384270f1e91a1e3a9144e8debdf89adb7c10e0d71f399580bf1d8c8f9a8,952224740,1
106,Y,2,P,Y,1,44,25ea0e29685da2dd8693c8394484a3f35b8a24c1ffcb4daa0abd1f287774b3a4,952224740,1
107,P,1,P,Y,0,44,ae3bb609a27d18ecdd533b48604d8a43c8f85fd8c56807d5c20fc3fe7f19528c,952224740,1
108,P,1,P,Y,1,45,870adc92fd5a0b20a5c1437a109cf2dcefd56da718638ac539676a5382516978,952224740,1
109,Y,2,P,Y,1,46,e037c47dc502d35490faa8072a982963072dc0de6c9dc3dfc0a52cfeb00138aa,952224740,1
110,Y,2,P,Y,1,47,4a198584980276823ea9039c716c0a83ef1428a412da34859efb1ecc032279e1,952224740,1
111,Y,2,P,Y,1,48,b2346ce69b329bf5da2eef52fbcb4a04343fd28a8f0bcdc1010435d4e8897a65,952224740,1
112,P,1,P,Y,0,48,ed92ed39c42492d66b3477b1bfaf95161a9073203cd8740451c339c5e3b88aca,952224740,1
113,P,1,P,Y,0,48,5b81c9604d3a48dc319cd43f4df0939bc43c77e963d66c5ba08579132707e753,952224740,1
114,P,1,P,Y,1,49,7d453917eebbd29c9d35bdd3e7b6686598c52268bd6655c3868b0d302e49a9eb,952224740,1
115,Y,2,P,Y,0,49,b347637e79943acfa03f996451a0d51b44c7086b3e471a905f95e3b0f1d38743,952224740,1
116,P,1,P,Y,0,49,51d962f651c44373cb23e5460f9d6b1e6b45fb1991cdb6017f12d733087126e0,952224740,1
117,Y,2,P,Y,1,50,cf50f99717713adc68d9336cec9e7c1f32f5765e3b297b4bda303b483949a483,952224740,1
118,Y,2,P,Y,1,51,034210e9a74845a3894afbb3ff229079a5deaa540452496de6a62c13acc72fb9,952224740,1
119,P,1,P,Y,0,51,ac0225e68f4474d29a9e0ddcc1a42f82ec289272dd41fa731cf99a5771694953,952224740,1
120,P,1,P,Y,0,51,fc781eefc1146edff7239347de2f381326cedfcc9af21d1f3cf3fd8e457a5895,952224740,1
121,P,1,P,Y,0,51,3bf19f02c1dc6a55f80649260a50242c517e5daabbe7785278d3a27727a256bd,952224740,1
122,P,1,P,Y,0,51,4d137119a9bbc7d443987d2c15d8757130de3cb3a7a4d39ddf4af106399afded,952224740,1
123,Y,2,P,Y,1,52,b58e6674158016ed621c8bdba7d860ce69f8f09a98c4f0da8f1556956f160f71,952224740,1
124,Y,2,P,Y,1,53,220f22aeee638a01af712fb27df130ce3653d68d62017a0dd2baf3f1b9993f89,952224740,1
125,P,1,P,Y,0,53,9ff6cb066e98c2a590e2b52b778f29c6b0552423b9e506b30b9af5390ebe6954,952224740,1
126,P,1,P,Y,0,53,db6cdf72e29b058acd744433d24797526cd35991f122585b18748f141cd799d7,952224740,1
127,P,1,P,Y,0,53,728073deb810aef02073e2284eebc4a43d394a87bd0b9808544fd7c0e2141c9e,952224740,1
128,Y,2,P,Y,0,53,da6e979f325d443f0c982ba501e115eefeabdaa52adfff34158f112f6edc6c34,952224740,1
129,P,1,P,Y,1,54,4eb43e66d8f8fc0eecf1ef40adfd3621eea6d1904e66d38bc92b35a884f55023,952224740,1
130,P,1,P,Y,0,54,5740f235c72bc570b558a57bac5c2aab674dbf5425e0d4956ae44488e0e32075,952224740,1
131,Y,2,P,Y,1,55,8a3d469c999d3785808b50341ffc5e9640a60a2c9d1dca083b936bea258d27ba,952224740,1
132,P,1,P,Y,0,55,6b72c6c3512946f32a91935d27e3ca53d3441724f818f11a31bff6bd71f5ff84,952224740,1
133,P,1,P,Y,0,55,30e08b7e26270e8d72edc6d4ed6c2a600e103d676729d37c287706d34f7d075f,952224740,1
134,Y,2,P,Y,1,56,f9936e17dde6a9ef63960fd4e9e62bca914fc8c5fd75426c3efeb31dabf1bade,952224740,1
135,Y,2,P,Y,1,57,82dc9410a7f32ec0db07548b4fd326d48fa9f47abd11b68dd579ca1545838c7f,952224740,1
136,P,1,P,Y,0,57,93f13853db6eef8430fb2df749ef7d6a504c2d1ac77e2517b730a8cf978174b4,952224740,1
137,P,1,P,Y,0,57,84ce3036197bf41f4f0601c9bf48039d80b04815feb2235090d8faddca8d25e2,952224740,1
138,P,1,P,Y,1,58,bd06bf999a7689e3fb3ab728ce17f1de1182442c0a38e692976df319ec798bbf,952224740,1
139,P,1,P,Y,0,58,bc9e206ac32cb8c7c3cc38665beaf99d86eaacc8f68b077b7dd9fcc4e2427b6c,952224740,1
140,Y,2,P,Y,0,58,3055c387490de897e3a51449c50e84977f388e83cd2651291386c0d52c9a4bce,952224740,1
