model,subject,sim_within_subject,trial,choice
repetition,102,0,1,0
wsls,102,0,1,1
repetition,102,0,2,0
wsls,102,0,2,0
repetition,102,0,3,0
wsls,102,0,3,1
repetition,102,0,4,0
wsls,102,0,4,1
repetition,102,0,5,0
wsls,102,0,5,0
repetition,102,0,6,0
wsls,102,0,6,1
repetition,102,0,7,0
wsls,102,0,7,0
repetition,102,0,8,0
wsls,102,0,8,0
repetition,102,0,9,0
wsls,102,0,9,1
repetition,102,0,10,0
wsls,102,0,10,0
repetition,102,0,11,0
wsls,102,0,11,1
repetition,102,0,12,0
wsls,102,0,12,0
repetition,102,0,13,0
wsls,102,0,13,0
repetition,102,0,14,0
wsls,102,0,14,1
repetition,102,0,15,0
wsls,102,0,15,1
repetition,102,0,16,0
wsls,102,0,16,1
repetition,102,0,17,0
wsls,102,0,17,0
repetition,102,0,18,0
wsls,102,0,18,0
repetition,102,0,19,0
wsls,102,0,19,0
repetition,102,0,20,0
wsls,102,0,20,0
repetition,102,0,21,0
wsls,102,0,21,1
repetition,102,0,22,0
wsls,102,0,22,1
repetition,102,0,23,0
wsls,102,0,23,1
repetition,102,0,24,0
wsls,102,0,24,1
repetition,102,0,25,0
wsls,102,0,25,1
repetition,102,0,26,0
wsls,102,0,26,1
repetition,102,0,27,0
wsls,102,0,27,1
repetition,102,0,28,0
wsls,102,0,28,1
repetition,102,0,29,0
wsls,102,0,29,1
repetition,102,0,30,0
wsls,102,0,30,1
repetition,102,0,31,0
wsls,102,0,31,1
repetition,102,0,32,0
wsls,102,0,32,0
repetition,102,0,33,0
wsls,102,0,33,0
repetition,102,0,34,0
wsls,102,0,34,1
repetition,102,0,35,0
wsls,102,0,35,1
repetition,102,0,36,0
wsls,102,0,36,1
repetition,102,0,37,0
wsls,102,0,37,1
repetition,102,0,38,0
wsls,102,0,38,1
repetition,102,0,39,0
wsls,102,0,39,1
repetition,102,0,40,0
wsls,102,0,40,0
repetition,102,0,41,0
wsls,102,0,41,0
repetition,102,0,42,0
wsls,102,0,42,0
repetition,102,0,43,0
wsls,102,0,43,1
repetition,102,0,44,0
wsls,102,0,44,0
repetition,102,0,45,0
wsls,102,0,45,1
repetition,102,0,46,0
wsls,102,0,46,1
repetition,102,0,47,0
wsls,102,0,47,1
repetition,102,0,48,0
wsls,102,0,48,1
repetition,102,0,49,0
wsls,102,0,49,1
repetition,102,0,50,0
wsls,102,0,50,1
repetition,102,0,51,0
wsls,102,0,51,1
repetition,102,0,52,0
wsls,102,0,52,0
repetition,102,0,53,0
wsls,102,0,53,1
repetition,102,0,54,0
wsls,102,0,54,1
repetition,102,0,55,0
wsls,102,0,55,0
repetition,102,0,56,0
wsls,102,0,56,0
repetition,102,0,57,0
wsls,102,0,57,0
repetition,102,0,58,0
wsls,102,0,58,0
repetition,102,0,59,0
wsls,102,0,59,1
repetition,102,0,60,0
wsls,102,0,60,0
repetition,102,0,61,0
wsls,102,0,61,0
repetition,102,0,62,0
wsls,102,0,62,1
repetition,102,0,63,0
wsls,102,0,63,0
repetition,102,0,64,0
wsls,102,0,64,1
repetition,102,0,65,0
wsls,102,0,65,1
repetition,102,0,66,0
wsls,102,0,66,0
repetition,102,0,67,0
wsls,102,0,67,1
repetition,102,0,68,0
wsls,102,0,68,1
