subject,trial,choice,reward
102,1,1,1
102,2,1,0
102,3,1,0
102,4,1,0
102,5,0,1
102,6,0,1
102,7,0,0
102,8,0,1
102,9,0,1
102,10,0,1
102,11,0,1
102,12,0,1
102,13,0,1
102,14,0,0
102,15,0,1
102,16,0,1
102,17,0,1
102,18,0,0
102,19,0,1
102,20,0,1
102,21,0,1
102,22,0,0
102,23,0,1
102,24,0,1
102,25,0,1
102,26,0,1
102,27,0,1
102,28,0,1
102,29,0,0
102,30,0,1
102,31,0,1
102,32,0,1
102,33,0,1
102,34,0,1
102,35,0,0
102,36,0,0
102,37,0,1
102,38,0,0
102,39,0,0
102,40,0,0
102,41,0,0
102,42,0,0
102,43,0,0
102,44,0,1
102,45,0,0
102,46,0,1
102,47,0,0
102,48,0,0
102,49,0,0
102,50,0,0
102,51,0,0
102,52,0,0
102,53,0,0
102,54,0,0
102,55,0,1
102,56,0,1
102,57,0,1
102,58,0,1
102,59,0,0
102,60,0,1
102,61,0,1
102,62,0,1
102,63,0,1
102,64,0,1
102,65,0,0
102,66,0,1
102,67,0,1
102,68,0,1
102,69,0,1
102,70,0,0
102,71,0,0
102,72,0,0
102,73,0,1
102,74,0,0
102,75,0,0
102,76,0,0
102,77,0,1
102,78,0,0
102,79,0,0
102,80,0,0
102,81,0,0
102,82,0,0
102,83,0,0
102,84,0,0
102,85,0,1
102,86,0,1
102,87,0,0
102,88,0,1
102,89,0,1
102,90,0,1
102,91,0,1
102,92,0,0
102,93,0,1
102,94,0,1
102,95,0,1
102,96,0,0
102,97,0,1
102,98,0,1
102,99,0,1
102,100,0,1
102,101,0,0
102,102,0,1
102,103,0,1
102,104,0,1
102,105,0,1
102,106,0,0
102,107,0,0
102,108,0,1
102,109,0,0
102,110,0,0
102,111,0,0
102,112,0,0
102,113,0,1
102,114,0,0
102,115,0,0
102,116,0,0
102,117,0,1
102,118,0,0
102,119,0,0
102,120,0,0
102,121,0,1
102,122,0,0
102,123,0,0
102,124,0,0
102,125,0,0
102,126,0,0
102,127,0,0
102,128,0,0
102,129,0,0
102,130,0,1
102,131,0,0
102,132,0,0
102,133,0,0
102,134,0,0
102,135,0,1
102,136,0,0
102,137,0,0
102,138,0,0
102,139,0,0
102,140,0,1
104,1,0,1
104,2,0,1
104,3,0,1
104,4,0,1
104,5,0,0
104,6,0,1
104,7,0,1
104,8,0,0
104,9,0,1
104,10,0,1
104,11,0,1
104,12,0,1
104,13,0,1
104,14,0,1
104,15,0,0
104,16,0,0
