env,tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9,tile_10,tile_11,tile_12,tile_13,tile_14,tile_15,tile_16,tile_17,tile_18,tile_19,tile_20,tile_21,tile_22,tile_23,tile_24,tile_25,tile_26,tile_27,tile_28,tile_29,tile_30,scale
1,47,31,21,5,0,19,35,52,67,53,30,19,58,67,61,53,35,47,52,47,51,38,65,51,63,71,46,22,2,2,71
2,84,68,34,26,29,24,19,13,26,31,1,27,55,72,72,72,57,16,0,10,15,15,33,41,44,29,23,12,26,54,84
3,55,45,21,16,26,51,74,79,56,43,53,15,16,34,13,0,21,42,17,20,36,33,36,28,49,50,36,39,32,42,79
4,58,58,43,31,28,16,18,36,44,49,74,75,70,58,50,18,12,28,16,0,36,54,39,30,17,30,26,38,46,28,75
5,41,34,21,38,36,30,26,34,49,54,44,22,14,53,35,12,41,72,55,46,55,27,27,45,59,49,39,0,23,42,72
6,11,0,13,62,61,52,51,68,68,63,85,48,20,42,68,52,41,51,49,65,55,47,34,23,34,56,23,26,15,13,85
7,0,13,50,30,12,22,26,5,12,49,64,54,54,44,56,29,47,70,58,34,25,10,16,46,71,69,34,20,27,21,71
8,0,17,35,9,8,49,48,35,29,6,16,31,30,58,59,28,23,37,29,12,46,83,60,32,35,40,24,21,36,35,83
9,9,59,72,64,40,57,50,43,39,31,48,50,46,34,21,10,18,39,75,62,22,7,0,34,73,64,40,16,36,23,75
10,22,45,44,59,69,54,37,48,54,43,34,17,0,34,47,42,30,20,20,50,75,62,49,42,46,59,51,54,72,72,75
11,31,8,8,24,26,36,46,33,44,81,84,45,37,47,52,85,44,12,0,31,47,34,54,54,39,13,19,46,28,42,85
12,1,15,32,21,47,65,39,22,23,32,15,0,17,16,23,37,22,11,16,23,42,68,61,36,30,29,19,29,51,52,68
13,5,8,7,9,39,25,4,4,14,28,20,26,23,36,72,67,40,18,32,19,11,23,27,18,21,17,0,6,29,38,72
14,56,50,42,31,18,0,5,62,53,7,26,36,46,57,40,34,67,66,39,29,15,18,46,57,55,40,40,42,33,19,67
15,9,22,18,25,21,36,45,37,53,51,38,29,47,13,0,35,66,57,42,39,41,72,85,81,71,47,45,48,16,9,85
16,65,63,48,65,58,46,50,41,38,51,66,58,29,4,0,27,44,36,21,30,45,47,47,40,26,24,16,13,31,53,66
17,16,39,33,30,0,6,49,73,59,47,43,62,66,74,69,54,13,5,34,37,55,73,71,76,57,40,27,22,47,59,76
18,38,70,35,15,23,13,0,5,41,55,57,44,35,40,32,52,63,50,41,18,20,55,45,20,34,35,38,44,61,42,70
19,42,30,11,27,40,50,39,32,46,34,28,34,34,23,8,0,25,47,27,11,2,22,50,66,51,31,21,27,39,30,66
20,61,42,22,32,41,33,23,42,44,46,63,75,85,81,82,47,41,29,26,45,37,20,2,0,26,38,43,26,45,44,85
21,37,22,23,11,31,40,29,12,32,65,45,29,30,0,18,30,21,38,35,5,1,7,2,6,26,37,34,36,17,3,65
22,62,50,26,34,39,30,43,76,63,43,29,30,33,49,41,42,45,52,42,22,39,21,0,28,23,25,52,41,7,24,76
23,16,12,47,36,15,30,39,34,44,34,35,7,3,30,24,45,67,51,24,20,63,58,31,0,13,47,72,76,39,54,76
24,47,52,47,51,41,54,41,20,0,17,35,46,63,55,54,66,72,53,40,36,43,43,43,57,81,76,56,70,76,56,81
25,49,28,30,16,14,25,23,38,14,6,18,51,70,58,37,6,5,44,74,65,57,44,28,33,41,15,0,35,65,53,74
26,41,28,36,45,24,22,56,63,44,51,29,0,12,53,48,53,80,63,27,26,39,27,22,24,19,23,21,6,2,34,80
27,44,43,23,31,8,10,0,2,11,19,46,64,62,33,40,59,56,43,29,40,36,55,56,47,64,79,61,41,37,28,79
28,35,19,62,58,49,23,3,0,17,25,36,74,46,10,30,49,59,79,66,63,23,14,15,11,44,74,40,11,43,74,79
29,1,0,2,15,16,15,28,66,77,55,59,36,41,26,14,25,21,19,52,80,83,60,35,11,23,32,33,33,7,18,83
30,36,46,53,47,59,55,51,47,55,49,56,48,45,28,0,18,39,39,53,74,61,67,43,30,41,76,60,26,13,6,76
31,60,66,53,30,19,44,33,13,30,76,63,56,67,33,0,6,32,28,25,37,48,30,10,48,84,43,19,19,27,20,84
32,36,35,29,32,67,65,43,30,18,0,13,31,53,47,11,16,27,42,47,46,44,18,19,38,38,46,36,22,14,32,67
33,41,48,50,59,69,42,22,36,33,38,61,49,61,61,34,0,33,46,50,66,42,38,25,51,60,31,18,41,67,61,69
34,61,63,45,45,39,30,31,55,43,47,71,58,25,29,57,52,40,60,49,23,23,5,0,32,36,20,37,69,83,33,83
35,21,0,31,30,21,45,71,58,37,1,7,19,1,2,16,5,44,53,19,18,8,2,13,12,30,37,44,35,35,25,71
36,44,55,59,60,57,70,70,37,5,17,36,30,21,48,67,80,83,67,84,85,69,61,61,26,0,2,58,66,28,11,85
37,31,58,56,31,36,33,46,44,50,66,54,36,34,30,35,56,62,64,73,53,36,46,50,18,9,21,34,23,16,0,73
38,1,38,64,67,34,60,63,34,16,4,6,5,14,21,45,53,52,49,31,0,10,48,51,64,64,70,71,38,38,48,71
39,38,61,67,42,42,23,49,67,75,53,17,0,26,39,52,76,55,32,27,20,15,57,46,27,32,48,46,45,65,82,82
40,15,13,23,35,47,51,35,41,43,43,36,39,35,20,14,45,68,44,17,0,1,33,38,26,22,43,48,33,16,26,68
