participant_id,scenario,kernel
0,0,smooth
1,0,smooth
2,0,smooth
3,0,smooth
4,0,smooth
5,0,smooth
6,0,smooth
7,0,smooth
8,0,smooth
9,0,smooth
10,0,smooth
11,0,smooth
12,0,smooth
13,0,smooth
14,0,smooth
15,0,smooth
16,0,smooth
17,0,smooth
18,0,smooth
19,0,smooth
20,0,smooth
21,0,smooth
22,0,smooth
23,0,rough
24,0,rough
25,0,rough
26,0,rough
27,0,rough
28,0,rough
29,0,rough
30,0,rough
31,0,rough
32,0,rough
33,0,rough
34,0,rough
35,0,rough
36,0,rough
37,0,rough
38,0,rough
39,0,rough
40,0,rough
41,0,rough
42,0,rough
43,0,rough
44,0,rough
45,1,smooth
46,1,smooth
47,1,smooth
48,1,smooth
49,1,smooth
50,1,smooth
51,1,smooth
52,1,smooth
53,1,smooth
54,1,smooth
55,1,smooth
56,1,smooth
57,1,smooth
58,1,smooth
59,1,smooth
60,1,smooth
61,1,smooth
62,1,smooth
63,1,rough
64,1,rough
65,1,rough
66,1,rough
67,1,rough
68,1,rough
69,1,rough
70,1,rough
71,1,rough
72,1,rough
73,1,rough
74,1,rough
75,1,rough
76,1,rough
77,1,rough
78,1,rough
79,1,rough
80,1,rough
