participant_id,trial_index,ground_truth,nll,top2
54,1,9,5.0625,"[('14', 0.38671875), ('16', 0.30078125)]"
54,2,8,0.99609375,"[('8', 0.369140625), ('10', 0.22265625)]"
54,3,7,0.625,"[('7', 0.53515625), ('10', 0.32421875)]"
54,4,10,1.796875,"[('6', 0.578125), ('10', 0.166015625)]"
54,5,11,0.427734375,"[('11', 0.65234375), ('6', 0.11376953125)]"
54,6,12,0.76953125,"[('12', 0.462890625), ('6', 0.2197265625)]"
54,7,6,1.0625,"[('6', 0.345703125), ('13', 0.2099609375)]"
54,8,22,3.109375,"[('5', 0.201171875), ('16', 0.1572265625)]"
54,9,25,3.3125,"[('23', 0.271484375), ('21', 0.1640625)]"
54,10,28,2.21875,"[('28', 0.10888671875), ('2', 0.10888671875)]"
54,11,5,3.40625,"[('15', 0.1474609375), ('14', 0.11572265625)]"
54,12,10,1.4375,"[('10', 0.2373046875), ('11', 0.14453125)]"
54,13,14,2.0625,"[('15', 0.5703125), ('14', 0.126953125)]"
54,14,15,0.62109375,"[('15', 0.5390625), ('13', 0.328125)]"
54,15,13,0.1611328125,"[('13', 0.8515625), ('16', 0.0703125)]"
54,16,5,2.671875,"[('6', 0.0693359375), ('5', 0.0693359375)]"
54,17,2,3.5,"[('10', 0.287109375), ('11', 0.173828125)]"
54,18,11,1.828125,"[('11', 0.1611328125), ('10', 0.1611328125)]"
54,19,12,0.400390625,"[('12', 0.671875), ('10', 0.2470703125)]"
54,20,13,0.27734375,"[('13', 0.7578125), ('10', 0.2177734375)]"
54,21,14,0.89453125,"[('10', 0.5234375), ('14', 0.408203125)]"
54,22,25,3.5,"[('10', 0.4765625), ('15', 0.1748046875)]"
54,23,28,0.83984375,"[('28', 0.431640625), ('27', 0.205078125)]"
54,24,17,2.15625,"[('16', 0.1494140625), ('17', 0.11572265625)]"
54,25,15,3.046875,"[('16', 0.12890625), ('12', 0.12890625)]"
54,26,1,4.125,"[('5', 0.1513671875), ('6', 0.11767578125)]"
54,27,2,1.6328125,"[('2', 0.1953125), ('0', 0.1953125)]"
54,28,3,0.279296875,"[('3', 0.7578125), ('0', 0.130859375)]"
54,29,4,0.09716796875,"[('4', 0.90625), ('0', 0.035400390625)]"
54,30,5,1.109375,"[('5', 0.330078125), ('0', 0.330078125)]"
54,31,15,1.3203125,"[('17', 0.267578125), ('15', 0.267578125)]"
54,32,14,0.055908203125,"[('14', 0.9453125), ('17', 0.0283203125)]"
54,33,13,0.020751953125,"[('13', 0.98046875), ('17', 0.00653076171875)]"
54,34,12,0.09326171875,"[('12', 0.91015625), ('17', 0.035400390625)]"
54,35,11,0.447265625,"[('11', 0.640625), ('17', 0.18359375)]"
54,36,17,0.77734375,"[('17', 0.458984375), ('10', 0.07958984375)]"
54,37,22,3.796875,"[('18', 0.74609375), ('25', 0.0224609375)]"
54,38,23,0.2470703125,"[('23', 0.78125), ('21', 0.173828125)]"
54,39,21,0.423828125,"[('21', 0.65625), ('24', 0.310546875)]"
54,40,24,0.93359375,"[('20', 0.50390625), ('24', 0.392578125)]"
54,41,3,0.84765625,"[('3', 0.427734375), ('1', 0.427734375)]"
54,42,1,0.056640625,"[('1', 0.9453125), ('4', 0.013427734375)]"
54,43,0,0.0654296875,"[('0', 0.9375), ('15', 0.007171630859375)]"
54,44,29,6.0625,"[('4', 0.1845703125), ('12', 0.08740234375)]"
54,45,28,0.365234375,"[('28', 0.6953125), ('27', 0.057373046875)]"
54,46,27,1.546875,"[('27', 0.212890625), ('29', 0.078125)]"
54,47,2,5.84375,"[('29', 0.7109375), ('26', 0.0274658203125)]"
54,48,1,2.65625,"[('6', 0.11572265625), ('5', 0.11572265625)]"
54,49,5,2.65625,"[('3', 0.1904296875), ('4', 0.09033203125)]"
54,50,4,1.7265625,"[('6', 0.484375), ('4', 0.177734375)]"
54,51,8,3.484375,"[('6', 0.61328125), ('7', 0.050537109375)]"
54,52,9,0.353515625,"[('9', 0.703125), ('7', 0.259765625)]"
54,53,7,0.19921875,"[('7', 0.8203125), ('10', 0.06689453125)]"
54,54,6,0.28125,"[('6', 0.75390625), ('16', 0.029296875)]"
54,55,13,2.84375,"[('10', 0.201171875), ('16', 0.123046875)]"
54,56,4,2.59375,"[('1', 0.333984375), ('2', 0.09619140625)]"
54,57,5,0.3359375,"[('5', 0.71484375), ('3', 0.263671875)]"
54,58,6,0.2119140625,"[('6', 0.80859375), ('3', 0.1806640625)]"
54,59,7,0.04443359375,"[('7', 0.95703125), ('3', 0.02880859375)]"
54,60,8,0.0208740234375,"[('8', 0.98046875), ('3', 0.005096435546875)]"
54,61,24,4.21875,"[('28', 0.6171875), ('0', 0.039306640625)]"
54,62,26,4.875,"[('23', 0.25390625), ('22', 0.0927734375)]"
54,63,22,2.1875,"[('28', 0.1865234375), ('23', 0.1455078125)]"
54,64,21,0.40234375,"[('21', 0.66796875), ('23', 0.2451171875)]"
54,65,20,0.017822265625,"[('20', 0.98046875), ('23', 0.00396728515625)]"
