participant_id,trial_index,ground_truth,nll,top2
48,1,20,1.9921875,"[('1', 0.69140625), ('20', 0.13671875)]"
48,2,22,0.703125,"[('22', 0.494140625), ('19', 0.4375)]"
48,3,23,0.4296875,"[('23', 0.65234375), ('19', 0.08740234375)]"
48,4,24,0.130859375,"[('24', 0.87890625), ('19', 0.0498046875)]"
48,5,25,0.53125,"[('25', 0.5859375), ('21', 0.1904296875)]"
48,6,28,4.65625,"[('26', 0.51953125), ('21', 0.130859375)]"
48,7,7,7.0,"[('26', 0.2890625), ('20', 0.1748046875)]"
48,8,10,5.84375,"[('8', 0.625), ('6', 0.23046875)]"
48,9,3,5.0,"[('8', 0.3203125), ('6', 0.1328125)]"
48,10,6,2.421875,"[('8', 0.1875), ('1', 0.146484375)]"
48,11,12,6.15625,"[('24', 0.453125), ('22', 0.3125)]"
48,12,10,5.09375,"[('24', 0.37890625), ('22', 0.158203125)]"
48,13,9,1.75,"[('11', 0.53125), ('9', 0.173828125)]"
48,14,7,6.03125,"[('11', 0.45703125), ('8', 0.357421875)]"
48,15,10,8.4375,"[('8', 0.515625), ('11', 0.2451171875)]"
48,16,18,8.0,"[('1', 0.76171875), ('3', 0.10400390625)]"
48,17,8,5.0625,"[('1', 0.71875), ('3', 0.1416015625)]"
48,18,11,6.6875,"[('1', 0.73828125), ('3', 0.0888671875)]"
48,19,15,3.078125,"[('1', 0.384765625), ('3', 0.125)]"
48,20,14,2.828125,"[('16', 0.267578125), ('1', 0.2080078125)]"
48,21,17,2.796875,"[('16', 0.310546875), ('12', 0.146484375)]"
48,22,16,1.125,"[('16', 0.32421875), ('19', 0.173828125)]"
48,23,21,6.84375,"[('19', 0.380859375), ('13', 0.203125)]"
48,24,24,4.90625,"[('19', 0.2451171875), ('20', 0.2158203125)]"
48,25,25,0.90234375,"[('25', 0.40625), ('20', 0.09033203125)]"
48,26,21,8.375,"[('11', 0.279296875), ('8', 0.1494140625)]"
48,27,12,10.375,"[('11', 0.2451171875), ('9', 0.130859375)]"
48,28,10,2.140625,"[('11', 0.365234375), ('10', 0.11767578125)]"
48,29,8,1.7578125,"[('9', 0.1728515625), ('8', 0.1728515625)]"
48,30,15,1.640625,"[('9', 0.2490234375), ('15', 0.1943359375)]"
48,31,15,3.578125,"[('9', 0.30078125), ('7', 0.1416015625)]"
48,32,10,3.328125,"[('9', 0.267578125), ('7', 0.2080078125)]"
48,33,9,1.1484375,"[('9', 0.31640625), ('7', 0.169921875)]"
48,34,25,5.25,"[('7', 0.416015625), ('14', 0.1533203125)]"
48,35,28,2.40625,"[('22', 0.2451171875), ('27', 0.130859375)]"
48,36,26,2.625,"[('22', 0.173828125), ('30', 0.11962890625)]"
48,37,24,5.0,"[('27', 0.4765625), ('22', 0.154296875)]"
48,38,22,1.5,"[('27', 0.369140625), ('22', 0.22265625)]"
48,39,20,2.234375,"[('27', 0.25390625), ('29', 0.1982421875)]"
48,40,18,3.09375,"[('27', 0.333984375), ('29', 0.26171875)]"
48,41,16,3.078125,"[('12', 0.1611328125), ('9', 0.1611328125)]"
48,42,19,4.09375,"[('10', 0.203125), ('12', 0.158203125)]"
48,43,21,3.6875,"[('20', 0.1845703125), ('7', 0.14453125)]"
48,44,20,2.78125,"[('10', 0.1474609375), ('7', 0.1474609375)]"
48,45,17,1.3203125,"[('17', 0.267578125), ('18', 0.142578125)]"
48,46,17,3.046875,"[('14', 0.2109375), ('18', 0.12890625)]"
48,47,20,3.890625,"[('10', 0.2490234375), ('11', 0.1328125)]"
48,48,12,2.703125,"[('10', 0.181640625), ('18', 0.1416015625)]"
48,49,11,1.3359375,"[('11', 0.263671875), ('10', 0.205078125)]"
48,50,13,3.0,"[('10', 0.25390625), ('15', 0.1748046875)]"
48,51,14,1.6484375,"[('10', 0.279296875), ('14', 0.1923828125)]"
48,52,15,1.3203125,"[('15', 0.267578125), ('10', 0.267578125)]"
48,53,10,1.2578125,"[('16', 0.28515625), ('10', 0.28515625)]"
48,54,4,7.09375,"[('16', 0.255859375), ('8', 0.255859375)]"
48,55,2,4.53125,"[('7', 0.21484375), ('6', 0.189453125)]"
48,56,16,5.40625,"[('10', 0.27734375), ('4', 0.11572265625)]"
48,57,17,3.828125,"[('4', 0.18359375), ('10', 0.142578125)]"
48,58,15,2.65625,"[('4', 0.1923828125), ('6', 0.130859375)]"
48,59,13,3.140625,"[('14', 0.279296875), ('4', 0.1494140625)]"
48,60,14,2.375,"[('7', 0.154296875), ('4', 0.154296875)]"
48,61,11,8.0,"[('27', 0.279296875), ('25', 0.279296875)]"
48,62,7,7.1875,"[('27', 0.26953125), ('25', 0.2373046875)]"
48,63,5,4.5625,"[('8', 0.166015625), ('10', 0.146484375)]"
48,64,10,2.3125,"[('8', 0.09912109375), ('4', 0.09912109375)]"
48,65,7,10.0,"[('9', 0.173828125), ('8', 0.1357421875)]"
48,66,7,8.5,"[('8', 0.177734375), ('6', 0.177734375)]"
